feature	chromosome	start	end	SLX-16150.D712tp_D506tp.HC22VBBXY.s_3.r_1	SLX-17921.D707tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17922.D708tp_D503tp.HC22GBBXY.s_6.r_1
1:1000001-1500000	1	1000001	1500000	1.007	0.828	1.038
1:2000001-2500000	1	2000001	2500000	1.032	1.001	0.863
1:3000001-3500000	1	3000001	3500000	1.017	0.989	1.007
1:3500001-4000000	1	3500001	4000000	1.054	0.944	1.004
1:4000001-4500000	1	4000001	4500000	1.042	0.98	1.079
1:4500001-5000000	1	4500001	5000000	1.016	0.908	0.947
1:5000001-5500000	1	5000001	5500000	1.092	1.015	1.124
1:6000001-6500000	1	6000001	6500000	1.091	0.989	1.153
1:6500001-7000000	1	6500001	7000000	0.923	1.039	1.064
1:7000001-7500000	1	7000001	7500000	0.952	1.062	0.931
1:7500001-8000000	1	7500001	8000000	1.033	1.112	1.01
1:8000001-8500000	1	8000001	8500000	0.993	0.929	0.931
1:9000001-9500000	1	9000001	9500000	1	0.958	1.089
1:10000001-10500000	1	10000001	10500000	0.927	0.994	0.983
1:10500001-11000000	1	10500001	11000000	1.001	1.057	0.963
1:11000001-11500000	1	11000001	11500000	1.025	0.963	1.074
1:11500001-12000000	1	11500001	12000000	1.02	1.09	0.96
1:12000001-12500000	1	12000001	12500000	0.945	1.047	1.071
1:13500001-14000000	1	13500001	14000000	0.997	1.054	1.06
1:14000001-14500000	1	14000001	14500000	1.056	0.875	0.964
1:14500001-15000000	1	14500001	15000000	1.004	0.866	1.091
1:15000001-15500000	1	15000001	15500000	1.034	1.017	1.127
1:15500001-16000000	1	15500001	16000000	0.933	1.051	0.898
1:16000001-16500000	1	16000001	16500000	0.946	1.03	1.015
1:17000001-17500000	1	17000001	17500000	0.922	0.901	0.912
1:17500001-18000000	1	17500001	18000000	1.047	1.111	1.018
1:18000001-18500000	1	18000001	18500000	1.021	1.026	1.025
1:18500001-19000000	1	18500001	19000000	0.908	0.916	1.015
1:19000001-19500000	1	19000001	19500000	0.945	0.992	0.841
1:19500001-20000000	1	19500001	20000000	0.965	1.079	1.099
1:20000001-20500000	1	20000001	20500000	1.055	1.119	1.048
1:20500001-21000000	1	20500001	21000000	0.984	0.872	0.999
1:21000001-21500000	1	21000001	21500000	0.983	0.892	0.937
1:21500001-22000000	1	21500001	22000000	0.993	0.989	1.039
1:22000001-22500000	1	22000001	22500000	0.971	1.058	0.987
1:22500001-23000000	1	22500001	23000000	1.035	1.006	0.997
1:23000001-23500000	1	23000001	23500000	0.997	0.949	1.055
