feature	chromosome	start	end	SLX-17922.D705tp_D507tp.HC22GBBXY.s_6.r_1	SLX-17922.D705tp_D508tp.HC22GBBXY.s_6.r_1	SLX-17921.D702tp_D501tp.H5J55BBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	1.121	1.217	0.983
1:2000001-2500000	1	2000001	2500000	1.143	1.022	1.023
1:3000001-3500000	1	3000001	3500000	0.941	1.006	0.94
1:3500001-4000000	1	3500001	4000000	1.02	1.09	0.951
1:4000001-4500000	1	4000001	4500000	1.246	1.098	1.1
1:4500001-5000000	1	4500001	5000000	1.114	1.074	0.899
1:5000001-5500000	1	5000001	5500000	1.158	1.08	0.828
1:6000001-6500000	1	6000001	6500000	1.239	1.219	0.984
1:6500001-7000000	1	6500001	7000000	1.026	1.019	0.83
1:7000001-7500000	1	7000001	7500000	1.162	1.067	0.937
1:7500001-8000000	1	7500001	8000000	1.177	1.11	0.844
1:8000001-8500000	1	8000001	8500000	1.248	0.951	0.704
1:9000001-9500000	1	9000001	9500000	1.061	1.031	0.833
1:10000001-10500000	1	10000001	10500000	1.117	1.02	0.691
1:10500001-11000000	1	10500001	11000000	1.08	0.956	0.913
1:11000001-11500000	1	11000001	11500000	1.087	1.12	0.877
1:11500001-12000000	1	11500001	12000000	0.988	1.015	0.93
1:12000001-12500000	1	12000001	12500000	1.035	1.06	0.876
1:13500001-14000000	1	13500001	14000000	1.013	1.043	0.828
1:14000001-14500000	1	14000001	14500000	1.093	1.164	0.893
1:14500001-15000000	1	14500001	15000000	1.159	1.078	0.987
1:15000001-15500000	1	15000001	15500000	1.081	1.045	0.877
1:15500001-16000000	1	15500001	16000000	0.985	1.044	0.813
1:16000001-16500000	1	16000001	16500000	0.942	1.168	0.881
1:17000001-17500000	1	17000001	17500000	1.067	1.03	0.91
1:17500001-18000000	1	17500001	18000000	1.185	1.142	0.979
1:18000001-18500000	1	18000001	18500000	1.094	1.109	0.798
1:18500001-19000000	1	18500001	19000000	0.984	1.017	0.814
1:19000001-19500000	1	19000001	19500000	0.989	0.887	0.847
1:19500001-20000000	1	19500001	20000000	1.198	1.086	0.84
1:20000001-20500000	1	20000001	20500000	1.044	1.043	0.861
1:20500001-21000000	1	20500001	21000000	1.082	0.975	0.88
1:21000001-21500000	1	21000001	21500000	1.045	0.993	0.871
1:21500001-22000000	1	21500001	22000000	1.108	1.044	0.738
1:22000001-22500000	1	22000001	22500000	1.116	1.078	0.866
1:22500001-23000000	1	22500001	23000000	1.134	1.122	0.94
1:23000001-23500000	1	23000001	23500000	1.112	1.025	0.764
1:23500001-24000000	1	23500001	24000000	1.039	0.975	0.866
1:24000001-24500000	1	24000001	24500000	1.071	1.03	0.895
1:24500001-25000000	1	24500001	25000000	0.995	0.993	0.851
1:25000001-25500000	1	25000001	25500000	1.149	0.941	0.791
1:25500001-26000000	1	25500001	26000000	1.052	1.045	0.911
1:26000001-26500000	1	26000001	26500000	1.095	0.956	0.821
1:26500001-27000000	1	26500001	27000000	0.964	1.085	0.852
1:27000001-27500000	1	27000001	27500000	0.957	1.038	0.884
1:27500001-28000000	1	27500001	28000000	0.927	0.985	0.763
1:28000001-28500000	1	28000001	28500000	0.931	0.927	0.796
1:28500001-29000000	1	28500001	29000000	1.045	1.027	0.888
1:29000001-29500000	1	29000001	29500000	1.069	1.033	0.974
1:29500001-30000000	1	29500001	30000000	1.046	1.062	0.849
1:30000001-30500000	1	30000001	30500000	1.006	1.116	0.912
1:30500001-31000000	1	30500001	31000000	1.062	1.037	0.892
1:31000001-31500000	1	31000001	31500000	1.144	1.008	0.744
1:31500001-32000000	1	31500001	32000000	1.048	1.009	0.729
1:32500001-33000000	1	32500001	33000000	1.061	1.088	0.904
1:33000001-33500000	1	33000001	33500000	1.111	0.964	0.889
1:34000001-34500000	1	34000001	34500000	1.124	1.043	0.914
1:34500001-35000000	1	34500001	35000000	0.967	0.935	0.877
1:35000001-35500000	1	35000001	35500000	0.885	0.956	0.939
1:35500001-36000000	1	35500001	36000000	0.816	1.014	0.798
1:36000001-36500000	1	36000001	36500000	0.81	0.879	0.679
1:36500001-37000000	1	36500001	37000000	1.062	1.082	0.968
1:37000001-37500000	1	37000001	37500000	1.067	1.024	0.994
1:37500001-38000000	1	37500001	38000000	1.053	0.966	1.052
1:38000001-38500000	1	38000001	38500000	1.019	1.112	0.966
1:39000001-39500000	1	39000001	39500000	0.91	0.978	0.882
1:39500001-40000000	1	39500001	40000000	1.003	0.919	0.862
1:40000001-40500000	1	40000001	40500000	0.848	0.806	0.909
1:40500001-41000000	1	40500001	41000000	0.906	0.952	0.75
1:41000001-41500000	1	41000001	41500000	1.065	0.935	0.718
1:41500001-42000000	1	41500001	42000000	1.021	0.967	0.874
1:42000001-42500000	1	42000001	42500000	0.975	1.005	0.779
1:42500001-43000000	1	42500001	43000000	0.912	0.9	0.837
1:43000001-43500000	1	43000001	43500000	1.041	0.929	0.883
1:43500001-44000000	1	43500001	44000000	0.925	0.95	0.808
1:44000001-44500000	1	44000001	44500000	1.021	0.941	0.797
1:44500001-45000000	1	44500001	45000000	0.941	0.966	0.947
1:45000001-45500000	1	45000001	45500000	1.115	0.933	0.862
1:45500001-46000000	1	45500001	46000000	0.862	0.862	0.728
1:46000001-46500000	1	46000001	46500000	1.062	0.998	0.862
1:46500001-47000000	1	46500001	47000000	1.079	1.012	0.92
1:47000001-47500000	1	47000001	47500000	0.928	0.933	0.871
1:47500001-48000000	1	47500001	48000000	0.937	0.888	0.868
1:48000001-48500000	1	48000001	48500000	1.09	1.102	0.908
1:48500001-49000000	1	48500001	49000000	1.005	1.025	0.926
