feature	chromosome	start	end	SLX-17922.D701tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17922.D701tp_D506tp.HC22GBBXY.s_6.r_1	SLX-17921.D711tp_D502tp.H5J55BBXY.s_8.r_1	SLX-17921.D711tp_D503tp.H5J55BBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	1.083	1.005	1.073	0.921
1:2000001-2500000	1	2000001	2500000	0.947	0.963	0.944	1.01
1:3000001-3500000	1	3000001	3500000	1.026	1.011	1.013	1.005
1:3500001-4000000	1	3500001	4000000	1.029	0.982	0.886	1.06
1:4000001-4500000	1	4000001	4500000	1.061	0.98	1	1.071
1:4500001-5000000	1	4500001	5000000	1.024	1.048	1	1.019
1:5000001-5500000	1	5000001	5500000	0.983	0.968	1.04	1.164
1:6000001-6500000	1	6000001	6500000	1.118	1.056	1.088	1.087
1:6500001-7000000	1	6500001	7000000	0.977	1.026	0.905	0.922
1:7000001-7500000	1	7000001	7500000	1.103	1.063	0.976	1.099
1:7500001-8000000	1	7500001	8000000	0.962	1.121	1.06	1.049
1:8000001-8500000	1	8000001	8500000	0.97	0.996	0.97	0.958
1:9000001-9500000	1	9000001	9500000	0.997	0.974	0.965	0.942
1:10000001-10500000	1	10000001	10500000	1.027	0.953	0.911	1.052
1:10500001-11000000	1	10500001	11000000	1.014	0.972	0.989	0.921
1:11000001-11500000	1	11000001	11500000	0.995	1.078	1.056	1.195
1:11500001-12000000	1	11500001	12000000	0.938	0.961	0.895	1.013
1:12000001-12500000	1	12000001	12500000	0.992	0.964	0.962	0.884
1:13500001-14000000	1	13500001	14000000	1.037	1.113	1.066	0.888
1:14000001-14500000	1	14000001	14500000	1.009	1.127	1.047	0.971
1:14500001-15000000	1	14500001	15000000	1.012	1.052	0.982	1.106
1:15000001-15500000	1	15000001	15500000	0.97	1.058	0.955	0.928
1:15500001-16000000	1	15500001	16000000	0.992	0.986	0.949	0.941
1:16000001-16500000	1	16000001	16500000	0.962	1.014	0.951	1.121
1:17000001-17500000	1	17000001	17500000	1.005	0.981	0.926	1.01
1:17500001-18000000	1	17500001	18000000	1.001	1.017	1.051	1.072
1:18000001-18500000	1	18000001	18500000	1.005	1.087	1.023	0.99
1:18500001-19000000	1	18500001	19000000	1.025	1.015	0.967	0.991
1:19000001-19500000	1	19000001	19500000	0.941	0.966	0.818	0.904
1:19500001-20000000	1	19500001	20000000	1.031	1.099	1.007	1.031
1:20000001-20500000	1	20000001	20500000	0.979	1.09	1.121	0.866
1:20500001-21000000	1	20500001	21000000	0.921	0.906	0.936	0.851
1:21000001-21500000	1	21000001	21500000	1.003	1.018	1.003	0.997
1:21500001-22000000	1	21500001	22000000	1.021	1.085	0.969	1.028
1:22000001-22500000	1	22000001	22500000	1.02	1.104	0.952	1.032
1:22500001-23000000	1	22500001	23000000	1.026	1.023	1.131	1.068
1:23000001-23500000	1	23000001	23500000	0.982	1.015	0.953	0.955
1:23500001-24000000	1	23500001	24000000	0.957	1.077	0.915	0.814
1:24000001-24500000	1	24000001	24500000	0.948	1.01	1.009	0.965
1:24500001-25000000	1	24500001	25000000	0.955	1.039	1.008	0.959
1:25000001-25500000	1	25000001	25500000	0.955	1.051	0.885	0.902
1:25500001-26000000	1	25500001	26000000	1.039	0.983	1.003	0.877
1:26000001-26500000	1	26000001	26500000	1.023	1.037	0.847	0.909
1:26500001-27000000	1	26500001	27000000	0.916	0.885	0.896	0.896
1:27000001-27500000	1	27000001	27500000	0.945	0.979	0.867	0.931
1:27500001-28000000	1	27500001	28000000	0.933	0.929	0.932	0.985
1:28000001-28500000	1	28000001	28500000	0.964	0.914	0.88	0.9
1:28500001-29000000	1	28500001	29000000	0.991	1.009	0.889	0.904
1:29000001-29500000	1	29000001	29500000	1.082	1.143	1.032	1.059
1:29500001-30000000	1	29500001	30000000	1.011	1.021	1.049	1.068
1:30000001-30500000	1	30000001	30500000	1.059	1.099	1.04	1.052
1:30500001-31000000	1	30500001	31000000	1.02	1.047	0.932	0.956
