feature	chromosome	start	end	SLX-16150.D709tp_D502tp.HC22VBBXY.s_3.r_1	SLX-17921.D710tp_D503tp.H5J55BBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	1.082	1.009
1:2000001-2500000	1	2000001	2500000	0.993	0.934
1:3000001-3500000	1	3000001	3500000	1.009	0.985
1:3500001-4000000	1	3500001	4000000	1.114	0.99
1:4000001-4500000	1	4000001	4500000	1.141	1.058
1:4500001-5000000	1	4500001	5000000	1.099	1.159
1:5000001-5500000	1	5000001	5500000	1.105	1.028
1:6000001-6500000	1	6000001	6500000	1.033	1.122
1:6500001-7000000	1	6500001	7000000	0.959	0.889
1:7000001-7500000	1	7000001	7500000	1.059	1.097
1:7500001-8000000	1	7500001	8000000	0.95	1.014
1:8000001-8500000	1	8000001	8500000	1.044	0.929
1:9000001-9500000	1	9000001	9500000	1.01	1.039
1:10000001-10500000	1	10000001	10500000	0.857	1.062
1:10500001-11000000	1	10500001	11000000	1.134	1.018
1:11000001-11500000	1	11000001	11500000	0.97	1.036
1:11500001-12000000	1	11500001	12000000	1.148	0.956
1:12000001-12500000	1	12000001	12500000	0.985	0.975
1:13500001-14000000	1	13500001	14000000	1.048	1.073
1:14000001-14500000	1	14000001	14500000	1.188	1
1:14500001-15000000	1	14500001	15000000	1.124	1.063
1:15000001-15500000	1	15000001	15500000	1.023	0.971
1:15500001-16000000	1	15500001	16000000	0.956	0.929
1:16000001-16500000	1	16000001	16500000	1.033	1.081
1:17000001-17500000	1	17000001	17500000	1.042	1.015
1:17500001-18000000	1	17500001	18000000	1.061	0.97
1:18000001-18500000	1	18000001	18500000	1.096	1.023
1:18500001-19000000	1	18500001	19000000	1.158	1.028
1:19000001-19500000	1	19000001	19500000	0.86	0.865
1:19500001-20000000	1	19500001	20000000	1.125	1.01
1:20000001-20500000	1	20000001	20500000	1.131	1.067
1:20500001-21000000	1	20500001	21000000	0.975	0.957
1:21000001-21500000	1	21000001	21500000	1.026	0.978
1:21500001-22000000	1	21500001	22000000	1.031	1.097
1:22000001-22500000	1	22000001	22500000	1.061	1.122
1:22500001-23000000	1	22500001	23000000	1.281	1.034
1:23000001-23500000	1	23000001	23500000	1.015	0.909
1:23500001-24000000	1	23500001	24000000	0.944	1.039
1:24000001-24500000	1	24000001	24500000	0.991	0.953
1:24500001-25000000	1	24500001	25000000	1.033	0.911
1:25000001-25500000	1	25000001	25500000	0.891	0.957
1:25500001-26000000	1	25500001	26000000	1.102	0.992
1:26000001-26500000	1	26000001	26500000	0.983	0.996
1:26500001-27000000	1	26500001	27000000	0.816	1.081
1:27000001-27500000	1	27000001	27500000	1.014	1.027
1:27500001-28000000	1	27500001	28000000	0.898	1.004
1:28000001-28500000	1	28000001	28500000	0.968	0.85
1:28500001-29000000	1	28500001	29000000	0.884	0.958
1:29000001-29500000	1	29000001	29500000	0.983	1.107
1:29500001-30000000	1	29500001	30000000	1.076	1.04
1:30000001-30500000	1	30000001	30500000	1.151	1.05
1:30500001-31000000	1	30500001	31000000	1.011	1.018
1:31000001-31500000	1	31000001	31500000	0.985	1.005
1:31500001-32000000	1	31500001	32000000	1.051	1.007
1:32500001-33000000	1	32500001	33000000	0.935	0.989
1:33000001-33500000	1	33000001	33500000	1.022	0.948
1:34000001-34500000	1	34000001	34500000	1.097	1.092
1:34500001-35000000	1	34500001	35000000	1.041	1.038
