feature	chromosome	start	end	SLX-16150.D707tp_D501tp.HC22VBBXY.s_3.r_1	SLX-17921.D702tp_D504tp.H5J55BBXY.s_8.r_1	SLX-17921.D706tp_D506tp.H5J55BBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	1.018	1.031	1.083
1:2000001-2500000	1	2000001	2500000	0.913	1.058	0.978
1:3000001-3500000	1	3000001	3500000	1.054	1.161	1.008
1:3500001-4000000	1	3500001	4000000	0.966	1.012	1.008
1:4000001-4500000	1	4000001	4500000	0.911	1.036	0.991
1:4500001-5000000	1	4500001	5000000	1.037	0.957	1.001
1:5000001-5500000	1	5000001	5500000	1.11	1.014	0.926
1:6000001-6500000	1	6000001	6500000	1.052	1.085	1.091
1:6500001-7000000	1	6500001	7000000	1.033	0.963	0.925
1:7000001-7500000	1	7000001	7500000	1.025	0.975	1.059
1:7500001-8000000	1	7500001	8000000	1.095	1.015	1.002
1:8000001-8500000	1	8000001	8500000	1.014	1.101	0.954
1:9000001-9500000	1	9000001	9500000	0.967	0.94	0.967
1:10000001-10500000	1	10000001	10500000	1.043	0.839	0.946
1:10500001-11000000	1	10500001	11000000	1.059	0.964	1.036
1:11000001-11500000	1	11000001	11500000	1.116	1.079	0.991
1:11500001-12000000	1	11500001	12000000	1.115	0.962	1.032
1:12000001-12500000	1	12000001	12500000	1.039	1.068	0.956
1:13500001-14000000	1	13500001	14000000	0.95	1.027	0.988
1:14000001-14500000	1	14000001	14500000	0.977	1.005	1.053
1:14500001-15000000	1	14500001	15000000	1.061	1.079	0.991
1:15000001-15500000	1	15000001	15500000	0.984	1.091	0.931
1:15500001-16000000	1	15500001	16000000	0.974	1.01	0.92
1:16000001-16500000	1	16000001	16500000	1.065	0.986	0.989
1:17000001-17500000	1	17000001	17500000	1.017	0.967	0.938
1:17500001-18000000	1	17500001	18000000	1.025	1.003	1.045
1:18000001-18500000	1	18000001	18500000	0.945	0.958	1.001
1:18500001-19000000	1	18500001	19000000	1.062	1.007	1.007
1:19000001-19500000	1	19000001	19500000	0.962	0.95	0.96
1:19500001-20000000	1	19500001	20000000	1.125	0.936	1.037
1:20000001-20500000	1	20000001	20500000	1.074	1.031	1.068
1:20500001-21000000	1	20500001	21000000	0.946	0.917	0.989
1:21000001-21500000	1	21000001	21500000	0.956	1.003	0.986
1:21500001-22000000	1	21500001	22000000	0.958	1.096	1.006
1:22000001-22500000	1	22000001	22500000	1.054	1.087	1.012
1:22500001-23000000	1	22500001	23000000	1.053	1.04	1.126
1:23000001-23500000	1	23000001	23500000	0.924	1.016	1.012
1:23500001-24000000	1	23500001	24000000	1.115	0.999	0.988
1:24000001-24500000	1	24000001	24500000	1.075	0.897	0.976
