feature	chromosome	start	end	SLX-16150.D707tp_D508tp.HC22VBBXY.s_3.r_1	SLX-17921.D702tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D708tp_D502tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	0.977	0.954	1.019
1:2000001-2500000	1	2000001	2500000	0.879	1.028	1.043
1:3000001-3500000	1	3000001	3500000	0.994	0.979	0.963
1:3500001-4000000	1	3500001	4000000	0.877	1.007	0.997
1:4000001-4500000	1	4000001	4500000	1.056	1.106	1.102
1:4500001-5000000	1	4500001	5000000	1.018	0.917	1.077
1:5000001-5500000	1	5000001	5500000	1.055	1.046	0.994
1:6000001-6500000	1	6000001	6500000	1.065	0.934	1.134
1:6500001-7000000	1	6500001	7000000	0.989	1.023	0.979
1:7000001-7500000	1	7000001	7500000	1.049	1.047	1.025
1:7500001-8000000	1	7500001	8000000	0.842	1.165	0.966
1:8000001-8500000	1	8000001	8500000	1.105	1.029	1.004
1:9000001-9500000	1	9000001	9500000	1.093	1.081	0.998
1:10000001-10500000	1	10000001	10500000	0.938	0.833	0.938
1:10500001-11000000	1	10500001	11000000	0.964	1.066	1.145
1:11000001-11500000	1	11000001	11500000	1.069	1.143	1.068
1:11500001-12000000	1	11500001	12000000	1.052	1.001	1.014
1:12000001-12500000	1	12000001	12500000	0.85	0.999	1.004
1:13500001-14000000	1	13500001	14000000	1.059	0.936	1.007
1:14000001-14500000	1	14000001	14500000	1.065	0.999	1.054
1:14500001-15000000	1	14500001	15000000	0.974	0.94	1.047
1:15000001-15500000	1	15000001	15500000	0.969	0.991	1.04
1:15500001-16000000	1	15500001	16000000	1.02	1.032	0.907
1:16000001-16500000	1	16000001	16500000	1.041	1.03	1.014
1:17000001-17500000	1	17000001	17500000	1.06	0.975	1.001
1:17500001-18000000	1	17500001	18000000	1.064	1.007	1.06
1:18000001-18500000	1	18000001	18500000	0.974	1.059	0.989
1:18500001-19000000	1	18500001	19000000	1.079	1.056	1.046
1:19000001-19500000	1	19000001	19500000	0.901	0.912	0.936
1:19500001-20000000	1	19500001	20000000	0.889	1.116	1.069
1:20000001-20500000	1	20000001	20500000	0.977	0.993	1.068
1:20500001-21000000	1	20500001	21000000	0.817	1.031	1.031
1:21000001-21500000	1	21000001	21500000	0.986	1.017	1
1:21500001-22000000	1	21500001	22000000	1.035	1.069	1.07
1:22000001-22500000	1	22000001	22500000	1.05	1.03	1.015
1:22500001-23000000	1	22500001	23000000	0.998	0.996	1.023
1:23000001-23500000	1	23000001	23500000	0.96	1.087	1.058
1:23500001-24000000	1	23500001	24000000	0.969	1.05	1.009
1:24000001-24500000	1	24000001	24500000	0.985	1.058	1.015
1:24500001-25000000	1	24500001	25000000	0.916	1.043	0.963
1:25000001-25500000	1	25000001	25500000	0.904	1.024	0.956
1:25500001-26000000	1	25500001	26000000	1.035	1	1.063
1:26000001-26500000	1	26000001	26500000	0.988	1.036	0.977
1:26500001-27000000	1	26500001	27000000	1.016	1.008	0.95
1:27000001-27500000	1	27000001	27500000	1.065	1.044	0.995
1:27500001-28000000	1	27500001	28000000	0.986	0.965	0.939
1:28000001-28500000	1	28000001	28500000	1.002	0.84	0.998
