feature	chromosome	start	end	SLX-17921.D707tp_D506tp.H5J55BBXY.s_8.r_1	SLX-17922.D709tp_D503tp.HC22GBBXY.s_6.r_1	SLX-17922.D711tp_D502tp.HC22GBBXY.s_6.r_1
1:1000001-1500000	1	1000001	1500000	0.996	1.105	0.997
1:2000001-2500000	1	2000001	2500000	0.962	1.007	1.058
1:3000001-3500000	1	3000001	3500000	1.036	1.137	1.018
1:3500001-4000000	1	3500001	4000000	0.986	0.977	1.06
1:4000001-4500000	1	4000001	4500000	1.141	1.016	1.108
1:4500001-5000000	1	4500001	5000000	1.019	1.071	0.995
1:5000001-5500000	1	5000001	5500000	1.09	1.009	0.951
1:6000001-6500000	1	6000001	6500000	1.06	1.086	1.064
1:6500001-7000000	1	6500001	7000000	0.876	0.934	0.953
1:7000001-7500000	1	7000001	7500000	1.039	1.012	0.981
1:7500001-8000000	1	7500001	8000000	0.982	1.018	1.048
1:8000001-8500000	1	8000001	8500000	0.964	1.067	1.047
1:9000001-9500000	1	9000001	9500000	1.017	1.102	1.056
1:10000001-10500000	1	10000001	10500000	1.026	0.984	0.917
1:10500001-11000000	1	10500001	11000000	1.036	1.006	0.969
1:11000001-11500000	1	11000001	11500000	1.114	1.106	1.007
1:11500001-12000000	1	11500001	12000000	1.061	1.053	1.045
1:12000001-12500000	1	12000001	12500000	0.976	0.995	1.099
1:13500001-14000000	1	13500001	14000000	1.029	1.08	1.024
1:14000001-14500000	1	14000001	14500000	1.019	1.062	1.099
1:14500001-15000000	1	14500001	15000000	1.053	1.025	1.107
1:15000001-15500000	1	15000001	15500000	0.94	1.018	1.098
1:15500001-16000000	1	15500001	16000000	0.901	1.042	0.994
1:16000001-16500000	1	16000001	16500000	0.874	1.03	1.122
1:17000001-17500000	1	17000001	17500000	0.953	0.895	0.873
1:17500001-18000000	1	17500001	18000000	1.042	1.057	1.065
1:18000001-18500000	1	18000001	18500000	0.971	0.952	0.95
1:18500001-19000000	1	18500001	19000000	1.01	1.009	1.097
1:19000001-19500000	1	19000001	19500000	0.93	0.969	0.901
1:19500001-20000000	1	19500001	20000000	1.012	1.009	1.233
1:20000001-20500000	1	20000001	20500000	1.02	1.105	1.134
1:20500001-21000000	1	20500001	21000000	0.847	0.912	0.937
1:21000001-21500000	1	21000001	21500000	0.972	1.096	0.923
1:21500001-22000000	1	21500001	22000000	0.968	1.036	0.979
1:22000001-22500000	1	22000001	22500000	1.087	0.934	1.059
1:22500001-23000000	1	22500001	23000000	1.052	1.05	1.063
1:23000001-23500000	1	23000001	23500000	1.038	1.055	1.027
1:23500001-24000000	1	23500001	24000000	1.115	1.024	0.969
1:24000001-24500000	1	24000001	24500000	1.03	1.036	1.067
1:24500001-25000000	1	24500001	25000000	0.995	0.96	0.952
1:25000001-25500000	1	25000001	25500000	0.969	0.935	0.998
1:25500001-26000000	1	25500001	26000000	1.03	0.997	0.992
1:26000001-26500000	1	26000001	26500000	0.938	0.935	0.93
1:26500001-27000000	1	26500001	27000000	0.912	0.924	0.885
1:27000001-27500000	1	27000001	27500000	1.003	1.058	0.971
1:27500001-28000000	1	27500001	28000000	0.963	1.111	0.946
1:28000001-28500000	1	28000001	28500000	0.887	0.967	0.984
1:28500001-29000000	1	28500001	29000000	0.827	1.104	1.083
1:29000001-29500000	1	29000001	29500000	0.893	1.021	1.064
1:29500001-30000000	1	29500001	30000000	1.021	0.99	1.117
1:30000001-30500000	1	30000001	30500000	1.036	1.089	1.097
1:30500001-31000000	1	30500001	31000000	1.041	0.836	1.029
1:31000001-31500000	1	31000001	31500000	0.941	0.988	0.973
1:31500001-32000000	1	31500001	32000000	0.976	0.904	1.045
1:32500001-33000000	1	32500001	33000000	1.056	1.103	1
1:33000001-33500000	1	33000001	33500000	0.878	1.051	0.9
1:34000001-34500000	1	34000001	34500000	1.081	0.998	1.074
1:34500001-35000000	1	34500001	35000000	0.932	1.093	1.068
1:35000001-35500000	1	35000001	35500000	1.044	0.93	1.072
1:35500001-36000000	1	35500001	36000000	0.926	1.036	1.039
1:36000001-36500000	1	36000001	36500000	0.893	1.085	0.968
1:36500001-37000000	1	36500001	37000000	1.057	1.005	0.976
1:37000001-37500000	1	37000001	37500000	1.083	1.101	1.099
1:37500001-38000000	1	37500001	38000000	0.971	0.992	1.006
1:38000001-38500000	1	38000001	38500000	0.991	1.088	1.005
1:39000001-39500000	1	39000001	39500000	1.052	0.921	1.043
1:39500001-40000000	1	39500001	40000000	1.079	1.052	1.038
1:40000001-40500000	1	40000001	40500000	0.855	0.875	1.011
1:40500001-41000000	1	40500001	41000000	1.07	1.174	0.961
1:41000001-41500000	1	41000001	41500000	1.01	1.095	0.962
1:41500001-42000000	1	41500001	42000000	1.065	1.001	1.065
1:42000001-42500000	1	42000001	42500000	1.005	0.849	0.959
1:42500001-43000000	1	42500001	43000000	1.02	0.946	0.886
1:43000001-43500000	1	43000001	43500000	0.925	0.946	0.976
1:43500001-44000000	1	43500001	44000000	0.983	1.023	1.057
1:44000001-44500000	1	44000001	44500000	0.965	1.177	0.994
1:44500001-45000000	1	44500001	45000000	1.144	1.074	1.027
1:45000001-45500000	1	45000001	45500000	1.024	0.984	1.139
1:45500001-46000000	1	45500001	46000000	0.932	0.958	0.898
1:46000001-46500000	1	46000001	46500000	0.987	1.067	1.074
1:46500001-47000000	1	46500001	47000000	1.039	1.173	1.002
1:47000001-47500000	1	47000001	47500000	1.1	0.962	1.064
1:47500001-48000000	1	47500001	48000000	1.039	0.992	1.007
1:48000001-48500000	1	48000001	48500000	1.175	1.075	1.043
1:48500001-49000000	1	48500001	49000000	1.05	1.063	1.119
1:49000001-49500000	1	49000001	49500000	1.079	1.021	1.04
1:49500001-50000000	1	49500001	50000000	1.025	1.118	1.022
1:50500001-51000000	1	50500001	51000000	1.041	0.999	1.032
1:51000001-51500000	1	51000001	51500000	1.046	1.071	1.12
1:51500001-52000000	1	51500001	52000000	0.937	0.945	1.027
1:52000001-52500000	1	52000001	52500000	1.063	0.988	0.983
1:53000001-53500000	1	53000001	53500000	0.972	0.904	0.999
1:53500001-54000000	1	53500001	54000000	1.069	1.044	0.984
1:54000001-54500000	1	54000001	54500000	1.022	1.03	1.119
1:54500001-55000000	1	54500001	55000000	1.099	1.194	1.128
1:55500001-56000000	1	55500001	56000000	0.95	1.183	1.003
1:56000001-56500000	1	56000001	56500000	1.081	1.133	1.129
1:56500001-57000000	1	56500001	57000000	1.058	0.91	1.019
1:57000001-57500000	1	57000001	57500000	0.978	1.062	1.083
1:57500001-58000000	1	57500001	58000000	1.169	1.017	1.048
1:58000001-58500000	1	58000001	58500000	1.086	1.064	1.163
1:58500001-59000000	1	58500001	59000000	1.043	0.873	1.082
1:59000001-59500000	1	59000001	59500000	1.055	1.058	0.944
1:59500001-60000000	1	59500001	60000000	1.035	1.148	1.052
1:60000001-60500000	1	60000001	60500000	1.062	0.96	1.096
1:60500001-61000000	1	60500001	61000000	1.058	1.159	1.138
1:61000001-61500000	1	61000001	61500000	0.987	0.98	1.047
1:61500001-62000000	1	61500001	62000000	0.982	0.99	1.05
1:62000001-62500000	1	62000001	62500000	0.959	0.864	0.958
1:62500001-63000000	1	62500001	63000000	0.999	0.956	1.02
1:63000001-63500000	1	63000001	63500000	0.948	0.854	0.94
1:63500001-64000000	1	63500001	64000000	1.089	1.077	1.063
1:64000001-64500000	1	64000001	64500000	1.011	0.958	1.082
1:64500001-65000000	1	64500001	65000000	0.974	1.08	0.95
1:65000001-65500000	1	65000001	65500000	1.028	0.985	0.978
