feature	chromosome	start	end	SLX-17922.D708tp_D506tp.HC22GBBXY.s_6.r_1	SLX-17922.D709tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17922.D709tp_D506tp.HC22GBBXY.s_6.r_1	SLX-16150.D709tp_D507tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	1.032	1.046	1.048	1.098
1:2000001-2500000	1	2000001	2500000	0.918	1.064	1.001	1.055
1:3000001-3500000	1	3000001	3500000	0.991	1.036	1.147	1.002
1:3500001-4000000	1	3500001	4000000	0.979	0.963	0.953	0.966
1:4000001-4500000	1	4000001	4500000	1.083	1.147	1.066	1.05
1:4500001-5000000	1	4500001	5000000	1.007	0.989	1.012	1.023
1:5000001-5500000	1	5000001	5500000	1.033	1.003	0.97	0.984
1:6000001-6500000	1	6000001	6500000	1.044	1.097	1.174	1.043
1:6500001-7000000	1	6500001	7000000	0.987	0.985	1.047	0.966
1:7000001-7500000	1	7000001	7500000	0.983	0.952	1.029	1.038
1:7500001-8000000	1	7500001	8000000	0.971	1.099	1.195	1.084
1:8000001-8500000	1	8000001	8500000	1.017	1.054	1.078	1.043
1:9000001-9500000	1	9000001	9500000	0.972	1.023	0.952	1.074
1:10000001-10500000	1	10000001	10500000	0.987	0.806	1.022	0.947
1:10500001-11000000	1	10500001	11000000	1.034	0.982	1.06	1.038
1:11000001-11500000	1	11000001	11500000	1.009	0.992	0.948	1.033
1:11500001-12000000	1	11500001	12000000	0.979	0.822	0.968	0.913
1:12000001-12500000	1	12000001	12500000	0.989	0.946	0.959	0.898
1:13500001-14000000	1	13500001	14000000	0.961	0.989	1.055	1.074
1:14000001-14500000	1	14000001	14500000	1.121	1.103	0.942	1.029
1:14500001-15000000	1	14500001	15000000	0.996	1.108	1.02	1.027
1:15000001-15500000	1	15000001	15500000	0.901	0.978	0.97	1.048
1:15500001-16000000	1	15500001	16000000	0.857	0.875	0.921	0.925
1:16000001-16500000	1	16000001	16500000	0.973	0.978	1.053	0.959
1:17000001-17500000	1	17000001	17500000	1.048	1.044	1.005	0.941
1:17500001-18000000	1	17500001	18000000	0.929	1.026	0.999	1.078
1:18000001-18500000	1	18000001	18500000	1.029	1.035	1.067	0.893
1:18500001-19000000	1	18500001	19000000	0.933	1.039	1.016	1.049
1:19000001-19500000	1	19000001	19500000	1.017	0.919	0.908	0.899
1:19500001-20000000	1	19500001	20000000	1.034	1.161	1.012	1.086
1:20000001-20500000	1	20000001	20500000	1.017	1.138	1.092	1.037
1:20500001-21000000	1	20500001	21000000	0.98	0.992	0.909	0.997
1:21000001-21500000	1	21000001	21500000	0.902	0.936	0.932	1.126
1:21500001-22000000	1	21500001	22000000	0.924	1.032	1.07	0.944
1:22000001-22500000	1	22000001	22500000	1.059	0.988	0.965	1.039
1:22500001-23000000	1	22500001	23000000	1.082	1.13	1.002	0.975
1:23000001-23500000	1	23000001	23500000	0.92	1.035	0.959	1.074
1:23500001-24000000	1	23500001	24000000	0.977	1.055	1.04	1.001
1:24000001-24500000	1	24000001	24500000	0.978	0.96	0.931	0.952
1:24500001-25000000	1	24500001	25000000	1.02	0.945	0.958	0.895
1:25000001-25500000	1	25000001	25500000	0.923	0.93	0.991	0.944
1:25500001-26000000	1	25500001	26000000	1.024	0.916	0.969	0.969
1:26000001-26500000	1	26000001	26500000	0.904	1.044	0.966	0.892
1:26500001-27000000	1	26500001	27000000	0.947	0.996	0.889	1.021
1:27000001-27500000	1	27000001	27500000	0.998	1.029	0.941	1.136
1:27500001-28000000	1	27500001	28000000	0.864	0.938	0.908	1.081
1:28000001-28500000	1	28000001	28500000	0.927	0.874	0.899	0.92
1:28500001-29000000	1	28500001	29000000	0.898	0.997	0.994	1.001
1:29000001-29500000	1	29000001	29500000	0.988	1.021	1.011	0.947
1:29500001-30000000	1	29500001	30000000	0.897	1.005	1.025	0.95
1:30000001-30500000	1	30000001	30500000	0.999	1.084	1.107	1.024
1:30500001-31000000	1	30500001	31000000	0.999	0.985	0.998	0.97
1:31000001-31500000	1	31000001	31500000	0.965	0.96	0.975	1.018
1:31500001-32000000	1	31500001	32000000	0.974	1.026	1.099	1.065
1:32500001-33000000	1	32500001	33000000	0.906	1.04	1.033	1.008
1:33000001-33500000	1	33000001	33500000	0.886	1.045	0.977	0.981
1:34000001-34500000	1	34000001	34500000	0.988	1.036	1.053	0.969
1:34500001-35000000	1	34500001	35000000	0.903	1.039	0.959	1.055
1:35000001-35500000	1	35000001	35500000	0.957	0.913	1.051	0.97
1:35500001-36000000	1	35500001	36000000	0.948	0.98	0.989	0.985
1:36000001-36500000	1	36000001	36500000	0.998	0.954	1	0.818
1:36500001-37000000	1	36500001	37000000	0.911	1.04	1.02	1.026
1:37000001-37500000	1	37000001	37500000	1.027	1.023	0.95	1.069
1:37500001-38000000	1	37500001	38000000	1.045	1.008	1.078	1.033
1:38000001-38500000	1	38000001	38500000	1.026	0.933	1.039	1.028
1:39000001-39500000	1	39000001	39500000	1.006	0.882	1.028	1.003
1:39500001-40000000	1	39500001	40000000	1.107	1.196	1.053	0.973
1:40000001-40500000	1	40000001	40500000	0.891	0.943	0.966	0.862
1:40500001-41000000	1	40500001	41000000	1.001	0.973	0.967	1.01
1:41000001-41500000	1	41000001	41500000	1.093	1.124	1.091	1.059
1:41500001-42000000	1	41500001	42000000	1.033	1.057	0.988	0.884
1:42000001-42500000	1	42000001	42500000	1.002	1.037	1.078	1.05
1:42500001-43000000	1	42500001	43000000	1.105	0.895	0.869	0.84
1:43000001-43500000	1	43000001	43500000	1.011	1.097	0.871	0.949
1:43500001-44000000	1	43500001	44000000	1.021	0.965	1.049	0.976
1:44000001-44500000	1	44000001	44500000	0.981	0.987	1.038	0.917
1:44500001-45000000	1	44500001	45000000	1.045	0.992	1.142	1.027
1:45000001-45500000	1	45000001	45500000	1.046	0.976	1.062	1.036
1:45500001-46000000	1	45500001	46000000	0.986	0.856	0.961	0.887
1:46000001-46500000	1	46000001	46500000	1.052	1.096	1.006	0.974
1:46500001-47000000	1	46500001	47000000	0.909	1.111	1.14	1.127
1:47000001-47500000	1	47000001	47500000	1.036	0.998	1.007	0.965
1:47500001-48000000	1	47500001	48000000	1.075	1.069	1.039	1
1:48000001-48500000	1	48000001	48500000	1.019	1.053	1.12	1.011
1:48500001-49000000	1	48500001	49000000	1.075	1.028	1.059	0.983
1:49000001-49500000	1	49000001	49500000	0.999	0.947	1.101	1.088
1:49500001-50000000	1	49500001	50000000	0.967	1.117	1.063	1.197
1:50500001-51000000	1	50500001	51000000	1.014	1.101	0.949	0.983
1:51000001-51500000	1	51000001	51500000	0.997	1.051	0.97	0.968
1:51500001-52000000	1	51500001	52000000	1.053	0.967	0.984	1.013
1:52000001-52500000	1	52000001	52500000	1.015	0.961	1.047	0.962
1:53000001-53500000	1	53000001	53500000	1.018	1.036	0.99	1.038
1:53500001-54000000	1	53500001	54000000	1.035	0.882	0.973	1.029
1:54000001-54500000	1	54000001	54500000	1.062	0.93	1.053	0.998
1:54500001-55000000	1	54500001	55000000	1.002	1.03	1.11	0.953
1:55500001-56000000	1	55500001	56000000	0.996	1.023	0.997	1.072
1:56000001-56500000	1	56000001	56500000	1.103	1.046	0.918	1.017
1:56500001-57000000	1	56500001	57000000	0.956	1.058	1.042	0.993
1:57000001-57500000	1	57000001	57500000	0.996	1.011	1.021	0.992
1:57500001-58000000	1	57500001	58000000	1.011	1.019	0.987	0.985
1:58000001-58500000	1	58000001	58500000	1.053	1.019	1.061	1.143
1:58500001-59000000	1	58500001	59000000	1.037	0.973	0.937	1.029
1:59000001-59500000	1	59000001	59500000	0.908	0.967	1.022	1.02
1:59500001-60000000	1	59500001	60000000	1.022	0.962	1.097	1.021
1:60000001-60500000	1	60000001	60500000	1.021	1.002	0.979	0.946
1:60500001-61000000	1	60500001	61000000	1.12	1.122	0.996	1.152
1:61000001-61500000	1	61000001	61500000	0.995	1.015	0.98	0.965
1:61500001-62000000	1	61500001	62000000	0.968	0.962	1.003	1.03
1:62000001-62500000	1	62000001	62500000	1.058	0.985	1.068	0.994
1:62500001-63000000	1	62500001	63000000	1.046	0.973	1.005	1.033
1:63000001-63500000	1	63000001	63500000	1.013	0.922	1	1.042
1:63500001-64000000	1	63500001	64000000	0.976	0.97	1.043	1.136
1:64000001-64500000	1	64000001	64500000	1.06	1.025	1.052	0.971
1:64500001-65000000	1	64500001	65000000	1.06	0.993	1.004	0.988
1:65000001-65500000	1	65000001	65500000	0.969	1.003	1.031	0.987
1:65500001-66000000	1	65500001	66000000	1.055	1.139	1.128	1.133
1:66500001-67000000	1	66500001	67000000	0.994	1.151	0.981	1.166
1:67000001-67500000	1	67000001	67500000	0.999	0.95	0.98	0.965
1:68000001-68500000	1	68000001	68500000	1.052	1.037	1.039	1.048
1:68500001-69000000	1	68500001	69000000	0.904	0.945	1.038	1.136
1:69000001-69500000	1	69000001	69500000	1.019	1.002	1.08	1.072
1:69500001-70000000	1	69500001	70000000	1	1.026	1.156	1.142
1:70000001-70500000	1	70000001	70500000	1.007	0.88	0.983	1.026
1:70500001-71000000	1	70500001	71000000	1.009	1.042	0.93	1.019
1:71000001-71500000	1	71000001	71500000	1.036	1.151	1.045	1.036
1:71500001-72000000	1	71500001	72000000	1.013	1.021	1.047	1.03
1:72000001-72500000	1	72000001	72500000	1.017	1.008	1.043	1.055
1:72500001-73000000	1	72500001	73000000	1.039	0.958	1.001	1.01
1:73500001-74000000	1	73500001	74000000	0.922	0.944	0.997	0.911
1:74000001-74500000	1	74000001	74500000	0.982	0.993	1.071	1.113
1:74500001-75000000	1	74500001	75000000	0.989	1.087	1.056	0.997
1:75000001-75500000	1	75000001	75500000	0.962	0.945	1.049	1.166
1:75500001-76000000	1	75500001	76000000	1.013	1.093	0.934	1.026
1:76000001-76500000	1	76000001	76500000	1.067	1.032	1.045	1.03
1:77000001-77500000	1	77000001	77500000	0.982	0.996	1.036	0.911
1:77500001-78000000	1	77500001	78000000	0.985	0.932	0.897	1.011
1:78000001-78500000	1	78000001	78500000	1.036	1.004	0.989	1.022
1:78500001-79000000	1	78500001	79000000	0.978	1.009	1.14	1.077
1:79000001-79500000	1	79000001	79500000	1.015	1.04	1.045	0.952
1:79500001-80000000	1	79500001	80000000	0.987	0.934	0.888	0.95
1:80000001-80500000	1	80000001	80500000	0.956	1.098	0.971	1.013
1:80500001-81000000	1	80500001	81000000	1.012	0.981	0.988	0.992
1:81000001-81500000	1	81000001	81500000	1.031	1.023	1	0.904
1:81500001-82000000	1	81500001	82000000	1.056	0.931	0.927	0.972
1:82000001-82500000	1	82000001	82500000	0.971	1.034	1.032	0.909
1:82500001-83000000	1	82500001	83000000	1.067	0.926	1.036	0.965
1:83500001-84000000	1	83500001	84000000	0.904	1.045	1.053	1.037
1:84000001-84500000	1	84000001	84500000	1.05	1.002	1.044	0.927
1:84500001-85000000	1	84500001	85000000	0.987	0.998	0.912	0.959
1:85000001-85500000	1	85000001	85500000	1.066	1.028	0.971	1.031
1:85500001-86000000	1	85500001	86000000	1.177	1.015	1.146	1.151
1:86000001-86500000	1	86000001	86500000	1.021	0.982	1.044	1.039
1:86500001-87000000	1	86500001	87000000	1.028	1.118	1.01	1.065
1:87000001-87500000	1	87000001	87500000	1.037	1.027	1.046	1.06
1:87500001-88000000	1	87500001	88000000	0.968	0.94	1.02	1.111
1:88000001-88500000	1	88000001	88500000	1.035	1.121	0.979	1.11
1:88500001-89000000	1	88500001	89000000	0.969	0.973	0.945	1.004
1:89000001-89500000	1	89000001	89500000	0.994	0.995	0.915	1.032
1:89500001-90000000	1	89500001	90000000	1.001	0.955	0.953	1.015
1:90000001-90500000	1	90000001	90500000	1.007	1.016	1.092	0.933
1:90500001-91000000	1	90500001	91000000	0.977	0.919	1.023	0.972
1:91000001-91500000	1	91000001	91500000	1.013	1.048	1.093	1.074
1:91500001-92000000	1	91500001	92000000	1.003	1.004	1.031	0.966
1:92000001-92500000	1	92000001	92500000	1.016	0.992	1.013	1.055
1:92500001-93000000	1	92500001	93000000	1	0.997	0.909	0.994
1:93000001-93500000	1	93000001	93500000	0.924	0.972	0.9	0.838
1:94000001-94500000	1	94000001	94500000	1.017	1.032	0.977	1.012
1:94500001-95000000	1	94500001	95000000	0.962	1.049	1.112	0.914
1:95000001-95500000	1	95000001	95500000	1.016	0.944	1.038	0.993
1:95500001-96000000	1	95500001	96000000	1.072	1.015	1.062	1.041
1:96000001-96500000	1	96000001	96500000	0.976	0.963	1.035	1.019
1:96500001-97000000	1	96500001	97000000	0.976	1.093	1.086	1.16
1:97000001-97500000	1	97000001	97500000	1.096	1.083	0.935	1.053
1:97500001-98000000	1	97500001	98000000	1.057	1.036	1.025	1.044
1:98000001-98500000	1	98000001	98500000	0.997	1.116	1.031	0.962
1:98500001-99000000	1	98500001	99000000	1.005	0.941	0.972	1.023
1:99000001-99500000	1	99000001	99500000	1.033	1.012	1.046	1.069
1:99500001-100000000	1	99500001	100000000	1.001	1.019	1.002	1.138
1:100000001-100500000	1	100000001	100500000	1.017	0.917	1.012	0.927
1:100500001-101000000	1	100500001	101000000	1.002	0.923	0.999	1.115
1:101000001-101500000	1	101000001	101500000	1.05	1.001	0.906	1.075
1:101500001-102000000	1	101500001	102000000	1.075	1.131	1.079	1.086
1:102500001-103000000	1	102500001	103000000	0.982	0.963	0.89	0.922
1:103000001-103500000	1	103000001	103500000	1.028	0.91	1.015	1.047
