feature	chromosome	start	end	SLX-17921.D704tp_D503tp.H5J55BBXY.s_8.r_1	SLX-16150.D710tp_D505tp.HC22VBBXY.s_3.r_1	SLX-16150.D710tp_D508tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	1.123	0.956	1.044
1:2000001-2500000	1	2000001	2500000	0.92	0.829	1.025
1:3000001-3500000	1	3000001	3500000	1.094	0.925	0.988
1:3500001-4000000	1	3500001	4000000	0.945	0.894	1.011
1:4000001-4500000	1	4000001	4500000	1.044	0.87	1.045
1:4500001-5000000	1	4500001	5000000	1.041	0.839	1.021
1:5000001-5500000	1	5000001	5500000	1.03	0.922	1.094
1:6000001-6500000	1	6000001	6500000	1.044	0.973	1.074
1:6500001-7000000	1	6500001	7000000	1.014	0.806	0.906
1:7000001-7500000	1	7000001	7500000	1.049	0.899	1.029
1:7500001-8000000	1	7500001	8000000	1.064	0.827	0.991
1:8000001-8500000	1	8000001	8500000	0.867	0.75	1.034
1:9000001-9500000	1	9000001	9500000	1.054	0.746	1.091
1:10000001-10500000	1	10000001	10500000	0.862	0.808	1.01
1:10500001-11000000	1	10500001	11000000	1.076	0.865	1.052
1:11000001-11500000	1	11000001	11500000	1.027	0.832	1
1:11500001-12000000	1	11500001	12000000	0.937	0.77	0.957
1:12000001-12500000	1	12000001	12500000	1.045	0.834	0.99
1:13500001-14000000	1	13500001	14000000	1.002	0.865	1.022
1:14000001-14500000	1	14000001	14500000	1.083	0.851	1.08
1:14500001-15000000	1	14500001	15000000	1.008	0.855	0.967
1:15000001-15500000	1	15000001	15500000	1.04	0.791	1.009
1:15500001-16000000	1	15500001	16000000	0.948	0.734	1.036
1:16000001-16500000	1	16000001	16500000	0.924	0.785	1.047
1:17000001-17500000	1	17000001	17500000	1.075	0.708	1.044
1:17500001-18000000	1	17500001	18000000	1.022	0.9	1.11
1:18000001-18500000	1	18000001	18500000	0.995	0.932	1.094
1:18500001-19000000	1	18500001	19000000	0.993	0.922	1.057
1:19000001-19500000	1	19000001	19500000	0.996	0.822	0.956
1:19500001-20000000	1	19500001	20000000	1.016	0.805	1.123
1:20000001-20500000	1	20000001	20500000	1.072	0.817	1.011
1:20500001-21000000	1	20500001	21000000	1.095	0.676	0.94
1:21000001-21500000	1	21000001	21500000	0.92	0.758	0.935
1:21500001-22000000	1	21500001	22000000	0.999	0.801	1.074
1:22000001-22500000	1	22000001	22500000	1.051	0.657	1.098
1:22500001-23000000	1	22500001	23000000	1.011	0.866	1.005
1:23000001-23500000	1	23000001	23500000	0.992	0.747	1.019
1:23500001-24000000	1	23500001	24000000	0.994	0.695	1.021
1:24000001-24500000	1	24000001	24500000	1.123	0.832	1.06
1:24500001-25000000	1	24500001	25000000	1.01	0.657	0.923
1:25000001-25500000	1	25000001	25500000	1.065	0.68	0.952
1:25500001-26000000	1	25500001	26000000	0.987	0.534	0.932
1:26000001-26500000	1	26000001	26500000	0.95	0.479	1.001
1:26500001-27000000	1	26500001	27000000	0.924	0.41	0.952
1:27000001-27500000	1	27000001	27500000	0.959	0.484	0.968
1:27500001-28000000	1	27500001	28000000	0.891	0.432	0.961
1:28000001-28500000	1	28000001	28500000	0.926	0.646	0.86
1:28500001-29000000	1	28500001	29000000	0.931	0.804	1.003
1:29000001-29500000	1	29000001	29500000	1.015	0.792	1.057
1:29500001-30000000	1	29500001	30000000	0.975	0.819	0.995
1:30000001-30500000	1	30000001	30500000	1.004	0.96	1.042
1:30500001-31000000	1	30500001	31000000	0.968	0.779	0.984
1:31000001-31500000	1	31000001	31500000	1.022	0.689	1.011
1:31500001-32000000	1	31500001	32000000	1.053	0.809	0.991
1:32500001-33000000	1	32500001	33000000	1.072	0.712	1.097
1:33000001-33500000	1	33000001	33500000	1.073	0.788	0.976
1:34000001-34500000	1	34000001	34500000	1.023	0.888	1.071
1:34500001-35000000	1	34500001	35000000	1.132	0.846	1.073
1:35000001-35500000	1	35000001	35500000	0.938	0.751	1.024
1:35500001-36000000	1	35500001	36000000	1.061	0.81	0.856
1:36000001-36500000	1	36000001	36500000	0.971	0.787	0.932
1:36500001-37000000	1	36500001	37000000	1.031	0.924	1.043
1:37000001-37500000	1	37000001	37500000	0.977	0.907	1.072
1:37500001-38000000	1	37500001	38000000	1.06	0.752	0.962
1:38000001-38500000	1	38000001	38500000	1.012	0.971	1.068
1:39000001-39500000	1	39000001	39500000	0.964	0.835	0.95
1:39500001-40000000	1	39500001	40000000	0.934	0.758	1.027
1:40000001-40500000	1	40000001	40500000	0.855	0.759	0.982
1:40500001-41000000	1	40500001	41000000	1.009	0.794	0.926
1:41000001-41500000	1	41000001	41500000	0.954	0.875	1.059
1:41500001-42000000	1	41500001	42000000	1.015	0.908	1.051
1:42000001-42500000	1	42000001	42500000	0.9	0.907	0.955
1:42500001-43000000	1	42500001	43000000	0.891	0.786	0.937
1:43000001-43500000	1	43000001	43500000	1.02	0.888	1.048
1:43500001-44000000	1	43500001	44000000	0.979	0.777	0.949
1:44000001-44500000	1	44000001	44500000	0.925	0.847	1.043
1:44500001-45000000	1	44500001	45000000	0.939	0.801	1.013
1:45000001-45500000	1	45000001	45500000	0.996	0.763	1.03
1:45500001-46000000	1	45500001	46000000	0.916	0.695	0.987
1:46000001-46500000	1	46000001	46500000	0.974	0.856	1.018
1:46500001-47000000	1	46500001	47000000	1.108	0.801	1.106
1:47000001-47500000	1	47000001	47500000	1.057	0.849	1.076
1:47500001-48000000	1	47500001	48000000	1.039	0.952	1.089
1:48000001-48500000	1	48000001	48500000	1.11	0.872	1.103
1:48500001-49000000	1	48500001	49000000	1.035	0.911	1.036
1:49000001-49500000	1	49000001	49500000	1.014	0.937	1.077
1:49500001-50000000	1	49500001	50000000	0.98	0.828	1.068
1:50500001-51000000	1	50500001	51000000	1.056	0.866	0.986
1:51000001-51500000	1	51000001	51500000	1.031	0.76	1.004
1:51500001-52000000	1	51500001	52000000	0.969	0.753	0.942
1:52000001-52500000	1	52000001	52500000	0.955	0.768	1.012
1:53000001-53500000	1	53000001	53500000	1.063	0.827	1.002
1:53500001-54000000	1	53500001	54000000	0.964	0.811	1.049
1:54000001-54500000	1	54000001	54500000	1.034	0.85	1.017
1:54500001-55000000	1	54500001	55000000	1.047	0.841	1.061
1:55500001-56000000	1	55500001	56000000	1.074	0.922	1.015
1:56000001-56500000	1	56000001	56500000	1.081	0.964	1.041
1:56500001-57000000	1	56500001	57000000	1.143	0.851	1.023
1:57000001-57500000	1	57000001	57500000	0.999	0.871	0.99
1:57500001-58000000	1	57500001	58000000	1.017	0.987	1.062
1:58000001-58500000	1	58000001	58500000	1.111	0.8	1.088
1:58500001-59000000	1	58500001	59000000	0.979	0.856	1
1:59000001-59500000	1	59000001	59500000	0.988	0.951	1.061
1:59500001-60000000	1	59500001	60000000	1.008	0.868	1.081
1:60000001-60500000	1	60000001	60500000	1.063	0.881	1.094
1:60500001-61000000	1	60500001	61000000	1.015	0.952	1.019
1:61000001-61500000	1	61000001	61500000	0.983	0.797	0.934
1:61500001-62000000	1	61500001	62000000	0.896	0.789	0.925
1:62000001-62500000	1	62000001	62500000	0.98	0.826	1.042
1:62500001-63000000	1	62500001	63000000	1.011	0.804	1.039
1:63000001-63500000	1	63000001	63500000	0.923	0.87	0.978
1:63500001-64000000	1	63500001	64000000	0.976	0.865	0.969
1:64000001-64500000	1	64000001	64500000	1.009	0.798	0.974
1:64500001-65000000	1	64500001	65000000	0.983	0.909	1
1:65000001-65500000	1	65000001	65500000	0.929	0.848	0.989
1:65500001-66000000	1	65500001	66000000	1.067	0.835	1.091
1:66500001-67000000	1	66500001	67000000	0.943	0.81	0.994
1:67000001-67500000	1	67000001	67500000	0.987	0.759	0.944
1:68000001-68500000	1	68000001	68500000	0.982	0.918	1.026
1:68500001-69000000	1	68500001	69000000	1.047	0.817	1.019
1:69000001-69500000	1	69000001	69500000	1.063	0.85	1.037
1:69500001-70000000	1	69500001	70000000	1.094	0.846	0.993
1:70000001-70500000	1	70000001	70500000	1.005	0.826	0.99
1:70500001-71000000	1	70500001	71000000	0.959	0.77	0.983
1:71000001-71500000	1	71000001	71500000	0.966	0.791	0.896
1:71500001-72000000	1	71500001	72000000	0.994	0.883	0.972
1:72000001-72500000	1	72000001	72500000	1.007	0.737	1.048
1:72500001-73000000	1	72500001	73000000	1.011	0.86	0.976
1:73500001-74000000	1	73500001	74000000	0.964	0.742	0.92
1:74000001-74500000	1	74000001	74500000	1.084	0.908	1.054
1:74500001-75000000	1	74500001	75000000	0.994	0.814	0.997
1:75000001-75500000	1	75000001	75500000	0.975	0.872	1.127
1:75500001-76000000	1	75500001	76000000	0.981	0.779	0.987
1:76000001-76500000	1	76000001	76500000	1.043	0.911	1.05
1:77000001-77500000	1	77000001	77500000	0.994	0.817	0.971
1:77500001-78000000	1	77500001	78000000	1.003	0.755	0.928
1:78000001-78500000	1	78000001	78500000	1.014	0.812	1.026
1:78500001-79000000	1	78500001	79000000	0.973	0.844	1.037
1:79000001-79500000	1	79000001	79500000	0.899	0.776	0.939
1:79500001-80000000	1	79500001	80000000	0.931	0.805	0.977
1:80000001-80500000	1	80000001	80500000	1.046	0.848	0.975
1:80500001-81000000	1	80500001	81000000	0.971	0.862	0.972
1:81000001-81500000	1	81000001	81500000	1.028	0.875	0.957
1:81500001-82000000	1	81500001	82000000	0.999	0.842	0.993
1:82000001-82500000	1	82000001	82500000	1.097	0.842	0.96
1:82500001-83000000	1	82500001	83000000	0.931	0.892	1.066
1:83500001-84000000	1	83500001	84000000	0.947	0.889	1.121
1:84000001-84500000	1	84000001	84500000	1.005	0.81	0.978
1:84500001-85000000	1	84500001	85000000	0.939	0.826	1.003
1:85000001-85500000	1	85000001	85500000	1.065	0.88	0.915
1:85500001-86000000	1	85500001	86000000	1.015	0.829	1.015
1:86000001-86500000	1	86000001	86500000	0.959	0.883	0.978
1:86500001-87000000	1	86500001	87000000	1.045	0.798	1.013
1:87000001-87500000	1	87000001	87500000	1.074	0.875	1.013
1:87500001-88000000	1	87500001	88000000	0.982	0.964	0.942
1:88000001-88500000	1	88000001	88500000	1.008	0.918	1.042
1:88500001-89000000	1	88500001	89000000	1.024	0.819	0.977
1:89000001-89500000	1	89000001	89500000	0.968	0.789	1.025
1:89500001-90000000	1	89500001	90000000	0.966	0.891	0.969
1:90000001-90500000	1	90000001	90500000	1.113	0.778	1.052
1:90500001-91000000	1	90500001	91000000	0.999	0.861	1.012
1:91000001-91500000	1	91000001	91500000	1.038	0.822	1.112
1:91500001-92000000	1	91500001	92000000	1.015	0.81	0.993
1:92000001-92500000	1	92000001	92500000	0.953	0.745	1.011
1:92500001-93000000	1	92500001	93000000	1.041	0.783	0.986
1:93000001-93500000	1	93000001	93500000	0.83	0.77	0.898
1:94000001-94500000	1	94000001	94500000	0.962	0.842	1.036
1:94500001-95000000	1	94500001	95000000	0.993	0.829	0.987
1:95000001-95500000	1	95000001	95500000	0.984	0.899	1.037
1:95500001-96000000	1	95500001	96000000	0.894	0.8	1.083
1:96000001-96500000	1	96000001	96500000	1.005	0.858	1.01
1:96500001-97000000	1	96500001	97000000	0.983	0.867	0.99
1:97000001-97500000	1	97000001	97500000	1.003	0.89	1.043
1:97500001-98000000	1	97500001	98000000	1.115	0.923	1.017
1:98000001-98500000	1	98000001	98500000	1.03	0.888	1.089
1:98500001-99000000	1	98500001	99000000	0.979	0.828	1.064
1:99000001-99500000	1	99000001	99500000	0.963	0.806	1.027
1:99500001-100000000	1	99500001	100000000	0.896	0.748	1.027
1:100000001-100500000	1	100000001	100500000	1.043	0.763	0.896
1:100500001-101000000	1	100500001	101000000	0.991	0.907	0.98
1:101000001-101500000	1	101000001	101500000	0.966	0.844	0.928
1:101500001-102000000	1	101500001	102000000	0.908	0.888	0.985
1:102500001-103000000	1	102500001	103000000	1.009	0.758	0.999
1:103000001-103500000	1	103000001	103500000	0.979	0.774	1.018
1:104000001-104500000	1	104000001	104500000	0.952	0.761	0.96
1:104500001-105000000	1	104500001	105000000	1.008	0.826	0.937
1:105000001-105500000	1	105000001	105500000	1	0.805	0.988
1:105500001-106000000	1	105500001	106000000	0.96	0.77	1.027
1:106000001-106500000	1	106000001	106500000	1.037	0.843	0.968
1:107000001-107500000	1	107000001	107500000	1.003	0.906	1.02
1:107500001-108000000	1	107500001	108000000	1.03	0.841	1.01
1:108500001-109000000	1	108500001	109000000	0.88	0.776	0.888
1:109000001-109500000	1	109000001	109500000	0.876	0.736	0.955
1:109500001-110000000	1	109500001	110000000	1.003	0.797	1.075
1:110000001-110500000	1	110000001	110500000	1.005	0.862	0.993
1:110500001-111000000	1	110500001	111000000	1.017	0.892	1.067
1:111000001-111500000	1	111000001	111500000	1.056	0.825	1.035
1:111500001-112000000	1	111500001	112000000	0.91	0.92	0.946
1:112000001-112500000	1	112000001	112500000	1.013	0.931	1.073
1:112500001-113000000	1	112500001	113000000	1.066	0.827	1.059
1:113000001-113500000	1	113000001	113500000	0.957	0.704	1.089
1:113500001-114000000	1	113500001	114000000	0.952	0.85	0.898
1:114000001-114500000	1	114000001	114500000	0.987	0.843	1.077
1:114500001-115000000	1	114500001	115000000	0.966	0.803	0.946
1:115000001-115500000	1	115000001	115500000	1.031	0.88	1.099
1:115500001-116000000	1	115500001	116000000	1	0.805	0.981
1:116000001-116500000	1	116000001	116500000	0.956	0.852	1.005
1:116500001-117000000	1	116500001	117000000	1.176	0.858	1.068
1:117000001-117500000	1	117000001	117500000	0.988	0.829	0.969
1:117500001-118000000	1	117500001	118000000	1.045	0.868	1.029
1:118000001-118500000	1	118000001	118500000	1.323	4.282	1.477
1:118500001-119000000	1	118500001	119000000	1.618	6.878	1.986
1:119000001-119500000	1	119000001	119500000	1.454	5.951	1.806
1:119500001-120000000	1	119500001	120000000	1.39	5.654	1.625
1:147500001-148000000	1	147500001	148000000	1.053	1.19	1.073
1:150000001-150500000	1	150000001	150500000	1.023	1.849	1.019
1:150500001-151000000	1	150500001	151000000	0.972	1.769	1.067
1:151000001-151500000	1	151000001	151500000	1.078	1.833	1.112
1:151500001-152000000	1	151500001	152000000	1.106	1.931	1.179
1:152000001-152500000	1	152000001	152500000	1.291	2.097	1.281
1:152500001-153000000	1	152500001	153000000	1.067	1.44	1.107
1:153000001-153500000	1	153000001	153500000	1.073	0.808	0.951
1:153500001-154000000	1	153500001	154000000	0.947	1.111	1.017
1:154000001-154500000	1	154000001	154500000	1.09	1.509	1.08
1:154500001-155000000	1	154500001	155000000	0.946	0.838	0.957
1:155000001-155500000	1	155000001	155500000	0.82	0.651	1.062
1:156000001-156500000	1	156000001	156500000	1.028	0.791	1.064
1:156500001-157000000	1	156500001	157000000	1.032	0.852	1.064
1:157000001-157500000	1	157000001	157500000	0.991	0.727	1.039
1:157500001-158000000	1	157500001	158000000	1.095	0.909	0.952
1:159500001-160000000	1	159500001	160000000	1.017	0.801	1.08
1:160000001-160500000	1	160000001	160500000	0.976	0.887	0.978
1:160500001-161000000	1	160500001	161000000	1.055	0.791	1.025
1:161000001-161500000	1	161000001	161500000	1.098	0.804	1.029
1:161500001-162000000	1	161500001	162000000	0.82	0.753	0.862
1:162000001-162500000	1	162000001	162500000	1.022	0.875	1.035
1:162500001-163000000	1	162500001	163000000	0.99	0.824	1.059
1:163000001-163500000	1	163000001	163500000	1.05	0.918	1.004
1:163500001-164000000	1	163500001	164000000	1.037	0.925	1.022
1:164000001-164500000	1	164000001	164500000	1.052	0.843	1.008
1:164500001-165000000	1	164500001	165000000	0.936	0.821	1.044
1:165000001-165500000	1	165000001	165500000	1.042	0.947	1.058
1:165500001-166000000	1	165500001	166000000	0.958	0.853	0.932
1:166000001-166500000	1	166000001	166500000	1.098	0.85	1.163
1:166500001-167000000	1	166500001	167000000	1.012	0.871	0.98
1:167000001-167500000	1	167000001	167500000	0.855	0.76	0.972
1:167500001-168000000	1	167500001	168000000	0.923	0.746	0.99
1:168000001-168500000	1	168000001	168500000	1.103	0.865	0.982
1:168500001-169000000	1	168500001	169000000	1.034	0.905	1.084
1:169500001-170000000	1	169500001	170000000	0.931	0.827	1.029
1:170500001-171000000	1	170500001	171000000	1.015	0.813	1.043
1:171000001-171500000	1	171000001	171500000	1.076	0.749	0.985
1:171500001-172000000	1	171500001	172000000	0.971	0.783	1.019
1:172000001-172500000	1	172000001	172500000	1.021	0.791	1.042
1:173000001-173500000	1	173000001	173500000	0.949	0.898	1.035
1:173500001-174000000	1	173500001	174000000	1.027	0.682	0.989
1:174000001-174500000	1	174000001	174500000	0.993	0.817	0.985
1:174500001-175000000	1	174500001	175000000	1.008	0.86	1.018
1:175000001-175500000	1	175000001	175500000	1.133	0.832	1.034
1:175500001-176000000	1	175500001	176000000	0.979	0.904	1.047
1:176000001-176500000	1	176000001	176500000	0.865	0.787	0.985
1:176500001-177000000	1	176500001	177000000	0.965	0.828	1.059
1:177000001-177500000	1	177000001	177500000	1.062	0.905	1.063
1:177500001-178000000	1	177500001	178000000	1.052	0.878	1.02
1:178000001-178500000	1	178000001	178500000	1.007	0.884	1.009
1:178500001-179000000	1	178500001	179000000	0.959	0.924	0.94
1:179000001-179500000	1	179000001	179500000	0.945	0.778	0.941
1:179500001-180000000	1	179500001	180000000	1.047	0.829	0.977
1:180000001-180500000	1	180000001	180500000	0.988	0.84	0.937
1:180500001-181000000	1	180500001	181000000	1.091	0.744	0.945
1:181500001-182000000	1	181500001	182000000	0.968	0.872	1.109
1:182000001-182500000	1	182000001	182500000	1.023	0.781	0.982
1:182500001-183000000	1	182500001	183000000	0.981	0.83	1.004
1:183000001-183500000	1	183000001	183500000	0.982	0.807	1.053
1:183500001-184000000	1	183500001	184000000	0.941	0.842	0.996
1:184000001-184500000	1	184000001	184500000	1.018	0.873	0.985
1:184500001-185000000	1	184500001	185000000	0.947	0.858	0.969
1:185000001-185500000	1	185000001	185500000	0.932	0.838	0.998
1:185500001-186000000	1	185500001	186000000	1.005	0.872	1.099
1:186000001-186500000	1	186000001	186500000	1.031	0.837	1.055
1:186500001-187000000	1	186500001	187000000	0.999	0.756	1.053
1:187000001-187500000	1	187000001	187500000	1.006	0.828	0.949
1:187500001-188000000	1	187500001	188000000	1.019	0.908	0.969
1:188000001-188500000	1	188000001	188500000	1.009	0.745	1.03
1:188500001-189000000	1	188500001	189000000	0.992	0.849	1.015
1:189000001-189500000	1	189000001	189500000	1.045	1.036	1.073
1:189500001-190000000	1	189500001	190000000	0.938	1.199	0.921
1:190000001-190500000	1	190000001	190500000	1.078	1.36	1.058
1:190500001-191000000	1	190500001	191000000	1.016	1.393	1.053
1:191000001-191500000	1	191000001	191500000	1.058	1.227	0.989
1:192000001-192500000	1	192000001	192500000	1.079	1.51	1.148
1:192500001-193000000	1	192500001	193000000	1.071	1.456	1.06
1:193000001-193500000	1	193000001	193500000	0.985	1.393	0.982
1:193500001-194000000	1	193500001	194000000	1.126	1.486	1.08
1:194000001-194500000	1	194000001	194500000	1.097	1.448	1.121
1:194500001-195000000	1	194500001	195000000	0.971	1.384	1.082
1:195500001-196000000	1	195500001	196000000	1.093	1.37	1.112
1:196000001-196500000	1	196000001	196500000	1.111	1.462	1.194
1:197000001-197500000	1	197000001	197500000	1.028	1.423	1.045
1:197500001-198000000	1	197500001	198000000	1.077	1.26	1.101
1:198000001-198500000	1	198000001	198500000	1.065	1.551	1.159
1:198500001-199000000	1	198500001	199000000	1.017	1.384	1.084
1:199500001-200000000	1	199500001	200000000	1.06	1.325	1.056
1:200000001-200500000	1	200000001	200500000	1.065	1.364	1.008
1:200500001-201000000	1	200500001	201000000	0.944	1.424	1.039
1:201000001-201500000	1	201000001	201500000	1.053	1.611	1.125
1:201500001-202000000	1	201500001	202000000	1.054	1.701	1.145
1:202000001-202500000	1	202000001	202500000	1.137	1.588	1.17
1:202500001-203000000	1	202500001	203000000	1.267	1.679	1.154
1:203000001-203500000	1	203000001	203500000	1.086	1.786	1.153
1:203500001-204000000	1	203500001	204000000	1.098	1.606	1.182
1:204000001-204500000	1	204000001	204500000	1.129	2.011	1.174
1:204500001-205000000	1	204500001	205000000	1.216	1.777	1.151
1:205000001-205500000	1	205000001	205500000	1.47	4.185	1.602
1:205500001-206000000	1	205500001	206000000	1.317	3.842	1.445
1:206500001-207000000	1	206500001	207000000	1.192	3.102	1.265
1:207000001-207500000	1	207000001	207500000	1.243	3.363	1.305
1:207500001-208000000	1	207500001	208000000	1.175	2.418	1.234
1:208000001-208500000	1	208000001	208500000	1.135	2.281	1.156
1:208500001-209000000	1	208500001	209000000	1.129	2.286	1.254
1:209000001-209500000	1	209000001	209500000	1.174	2.22	1.22
1:209500001-210000000	1	209500001	210000000	1.12	1.815	1.152
1:210000001-210500000	1	210000001	210500000	1.086	1.728	1.196
1:210500001-211000000	1	210500001	211000000	1.251	2.096	1.218
1:211000001-211500000	1	211000001	211500000	1.123	2.002	1.126
1:211500001-212000000	1	211500001	212000000	1.064	1.775	1.171
1:212000001-212500000	1	212000001	212500000	1.048	1.614	1.036
1:212500001-213000000	1	212500001	213000000	1.02	1.734	1.113
1:213000001-213500000	1	213000001	213500000	1.126	1.817	1.258
1:213500001-214000000	1	213500001	214000000	1.18	1.873	1.247
1:214000001-214500000	1	214000001	214500000	1.018	1.931	1.082
1:216000001-216500000	1	216000001	216500000	1.083	1.964	1.145
1:216500001-217000000	1	216500001	217000000	1.013	0.907	0.942
