feature	chromosome	start	end	SLX-16150.D708tp_D508tp.HC22VBBXY.s_3.r_1	SLX-16150.D709tp_D501tp.HC22VBBXY.s_3.r_1	SLX-16150.D709tp_D505tp.HC22VBBXY.s_3.r_1	SLX-16150.D709tp_D506tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	1.08	1.029	1.142	0.962
1:2000001-2500000	1	2000001	2500000	1.028	1.037	1.017	1.038
1:3000001-3500000	1	3000001	3500000	0.993	0.989	0.886	0.932
1:3500001-4000000	1	3500001	4000000	0.994	1	0.963	1.017
1:4000001-4500000	1	4000001	4500000	1.034	0.978	1.056	1.068
1:4500001-5000000	1	4500001	5000000	1.043	1.01	1.078	1.103
1:5000001-5500000	1	5000001	5500000	0.964	0.931	1.03	0.999
1:6000001-6500000	1	6000001	6500000	1.135	1.013	1.07	1.068
1:6500001-7000000	1	6500001	7000000	0.918	1.015	1.024	0.967
1:7000001-7500000	1	7000001	7500000	1.061	1.044	1.067	1.034
1:7500001-8000000	1	7500001	8000000	0.992	0.996	1.017	1.065
1:8000001-8500000	1	8000001	8500000	1.002	1.019	0.932	0.881
1:9000001-9500000	1	9000001	9500000	1.012	1.04	0.973	0.872
1:10000001-10500000	1	10000001	10500000	0.921	0.971	1.032	1.042
1:10500001-11000000	1	10500001	11000000	1.032	1.006	1.033	1.017
1:11000001-11500000	1	11000001	11500000	1.063	1.186	1.03	1.09
1:11500001-12000000	1	11500001	12000000	0.968	0.961	1.085	0.998
1:12000001-12500000	1	12000001	12500000	1.07	1.002	1.062	1.002
1:13500001-14000000	1	13500001	14000000	0.97	1.004	1.083	0.928
1:14000001-14500000	1	14000001	14500000	1.016	1.029	1.04	1.026
1:14500001-15000000	1	14500001	15000000	1.026	1.003	1.074	1.063
1:15000001-15500000	1	15000001	15500000	1.034	0.976	1.003	1.015
1:15500001-16000000	1	15500001	16000000	0.994	1.031	0.914	0.965
1:16000001-16500000	1	16000001	16500000	1.026	0.995	0.932	0.973
1:17000001-17500000	1	17000001	17500000	1.074	0.888	1.029	1.107
1:17500001-18000000	1	17500001	18000000	1.125	1.057	1.1	1.09
1:18000001-18500000	1	18000001	18500000	1.062	1.06	1.053	1.051
1:18500001-19000000	1	18500001	19000000	1.063	0.959	1.022	1.06
1:19000001-19500000	1	19000001	19500000	0.927	0.889	0.92	0.918
1:19500001-20000000	1	19500001	20000000	1.026	1.033	1.131	1.124
1:20000001-20500000	1	20000001	20500000	1.099	1.05	1.009	1.039
1:20500001-21000000	1	20500001	21000000	0.89	1.008	1.002	0.974
1:21000001-21500000	1	21000001	21500000	0.991	1.047	1.013	0.964
1:21500001-22000000	1	21500001	22000000	1.032	0.983	1.027	1.032
1:22000001-22500000	1	22000001	22500000	1.07	0.998	0.918	1.065
1:22500001-23000000	1	22500001	23000000	1.103	0.981	1.078	1.097
1:23000001-23500000	1	23000001	23500000	0.998	0.996	1.048	1.146
1:23500001-24000000	1	23500001	24000000	0.977	0.985	0.959	0.99
1:24000001-24500000	1	24000001	24500000	1.042	1.01	0.945	1.052
1:24500001-25000000	1	24500001	25000000	1.028	0.96	0.959	0.984
1:25000001-25500000	1	25000001	25500000	0.915	0.998	0.986	0.941
1:25500001-26000000	1	25500001	26000000	0.971	1.056	0.994	1.087
1:26000001-26500000	1	26000001	26500000	1.046	1.033	1.041	1.03
1:26500001-27000000	1	26500001	27000000	0.967	1.021	0.938	1.013
1:27000001-27500000	1	27000001	27500000	0.997	0.997	0.99	1.03
1:27500001-28000000	1	27500001	28000000	1.031	1	0.937	0.972
1:28000001-28500000	1	28000001	28500000	0.916	0.94	0.963	0.998
1:28500001-29000000	1	28500001	29000000	1.005	0.959	1.015	0.94
1:29000001-29500000	1	29000001	29500000	1.088	1.051	0.991	1.05
1:29500001-30000000	1	29500001	30000000	1.03	0.993	1.066	1.03
1:30000001-30500000	1	30000001	30500000	1.028	1.058	1.059	1.085
1:30500001-31000000	1	30500001	31000000	0.999	0.997	0.993	0.985
1:31000001-31500000	1	31000001	31500000	1.091	0.989	1.002	0.985
1:31500001-32000000	1	31500001	32000000	1.022	0.951	1.001	1.001
1:32500001-33000000	1	32500001	33000000	0.989	0.977	1.016	1.117
