feature	chromosome	start	end	SLX-16150.D711tp_D503tp.HC22VBBXY.s_3.r_1	SLX-16150.D712tp_D504tp.HC22VBBXY.s_3.r_1	SLX-17921.D709tp_D507tp.H5J55BBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	0.959	1.014	1.114
1:2000001-2500000	1	2000001	2500000	0.965	1.063	1.012
1:3000001-3500000	1	3000001	3500000	1.06	0.969	1.002
1:3500001-4000000	1	3500001	4000000	1.002	1.107	1.007
1:4000001-4500000	1	4000001	4500000	1.067	1.04	1.002
1:4500001-5000000	1	4500001	5000000	0.948	1.124	1.059
1:5000001-5500000	1	5000001	5500000	0.96	0.988	0.983
1:6000001-6500000	1	6000001	6500000	1.116	1.206	1.197
1:6500001-7000000	1	6500001	7000000	0.943	1.021	1.04
1:7000001-7500000	1	7000001	7500000	1.105	1.09	1.035
1:7500001-8000000	1	7500001	8000000	1.175	1.022	0.883
1:8000001-8500000	1	8000001	8500000	0.923	0.911	1.046
1:9000001-9500000	1	9000001	9500000	1.051	0.954	0.972
1:10000001-10500000	1	10000001	10500000	0.816	1.106	0.862
1:10500001-11000000	1	10500001	11000000	1.11	1.105	1.016
1:11000001-11500000	1	11000001	11500000	1.169	1.035	1.085
1:11500001-12000000	1	11500001	12000000	1.019	1.059	0.922
1:12000001-12500000	1	12000001	12500000	0.908	0.942	0.918
1:13500001-14000000	1	13500001	14000000	1.035	1.047	0.966
1:14000001-14500000	1	14000001	14500000	1.006	1.079	1.042
1:14500001-15000000	1	14500001	15000000	1.012	1.029	0.967
1:15000001-15500000	1	15000001	15500000	0.919	0.98	0.966
1:15500001-16000000	1	15500001	16000000	0.965	0.926	0.94
1:16000001-16500000	1	16000001	16500000	1.123	0.973	0.995
1:17000001-17500000	1	17000001	17500000	1.055	0.994	1.031
1:17500001-18000000	1	17500001	18000000	1.007	1.026	1.006
1:18000001-18500000	1	18000001	18500000	0.975	0.957	1.082
1:18500001-19000000	1	18500001	19000000	1.065	1.06	1.024
1:19000001-19500000	1	19000001	19500000	0.856	1.049	0.892
1:19500001-20000000	1	19500001	20000000	1.009	1.009	1.108
1:20000001-20500000	1	20000001	20500000	1.018	1.034	1.08
1:20500001-21000000	1	20500001	21000000	0.991	1.027	1.002
1:21000001-21500000	1	21000001	21500000	0.888	1.007	1.03
1:21500001-22000000	1	21500001	22000000	1.004	1.006	1.061
1:22000001-22500000	1	22000001	22500000	0.924	1.178	0.98
1:22500001-23000000	1	22500001	23000000	1.082	1.074	1.013
1:23000001-23500000	1	23000001	23500000	0.976	1.069	1.053
1:23500001-24000000	1	23500001	24000000	0.972	1.091	1.026
1:24000001-24500000	1	24000001	24500000	0.993	1.084	1.073
1:24500001-25000000	1	24500001	25000000	0.943	1.068	1.04
1:25000001-25500000	1	25000001	25500000	0.837	1.015	0.911
1:25500001-26000000	1	25500001	26000000	1.024	1.037	1.028
1:26000001-26500000	1	26000001	26500000	1.035	1.067	0.942
1:26500001-27000000	1	26500001	27000000	0.914	0.973	1.052
1:27000001-27500000	1	27000001	27500000	1.011	1.104	1.014
1:27500001-28000000	1	27500001	28000000	0.89	0.877	1.082
1:28000001-28500000	1	28000001	28500000	0.935	0.909	0.899
1:28500001-29000000	1	28500001	29000000	0.897	0.984	0.937
1:29000001-29500000	1	29000001	29500000	0.981	1.159	1.106
1:29500001-30000000	1	29500001	30000000	1.068	1.062	1.028
1:30000001-30500000	1	30000001	30500000	1.228	1.106	1.16
1:30500001-31000000	1	30500001	31000000	1.006	1.053	0.978
1:31000001-31500000	1	31000001	31500000	0.923	0.997	1.012
1:31500001-32000000	1	31500001	32000000	0.974	0.907	1.081
1:32500001-33000000	1	32500001	33000000	1.018	1.095	0.961
1:33000001-33500000	1	33000001	33500000	0.861	0.997	0.948
1:34000001-34500000	1	34000001	34500000	1.082	1.05	1.042
1:34500001-35000000	1	34500001	35000000	0.974	1.026	0.956
1:35000001-35500000	1	35000001	35500000	0.963	0.988	1.084
1:35500001-36000000	1	35500001	36000000	0.87	0.982	0.865
1:36000001-36500000	1	36000001	36500000	0.854	0.918	0.961
1:36500001-37000000	1	36500001	37000000	1.115	1.047	1.051
