feature	chromosome	start	end	SLX-17930.D706tp_D506tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D507tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D508tp.H77FWBBXY.s_8.r_1	SLX-17930.D707tp_D501tp.H77FWBBXY.s_8.r_1	SLX-17930.D707tp_D502tp.H77FWBBXY.s_8.r_1	SLX-17930.D707tp_D503tp.H77FWBBXY.s_8.r_1	SLX-17930.D707tp_D504tp.H77FWBBXY.s_8.r_1	SLX-17930.D707tp_D505tp.H77FWBBXY.s_8.r_1	SLX-17930.D707tp_D506tp.H77FWBBXY.s_8.r_1	SLX-17930.D707tp_D507tp.H77FWBBXY.s_8.r_1	SLX-17930.D707tp_D508tp.H77FWBBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	1.005	0.984	1.052	0.905	0.985	1.011	0.968	1.018	0.993	0.996	1.035
1:2000001-2500000	1	2000001	2500000	0.934	1.018	0.968	1.001	1.012	0.949	1.01	1.017	1.04	0.96	1.004
1:3000001-3500000	1	3000001	3500000	0.943	1.014	1.011	1.001	0.995	0.971	0.998	0.98	0.972	1.003	0.947
1:3500001-4000000	1	3500001	4000000	0.975	0.989	1.016	1.018	1.007	1	1.049	1.055	0.959	0.991	0.976
1:4000001-4500000	1	4000001	4500000	1.022	0.972	1.046	1.033	1.033	1.072	0.965	1.022	1.025	0.993	0.934
1:4500001-5000000	1	4500001	5000000	1.019	1.053	0.983	1.001	1.063	0.981	0.982	1.03	0.987	1.033	0.996
1:5000001-5500000	1	5000001	5500000	1.056	1.017	0.978	1.023	1.039	1.066	1.013	1.032	1.001	0.987	1.116
1:6000001-6500000	1	6000001	6500000	1.056	1.056	1.032	1.04	1.02	0.997	1.004	1.067	1.105	0.98	1.093
1:6500001-7000000	1	6500001	7000000	0.988	0.987	0.967	0.998	0.904	0.923	1.009	1.006	0.998	0.907	0.98
1:7000001-7500000	1	7000001	7500000	1.037	1.011	1.005	0.988	1.059	1.01	1.096	1.096	1.077	1.041	1.026
1:7500001-8000000	1	7500001	8000000	0.984	1.049	0.995	0.984	1.041	0.974	1.03	0.907	1.041	1.011	1.081
1:8000001-8500000	1	8000001	8500000	1.018	1.039	1.036	1.035	0.958	0.94	1.077	0.995	1.038	0.986	1
1:9000001-9500000	1	9000001	9500000	0.986	0.979	1.01	1.14	0.996	0.957	1	0.963	1.066	0.958	0.952
1:10000001-10500000	1	10000001	10500000	0.971	1.012	1.01	1.049	0.975	0.979	0.972	0.954	0.925	0.962	1.063
1:10500001-11000000	1	10500001	11000000	0.972	1.073	1.069	1.052	1.007	1.007	1.071	1.034	1.065	0.982	1.015
1:11000001-11500000	1	11000001	11500000	1.154	1.069	1.054	1.023	1.005	1.065	1.116	1.055	1.054	0.995	1.033
1:11500001-12000000	1	11500001	12000000	1	1.003	0.962	0.923	0.926	0.975	0.953	0.857	0.949	1.024	0.926
1:12000001-12500000	1	12000001	12500000	0.953	1.035	0.981	0.999	0.986	0.913	1.001	1.056	0.954	0.992	1.026
1:13500001-14000000	1	13500001	14000000	1.038	1.04	0.974	1.121	1.017	1.003	0.939	0.994	1.044	1.009	0.995
1:14000001-14500000	1	14000001	14500000	1.007	1.047	1.068	1.035	1.1	0.998	0.972	1.006	1.058	0.978	1.055
1:14500001-15000000	1	14500001	15000000	1.073	1.027	1.061	1.075	1.017	0.99	0.997	1.04	1.08	0.985	1.056
1:15000001-15500000	1	15000001	15500000	1.024	0.999	1.062	0.986	1.043	0.967	1.009	0.905	1.037	1.018	0.999
1:15500001-16000000	1	15500001	16000000	0.915	0.969	0.945	1.033	0.971	0.974	0.97	0.928	1.023	0.835	0.9
1:16000001-16500000	1	16000001	16500000	1.055	1.028	1.04	0.944	1.015	1.013	0.987	1.059	1.04	0.922	0.953
1:17000001-17500000	1	17000001	17500000	0.978	0.976	1.063	1.033	1.031	1.004	0.926	1.022	0.971	1.035	1.012
1:17500001-18000000	1	17500001	18000000	1.049	1.02	1.038	1	1.017	1.022	1.058	0.98	1.013	1.076	1.052
1:18000001-18500000	1	18000001	18500000	1.01	1.007	1.05	1.018	1.043	1.001	1.053	1.094	1.066	1.071	0.977
1:18500001-19000000	1	18500001	19000000	1.039	1.038	1.003	0.969	1.015	1.014	1.033	1.029	0.966	0.983	1.013
1:19000001-19500000	1	19000001	19500000	0.895	0.943	0.928	0.929	0.877	0.919	0.979	0.838	0.976	0.96	0.905
1:19500001-20000000	1	19500001	20000000	1.066	1.045	1.056	1.083	1.086	1.043	1.059	0.989	1.051	1.031	0.998
1:20000001-20500000	1	20000001	20500000	1.149	1.053	1.13	1.032	1.009	1.111	1.069	1.048	1.113	1.03	1.102
1:20500001-21000000	1	20500001	21000000	0.995	0.935	0.944	1.071	0.971	1.074	0.975	0.897	0.978	1.013	0.966
1:21000001-21500000	1	21000001	21500000	1.017	1.006	0.988	0.99	1.053	1.058	0.969	1.06	1.055	0.961	0.98
1:21500001-22000000	1	21500001	22000000	1.04	1.056	1.009	1.01	1.018	1.019	1.047	1.049	1.058	1.041	1.016
1:22000001-22500000	1	22000001	22500000	1.028	1.026	1.002	0.968	1.011	1.023	1.06	1.045	1.015	1.087	0.997
1:22500001-23000000	1	22500001	23000000	1.037	1.026	1.062	1.071	1.04	1.069	1.013	1.043	1.053	1.043	0.983
1:23000001-23500000	1	23000001	23500000	0.926	0.984	1.003	1.041	0.98	0.969	1.031	1.072	1.012	1.021	0.915
1:23500001-24000000	1	23500001	24000000	0.966	0.988	0.962	0.983	0.978	1.028	0.97	1.121	1.048	0.958	1.001
1:24000001-24500000	1	24000001	24500000	0.976	1.012	1.01	1.047	1.061	0.987	1.024	1.004	0.922	0.934	1.062
1:24500001-25000000	1	24500001	25000000	0.982	0.974	1.003	0.955	0.981	0.949	0.971	0.888	0.978	0.996	1.037
1:25000001-25500000	1	25000001	25500000	1.061	1.009	1.046	0.936	0.994	0.979	1.006	0.939	1	0.994	0.94
1:25500001-26000000	1	25500001	26000000	0.932	0.999	1.055	1.005	0.978	0.969	1.025	0.999	1.083	1.027	0.978
1:26000001-26500000	1	26000001	26500000	1.007	1.005	0.996	0.96	1.005	1.002	1.009	0.936	0.958	1.007	0.949
1:26500001-27000000	1	26500001	27000000	1.002	1.015	0.967	0.932	0.967	0.919	0.972	0.992	0.915	1.004	0.979
1:27000001-27500000	1	27000001	27500000	1.02	1.043	0.989	1.013	0.979	0.976	0.995	1.228	0.92	1.002	0.908
1:27500001-28000000	1	27500001	28000000	0.931	0.937	1	0.921	0.906	0.959	1.013	0.921	0.94	0.979	0.948
1:28000001-28500000	1	28000001	28500000	0.9	0.933	0.922	0.961	0.949	0.949	0.925	0.835	1.014	0.984	0.932
1:28500001-29000000	1	28500001	29000000	1.011	0.99	1.033	0.983	1.016	0.996	0.941	0.99	0.985	0.992	0.963
1:29000001-29500000	1	29000001	29500000	1.051	1.065	1.06	1.064	1.09	1.041	0.986	1.197	1.064	1.066	1.04
1:29500001-30000000	1	29500001	30000000	0.986	0.991	0.998	0.997	0.964	0.904	0.977	1.064	1.096	1.021	1.047
1:30000001-30500000	1	30000001	30500000	1.041	1.047	1.086	1.057	1.089	0.972	1.062	1.042	1.102	1.063	1.053
1:30500001-31000000	1	30500001	31000000	0.967	0.997	1.003	0.983	0.993	1.006	0.973	1.036	0.919	1.028	1.006
1:31000001-31500000	1	31000001	31500000	1.034	0.961	1.055	1.004	0.985	1.023	0.993	1.117	0.932	0.962	1.05
1:31500001-32000000	1	31500001	32000000	0.924	1.024	0.98	0.975	1.03	0.998	0.971	1.098	1.005	0.966	1.018
1:32500001-33000000	1	32500001	33000000	1.012	1.056	1.046	1.015	1.019	1.012	1.011	1.07	1.005	0.917	1.041
1:33000001-33500000	1	33000001	33500000	0.977	1.006	0.996	0.98	0.963	0.964	1.015	1.007	0.949	1.01	0.982
1:34000001-34500000	1	34000001	34500000	1.086	1.043	1.083	1.024	1.054	1.047	1.029	1.046	1.122	1.127	0.995
1:34500001-35000000	1	34500001	35000000	1.051	1.041	1.061	0.984	1.003	1.018	1.089	0.941	1.084	1.033	1.078
1:35000001-35500000	1	35000001	35500000	0.966	0.975	0.977	0.89	0.998	0.891	0.92	0.938	0.957	0.964	1
1:35500001-36000000	1	35500001	36000000	0.974	0.942	0.969	1.009	1.013	0.935	0.945	0.969	0.933	0.999	1.009
1:36000001-36500000	1	36000001	36500000	0.9	0.943	0.957	0.987	0.975	0.968	0.947	0.924	0.983	0.973	0.982
1:36500001-37000000	1	36500001	37000000	1.061	1.012	1.005	1.047	1.056	0.978	1.008	0.963	1.056	1.044	0.999
1:37000001-37500000	1	37000001	37500000	1.038	0.999	1.074	1.15	1.052	0.979	1.127	1.035	1.117	1.016	0.977
1:37500001-38000000	1	37500001	38000000	1.01	0.998	0.987	1.061	1.066	1.007	0.996	0.941	1.055	0.983	1.004
