feature	chromosome	start	end	SLX-17921.D711tp_D506tp.H5J55BBXY.s_8.r_1	SLX-16150.D706tp_D503tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	1.015	0.974
1:2000001-2500000	1	2000001	2500000	0.986	1.028
1:3000001-3500000	1	3000001	3500000	0.992	0.978
1:3500001-4000000	1	3500001	4000000	0.988	0.973
1:4000001-4500000	1	4000001	4500000	1.001	1.105
1:4500001-5000000	1	4500001	5000000	1.036	1.147
1:5000001-5500000	1	5000001	5500000	0.989	1.074
1:6000001-6500000	1	6000001	6500000	1.158	0.983
1:6500001-7000000	1	6500001	7000000	0.991	1.031
1:7000001-7500000	1	7000001	7500000	1	1.054
1:7500001-8000000	1	7500001	8000000	0.996	0.972
1:8000001-8500000	1	8000001	8500000	1.107	0.9
1:9000001-9500000	1	9000001	9500000	1.054	0.964
1:10000001-10500000	1	10000001	10500000	1.039	0.982
1:10500001-11000000	1	10500001	11000000	1.031	0.989
1:11000001-11500000	1	11000001	11500000	1.029	1.052
1:11500001-12000000	1	11500001	12000000	1.015	1.01
1:12000001-12500000	1	12000001	12500000	1.064	1.024
1:13500001-14000000	1	13500001	14000000	1.132	0.976
1:14000001-14500000	1	14000001	14500000	1.032	0.984
1:14500001-15000000	1	14500001	15000000	1.007	1.022
1:15000001-15500000	1	15000001	15500000	0.978	0.98
1:15500001-16000000	1	15500001	16000000	0.97	0.877
1:16000001-16500000	1	16000001	16500000	1.011	0.893
1:17000001-17500000	1	17000001	17500000	1.001	0.919
1:17500001-18000000	1	17500001	18000000	1.029	1.115
1:18000001-18500000	1	18000001	18500000	1.101	1.042
1:18500001-19000000	1	18500001	19000000	1.066	0.964
1:19000001-19500000	1	19000001	19500000	1.004	0.899
1:19500001-20000000	1	19500001	20000000	0.995	0.984
1:20000001-20500000	1	20000001	20500000	1.115	0.982
1:20500001-21000000	1	20500001	21000000	1	0.98
1:21000001-21500000	1	21000001	21500000	1.035	0.94
1:21500001-22000000	1	21500001	22000000	1.018	0.941
1:22000001-22500000	1	22000001	22500000	1.038	0.942
1:22500001-23000000	1	22500001	23000000	1.057	1.083
1:23000001-23500000	1	23000001	23500000	1.018	1.005
1:23500001-24000000	1	23500001	24000000	1.015	1.039
1:24000001-24500000	1	24000001	24500000	1.056	1.024
1:24500001-25000000	1	24500001	25000000	0.968	0.929
1:25000001-25500000	1	25000001	25500000	0.913	0.892
1:25500001-26000000	1	25500001	26000000	0.94	0.953
1:26000001-26500000	1	26000001	26500000	1.003	1.049
1:26500001-27000000	1	26500001	27000000	1.044	0.889
1:27000001-27500000	1	27000001	27500000	0.991	0.962
1:27500001-28000000	1	27500001	28000000	0.997	0.968
1:28000001-28500000	1	28000001	28500000	0.961	0.959
1:28500001-29000000	1	28500001	29000000	1.071	0.934
1:29000001-29500000	1	29000001	29500000	1.1	1.09
1:29500001-30000000	1	29500001	30000000	1.098	0.945
1:30000001-30500000	1	30000001	30500000	1.098	0.978
1:30500001-31000000	1	30500001	31000000	0.967	1.053
1:31000001-31500000	1	31000001	31500000	0.948	1.008
1:31500001-32000000	1	31500001	32000000	1.045	0.997
1:32500001-33000000	1	32500001	33000000	1.071	0.997
1:33000001-33500000	1	33000001	33500000	1.021	0.93
1:34000001-34500000	1	34000001	34500000	1.074	1.144
1:34500001-35000000	1	34500001	35000000	0.99	1.048
1:35000001-35500000	1	35000001	35500000	0.979	0.881
1:35500001-36000000	1	35500001	36000000	1	0.934
1:36000001-36500000	1	36000001	36500000	1	0.984
1:36500001-37000000	1	36500001	37000000	1.095	1.053
1:37000001-37500000	1	37000001	37500000	0.981	1.074
1:37500001-38000000	1	37500001	38000000	1.045	0.99
1:38000001-38500000	1	38000001	38500000	1.04	1.044
1:39000001-39500000	1	39000001	39500000	0.956	0.931
1:39500001-40000000	1	39500001	40000000	0.974	1.106
1:40000001-40500000	1	40000001	40500000	0.945	0.944
1:40500001-41000000	1	40500001	41000000	0.912	1.058
1:41000001-41500000	1	41000001	41500000	1.088	0.988
1:41500001-42000000	1	41500001	42000000	0.974	0.998
