feature	chromosome	start	end	SLX-16150.D704tp_D502tp.HC22VBBXY.s_3.r_1	SLX-16150.D704tp_D503tp.HC22VBBXY.s_3.r_1	SLX-16150.D704tp_D504tp.HC22VBBXY.s_3.r_1	SLX-16150.D704tp_D508tp.HC22VBBXY.s_3.r_1	SLX-16150.D705tp_D502tp.HC22VBBXY.s_3.r_1	SLX-16150.D705tp_D503tp.HC22VBBXY.s_3.r_1	SLX-16150.D705tp_D504tp.HC22VBBXY.s_3.r_1	SLX-16150.D705tp_D505tp.HC22VBBXY.s_3.r_1	SLX-16150.D705tp_D506tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	1.074	0.967	1.287	1.136	1.012	0.985	1.006	1.121	1.174
1:2000001-2500000	1	2000001	2500000	0.984	1.005	1.104	0.93	1.091	0.967	1.328	0.927	0.92
1:3000001-3500000	1	3000001	3500000	1.061	0.979	1.272	1.068	0.946	1.028	1.024	0.945	0.966
1:3500001-4000000	1	3500001	4000000	1.159	0.862	1.378	1.134	1.055	1.06	1.075	0.914	1.1
1:4000001-4500000	1	4000001	4500000	0.986	1.047	1.135	1.159	1.161	1.13	1.055	0.985	1.174
1:4500001-5000000	1	4500001	5000000	1.155	1.076	1.493	1.055	1.021	1.118	0.97	1.033	1.198
1:5000001-5500000	1	5000001	5500000	1.233	1.017	1.13	1.187	1.032	1.086	1.009	0.985	1.24
1:6000001-6500000	1	6000001	6500000	1.055	0.935	0.783	0.826	0.759	0.786	1.155	0.993	0.808
1:6500001-7000000	1	6500001	7000000	0.91	1.047	0.807	0.809	0.896	0.854	0.955	1.019	0.946
1:7000001-7500000	1	7000001	7500000	1.237	0.975	0.722	0.502	0.528	0.655	0.845	0.986	0.544
1:7500001-8000000	1	7500001	8000000	0.916	1.073	0.953	0.688	0.697	0.701	0.932	1.026	0.814
1:8000001-8500000	1	8000001	8500000	1.019	0.958	0.706	0.784	0.67	0.826	0.983	1.044	0.744
1:9000001-9500000	1	9000001	9500000	0.935	1.091	1.037	0.829	0.756	0.805	0.874	1.053	0.809
1:10000001-10500000	1	10000001	10500000	0.893	1.059	0.994	0.7	0.816	0.818	1.017	0.935	0.801
1:10500001-11000000	1	10500001	11000000	1.07	0.985	1.024	0.662	0.739	0.781	0.904	0.989	0.756
