feature	chromosome	start	end	SLX-17922.D709tp_D508tp.HC22GBBXY.s_6.r_1	SLX-17922.D710tp_D503tp.HC22GBBXY.s_6.r_1	SLX-17922.D710tp_D506tp.HC22GBBXY.s_6.r_1
1:1000001-1500000	1	1000001	1500000	1.026	0.98	0.959
1:2000001-2500000	1	2000001	2500000	1.035	0.989	0.91
1:3000001-3500000	1	3000001	3500000	0.972	1.012	1.09
1:3500001-4000000	1	3500001	4000000	0.974	0.917	0.994
1:4000001-4500000	1	4000001	4500000	0.999	1.011	0.976
1:4500001-5000000	1	4500001	5000000	1	1.071	1.008
1:5000001-5500000	1	5000001	5500000	1.089	0.954	1.057
1:6000001-6500000	1	6000001	6500000	1.055	1.041	1.022
1:6500001-7000000	1	6500001	7000000	0.964	0.943	1.001
1:7000001-7500000	1	7000001	7500000	1.073	0.967	1.037
1:7500001-8000000	1	7500001	8000000	0.984	1.066	1.037
1:8000001-8500000	1	8000001	8500000	0.914	1.003	0.997
1:9000001-9500000	1	9000001	9500000	1.123	1.018	1.007
1:10000001-10500000	1	10000001	10500000	0.966	0.94	1.022
1:10500001-11000000	1	10500001	11000000	1.037	1.035	0.988
1:11000001-11500000	1	11000001	11500000	1.144	1.099	1.051
1:11500001-12000000	1	11500001	12000000	0.953	0.997	0.984
1:12000001-12500000	1	12000001	12500000	0.959	0.957	0.976
1:13500001-14000000	1	13500001	14000000	1.025	1.01	1.078
1:14000001-14500000	1	14000001	14500000	1.12	1.1	1.087
1:14500001-15000000	1	14500001	15000000	1.079	1.039	0.938
1:15000001-15500000	1	15000001	15500000	1.033	0.982	1.011
1:15500001-16000000	1	15500001	16000000	1.028	0.869	0.947
1:16000001-16500000	1	16000001	16500000	1.052	0.975	1.011
1:17000001-17500000	1	17000001	17500000	0.993	1.032	1.083
1:17500001-18000000	1	17500001	18000000	1.094	0.941	1.02
1:18000001-18500000	1	18000001	18500000	1.091	1.138	1.049
1:18500001-19000000	1	18500001	19000000	1.08	1.014	1.008
1:19000001-19500000	1	19000001	19500000	0.944	0.937	0.959
1:19500001-20000000	1	19500001	20000000	1.089	1.167	1.157
1:20000001-20500000	1	20000001	20500000	1.018	1.027	1.036
1:20500001-21000000	1	20500001	21000000	1.008	0.933	0.924
1:21000001-21500000	1	21000001	21500000	0.91	0.88	0.917
1:21500001-22000000	1	21500001	22000000	0.96	1.052	1.081
1:22000001-22500000	1	22000001	22500000	1.134	1.074	1.028
1:22500001-23000000	1	22500001	23000000	1.121	1.061	1.073
1:23000001-23500000	1	23000001	23500000	1.099	1.086	1.06
1:23500001-24000000	1	23500001	24000000	1.006	1.121	1.075
1:24000001-24500000	1	24000001	24500000	1.004	1.092	0.95
1:24500001-25000000	1	24500001	25000000	1.055	1.008	0.961
1:25000001-25500000	1	25000001	25500000	0.896	1.079	0.996
1:25500001-26000000	1	25500001	26000000	1.047	1.124	0.926
1:26000001-26500000	1	26000001	26500000	1.012	0.993	1.051
1:26500001-27000000	1	26500001	27000000	0.963	1.073	0.957
1:27000001-27500000	1	27000001	27500000	0.907	1.012	1.008
1:27500001-28000000	1	27500001	28000000	0.967	1.115	1.026
1:28000001-28500000	1	28000001	28500000	0.935	0.867	0.845
1:28500001-29000000	1	28500001	29000000	0.917	0.932	1.063
1:29000001-29500000	1	29000001	29500000	1.104	0.979	1.019
1:29500001-30000000	1	29500001	30000000	1.109	0.949	1.018
1:30000001-30500000	1	30000001	30500000	1.076	1.108	1.075
1:30500001-31000000	1	30500001	31000000	0.985	0.945	0.996
1:31000001-31500000	1	31000001	31500000	1.006	1.009	1.022
1:31500001-32000000	1	31500001	32000000	1.008	1.019	0.974
1:32500001-33000000	1	32500001	33000000	0.943	1.004	1.017
1:33000001-33500000	1	33000001	33500000	0.968	1.057	0.995
1:34000001-34500000	1	34000001	34500000	0.928	1.018	1.096
1:34500001-35000000	1	34500001	35000000	1.058	0.983	1.085
1:35000001-35500000	1	35000001	35500000	1.1	0.976	1.013
1:35500001-36000000	1	35500001	36000000	0.912	0.889	0.907
1:36000001-36500000	1	36000001	36500000	1.101	0.951	0.898
1:36500001-37000000	1	36500001	37000000	1.031	1.035	1.074
1:37000001-37500000	1	37000001	37500000	1.115	1.014	1.11
1:37500001-38000000	1	37500001	38000000	1.026	1.04	1.071
1:38000001-38500000	1	38000001	38500000	0.975	0.925	1.068
