feature	chromosome	start	end	SLX-17922.D702tp_D505tp.HC22GBBXY.s_6.r_1	SLX-17922.D702tp_D507tp.HC22GBBXY.s_6.r_1	SLX-17922.D702tp_D508tp.HC22GBBXY.s_6.r_1	SLX-17922.D703tp_D506tp.HC22GBBXY.s_6.r_1
1:1000001-1500000	1	1000001	1500000	1.046	1.032	1.019	0.979
1:2000001-2500000	1	2000001	2500000	1.027	1.002	0.99	0.98
1:3000001-3500000	1	3000001	3500000	0.964	0.992	1.001	1.004
1:3500001-4000000	1	3500001	4000000	1.005	0.918	0.946	0.984
1:4000001-4500000	1	4000001	4500000	1.003	1.012	1.014	1.016
1:4500001-5000000	1	4500001	5000000	1.121	1.014	0.97	1.103
1:5000001-5500000	1	5000001	5500000	0.988	0.994	0.987	1.013
1:6000001-6500000	1	6000001	6500000	1.005	1.128	0.969	1.045
1:6500001-7000000	1	6500001	7000000	0.982	1.031	0.859	1.004
1:7000001-7500000	1	7000001	7500000	1.065	1.081	1.12	1.098
1:7500001-8000000	1	7500001	8000000	1.028	1.028	1.006	1.009
1:8000001-8500000	1	8000001	8500000	1.003	0.955	1.052	1.037
1:9000001-9500000	1	9000001	9500000	0.939	0.883	1.051	1.002
1:10000001-10500000	1	10000001	10500000	0.894	0.904	0.913	1.077
1:10500001-11000000	1	10500001	11000000	1.018	1.038	1.001	1.001
1:11000001-11500000	1	11000001	11500000	1.012	0.967	0.908	0.988
1:11500001-12000000	1	11500001	12000000	0.958	0.981	1.023	1.014
1:12000001-12500000	1	12000001	12500000	1.075	1.01	1.066	1.041
1:13500001-14000000	1	13500001	14000000	0.895	1.075	1.054	0.957
1:14000001-14500000	1	14000001	14500000	0.961	1.164	1.022	1.1
1:14500001-15000000	1	14500001	15000000	1.091	1.038	1.056	1.053
1:15000001-15500000	1	15000001	15500000	1.008	0.942	1.005	0.959
1:15500001-16000000	1	15500001	16000000	0.91	0.931	0.975	0.931
1:16000001-16500000	1	16000001	16500000	0.99	1.047	1.025	0.912
1:17000001-17500000	1	17000001	17500000	1.016	0.931	0.981	1.04
1:17500001-18000000	1	17500001	18000000	0.986	1.046	1.14	1.048
1:18000001-18500000	1	18000001	18500000	1.015	0.972	0.985	1.046
1:18500001-19000000	1	18500001	19000000	1.115	0.99	0.989	1.074
1:19000001-19500000	1	19000001	19500000	0.867	0.926	0.979	0.983
1:19500001-20000000	1	19500001	20000000	1.127	1.017	0.957	1.062
1:20000001-20500000	1	20000001	20500000	1.091	1.024	1.15	0.952
1:20500001-21000000	1	20500001	21000000	0.911	0.942	0.88	1.001
1:21000001-21500000	1	21000001	21500000	0.946	0.998	1.116	0.971
1:21500001-22000000	1	21500001	22000000	1.045	1.035	1.093	1.078
1:22000001-22500000	1	22000001	22500000	1.052	1.097	1.064	1.02
1:22500001-23000000	1	22500001	23000000	1.02	0.997	1.027	1.022
1:23000001-23500000	1	23000001	23500000	1.022	0.956	0.904	0.966
1:23500001-24000000	1	23500001	24000000	1.005	1.021	0.922	0.935
1:24000001-24500000	1	24000001	24500000	1.019	1.03	1.057	1.057
1:24500001-25000000	1	24500001	25000000	0.935	0.958	0.923	0.992
1:25000001-25500000	1	25000001	25500000	1.005	1.036	0.855	0.986
1:25500001-26000000	1	25500001	26000000	0.97	1.038	0.87	1.048
1:26000001-26500000	1	26000001	26500000	1.075	1.065	1.008	0.974
1:26500001-27000000	1	26500001	27000000	0.92	0.938	0.963	0.989
1:27000001-27500000	1	27000001	27500000	1.084	0.975	1.034	1.055
1:27500001-28000000	1	27500001	28000000	0.981	0.857	0.919	0.923
1:28000001-28500000	1	28000001	28500000	0.973	0.957	0.857	0.928
1:28500001-29000000	1	28500001	29000000	0.953	0.782	0.934	0.882
1:29000001-29500000	1	29000001	29500000	0.914	1.22	1.025	1.024
1:29500001-30000000	1	29500001	30000000	0.944	0.978	1.029	0.955
1:30000001-30500000	1	30000001	30500000	1.144	1.051	1.126	1.077
1:30500001-31000000	1	30500001	31000000	1.053	1.03	0.954	0.962
1:31000001-31500000	1	31000001	31500000	1.013	0.989	0.991	0.973
1:31500001-32000000	1	31500001	32000000	1.038	0.975	1.052	1.02
1:32500001-33000000	1	32500001	33000000	0.922	0.913	1.017	1.028
1:33000001-33500000	1	33000001	33500000	0.935	0.986	0.986	0.998
1:34000001-34500000	1	34000001	34500000	1.02	1.043	1.092	0.973
1:34500001-35000000	1	34500001	35000000	0.977	1.077	1.07	1.104
1:35000001-35500000	1	35000001	35500000	0.846	0.873	0.961	0.982
1:35500001-36000000	1	35500001	36000000	0.97	1.001	0.936	0.957
1:36000001-36500000	1	36000001	36500000	0.935	1.016	1.007	0.935
1:36500001-37000000	1	36500001	37000000	1.08	1.049	1.075	1.013
1:37000001-37500000	1	37000001	37500000	1.097	1.063	1.04	1.042
1:37500001-38000000	1	37500001	38000000	0.923	0.988	1.062	1.051
1:38000001-38500000	1	38000001	38500000	1.015	1.098	1.021	0.911
1:39000001-39500000	1	39000001	39500000	0.968	0.902	1.025	1
1:39500001-40000000	1	39500001	40000000	1.011	0.928	0.957	1.013
1:40000001-40500000	1	40000001	40500000	0.904	0.862	0.874	1.057
1:40500001-41000000	1	40500001	41000000	0.942	0.944	0.995	1.044
1:41000001-41500000	1	41000001	41500000	1.06	1.124	0.986	0.969
1:41500001-42000000	1	41500001	42000000	0.985	1.039	1.032	1.055
1:42000001-42500000	1	42000001	42500000	0.927	1.037	1.034	1.041
1:42500001-43000000	1	42500001	43000000	0.898	0.905	0.891	0.962
1:43000001-43500000	1	43000001	43500000	1.027	1.047	0.969	1.072
1:43500001-44000000	1	43500001	44000000	0.955	1.013	0.916	1.096
1:44000001-44500000	1	44000001	44500000	0.963	0.967	1.056	0.948
1:44500001-45000000	1	44500001	45000000	0.977	1.06	1.109	0.988
1:45000001-45500000	1	45000001	45500000	1.003	1.033	1.007	0.979
1:45500001-46000000	1	45500001	46000000	0.878	1.018	0.914	0.96
1:46000001-46500000	1	46000001	46500000	1.064	0.946	0.993	1.061
1:46500001-47000000	1	46500001	47000000	1.101	0.972	1.146	1.053
1:47000001-47500000	1	47000001	47500000	0.953	0.981	0.948	0.922
1:47500001-48000000	1	47500001	48000000	1.013	1.053	1.073	1.002
1:48000001-48500000	1	48000001	48500000	1.068	1.059	1.146	1.079
1:48500001-49000000	1	48500001	49000000	1.028	1.032	1.041	0.986
1:49000001-49500000	1	49000001	49500000	1.018	1.113	1.078	1.122
1:49500001-50000000	1	49500001	50000000	0.939	1.023	0.992	1.017
1:50500001-51000000	1	50500001	51000000	1.001	0.958	1.094	1.056
1:51000001-51500000	1	51000001	51500000	1.025	1.047	0.959	0.943
1:51500001-52000000	1	51500001	52000000	0.899	1.001	0.87	0.953
1:52000001-52500000	1	52000001	52500000	1.009	0.987	0.943	1.037
1:53000001-53500000	1	53000001	53500000	1.042	1.068	0.972	0.95
1:53500001-54000000	1	53500001	54000000	0.955	1.148	1.055	1.011
1:54000001-54500000	1	54000001	54500000	1.078	0.86	1.027	1.012
1:54500001-55000000	1	54500001	55000000	0.966	1.183	1.036	1.019
1:55500001-56000000	1	55500001	56000000	0.922	0.983	1.047	1.043
1:56000001-56500000	1	56000001	56500000	1.033	1.02	0.982	1.102
1:56500001-57000000	1	56500001	57000000	0.974	1.066	1.037	1.022
1:57000001-57500000	1	57000001	57500000	1.051	1.071	1.022	0.915
1:57500001-58000000	1	57500001	58000000	1.029	1.007	0.976	1.005
1:58000001-58500000	1	58000001	58500000	1.057	1.01	1.181	1.112
1:58500001-59000000	1	58500001	59000000	1.074	1.087	0.976	0.99
1:59000001-59500000	1	59000001	59500000	1.064	0.95	1.045	1.065
1:59500001-60000000	1	59500001	60000000	1.065	1.092	1.089	1.028
1:60000001-60500000	1	60000001	60500000	1.133	1.055	1.039	1.007
1:60500001-61000000	1	60500001	61000000	1.066	1.043	1.007	1.002
1:61000001-61500000	1	61000001	61500000	1.057	1.028	0.972	1.011
1:61500001-62000000	1	61500001	62000000	0.973	1.091	0.919	1.01
1:62000001-62500000	1	62000001	62500000	1.132	1.038	0.892	1.025
1:62500001-63000000	1	62500001	63000000	1.017	0.986	1.139	1.05
1:63000001-63500000	1	63000001	63500000	1.021	0.958	1.027	1
1:63500001-64000000	1	63500001	64000000	0.917	1.018	0.964	1.051
1:64000001-64500000	1	64000001	64500000	0.95	1.146	1.034	1.051
1:64500001-65000000	1	64500001	65000000	0.959	1.065	1.047	0.948
1:65000001-65500000	1	65000001	65500000	0.928	1.068	0.973	0.951
1:65500001-66000000	1	65500001	66000000	1.034	1.094	1.058	1.14
1:66500001-67000000	1	66500001	67000000	0.988	1.057	1.044	1.003
1:67000001-67500000	1	67000001	67500000	1.013	0.906	1.018	1.054
1:68000001-68500000	1	68000001	68500000	0.974	1.048	0.983	1.063
1:68500001-69000000	1	68500001	69000000	1.013	1.098	1.066	1.032
1:69000001-69500000	1	69000001	69500000	1.031	0.998	1.068	0.957
1:69500001-70000000	1	69500001	70000000	1.02	0.973	0.947	1.053
1:70000001-70500000	1	70000001	70500000	0.981	1.055	1.009	0.986
1:70500001-71000000	1	70500001	71000000	0.92	0.97	1.133	0.996
1:71000001-71500000	1	71000001	71500000	0.977	0.921	1.056	1.033
1:71500001-72000000	1	71500001	72000000	1.101	1.04	0.975	1.055
1:72000001-72500000	1	72000001	72500000	1.051	0.963	1.084	1.081
1:72500001-73000000	1	72500001	73000000	0.948	1.09	1.072	1.026
1:73500001-74000000	1	73500001	74000000	0.903	0.986	0.921	0.96
1:74000001-74500000	1	74000001	74500000	0.947	0.969	0.973	1.089
1:74500001-75000000	1	74500001	75000000	1.017	0.972	1.019	1.04
1:75000001-75500000	1	75000001	75500000	1.063	1.068	1.045	1.057
1:75500001-76000000	1	75500001	76000000	0.981	0.989	1.155	0.958
1:76000001-76500000	1	76000001	76500000	1.014	1.034	1.114	1.029
1:77000001-77500000	1	77000001	77500000	1.024	0.973	0.959	1.004
1:77500001-78000000	1	77500001	78000000	0.845	0.941	0.976	0.867
1:78000001-78500000	1	78000001	78500000	0.873	1.083	0.952	1.001
1:78500001-79000000	1	78500001	79000000	1.059	0.952	1.036	0.963
1:79000001-79500000	1	79000001	79500000	1.008	0.963	0.992	1.008
1:79500001-80000000	1	79500001	80000000	0.913	1.069	0.911	1.012
