feature	chromosome	start	end	SLX-17921.D706tp_D503tp.H5J55BBXY.s_8.r_1	SLX-16150.D706tp_D502tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	1.024	1.057
1:2000001-2500000	1	2000001	2500000	1.053	1.074
1:3000001-3500000	1	3000001	3500000	1.008	1.013
1:3500001-4000000	1	3500001	4000000	1.057	1.027
1:4000001-4500000	1	4000001	4500000	1.069	1.141
1:4500001-5000000	1	4500001	5000000	1.096	1.001
1:5000001-5500000	1	5000001	5500000	1.047	1.047
1:6000001-6500000	1	6000001	6500000	1.22	1.04
1:6500001-7000000	1	6500001	7000000	1.033	1.025
1:7000001-7500000	1	7000001	7500000	0.967	1.003
1:7500001-8000000	1	7500001	8000000	0.953	1.02
1:8000001-8500000	1	8000001	8500000	0.965	0.994
1:9000001-9500000	1	9000001	9500000	1.084	1.081
1:10000001-10500000	1	10000001	10500000	0.995	1.067
1:10500001-11000000	1	10500001	11000000	1.014	1.019
1:11000001-11500000	1	11000001	11500000	1.089	1.037
1:11500001-12000000	1	11500001	12000000	1.029	0.999
1:12000001-12500000	1	12000001	12500000	1.068	1.106
1:13500001-14000000	1	13500001	14000000	0.999	1.066
1:14000001-14500000	1	14000001	14500000	1.02	1.088
1:14500001-15000000	1	14500001	15000000	0.983	1.038
1:15000001-15500000	1	15000001	15500000	1.106	1.021
1:15500001-16000000	1	15500001	16000000	0.889	0.904
1:16000001-16500000	1	16000001	16500000	1.094	1.092
1:17000001-17500000	1	17000001	17500000	1.109	0.982
1:17500001-18000000	1	17500001	18000000	1.133	1.032
1:18000001-18500000	1	18000001	18500000	0.947	1.007
1:18500001-19000000	1	18500001	19000000	1.071	1.048
1:19000001-19500000	1	19000001	19500000	0.894	1.001
1:19500001-20000000	1	19500001	20000000	1.009	1.166
1:20000001-20500000	1	20000001	20500000	1.048	1.057
1:20500001-21000000	1	20500001	21000000	0.998	0.937
1:21000001-21500000	1	21000001	21500000	1.006	0.98
1:21500001-22000000	1	21500001	22000000	0.975	1.081
1:22000001-22500000	1	22000001	22500000	0.975	1.034
1:22500001-23000000	1	22500001	23000000	1.044	1.024
1:23000001-23500000	1	23000001	23500000	0.929	1.069
1:23500001-24000000	1	23500001	24000000	0.961	0.978
1:24000001-24500000	1	24000001	24500000	1.033	1.007
1:24500001-25000000	1	24500001	25000000	1.081	0.992
1:25000001-25500000	1	25000001	25500000	0.974	0.991
1:25500001-26000000	1	25500001	26000000	1.087	1.03
1:26000001-26500000	1	26000001	26500000	1.057	0.991
1:26500001-27000000	1	26500001	27000000	0.989	1.061
1:27000001-27500000	1	27000001	27500000	0.951	0.961
1:27500001-28000000	1	27500001	28000000	1.123	0.982
1:28000001-28500000	1	28000001	28500000	1	0.953
1:28500001-29000000	1	28500001	29000000	1.047	0.962
1:29000001-29500000	1	29000001	29500000	0.985	0.983
1:29500001-30000000	1	29500001	30000000	0.971	0.992
1:30000001-30500000	1	30000001	30500000	1.1	1.047
1:30500001-31000000	1	30500001	31000000	1.032	0.956
1:31000001-31500000	1	31000001	31500000	1.038	1.054
1:31500001-32000000	1	31500001	32000000	0.996	1.024
1:32500001-33000000	1	32500001	33000000	1.04	1.034
