feature	chromosome	start	end	SLX-17922.D706tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17921.D703tp_D507tp.H5J55BBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	0.85	0.906
1:2000001-2500000	1	2000001	2500000	0.942	0.885
1:3000001-3500000	1	3000001	3500000	0.971	0.892
1:3500001-4000000	1	3500001	4000000	0.936	0.914
1:4000001-4500000	1	4000001	4500000	0.982	0.925
1:4500001-5000000	1	4500001	5000000	0.979	0.945
1:5000001-5500000	1	5000001	5500000	1.003	0.917
1:6000001-6500000	1	6000001	6500000	1.007	0.925
1:6500001-7000000	1	6500001	7000000	0.87	0.88
1:7000001-7500000	1	7000001	7500000	1.001	0.942
1:7500001-8000000	1	7500001	8000000	0.969	0.882
1:8000001-8500000	1	8000001	8500000	0.934	0.746
1:9000001-9500000	1	9000001	9500000	0.899	0.907
1:10000001-10500000	1	10000001	10500000	0.955	0.922
1:10500001-11000000	1	10500001	11000000	0.977	0.855
1:11000001-11500000	1	11000001	11500000	0.982	0.966
1:11500001-12000000	1	11500001	12000000	0.85	0.878
1:12000001-12500000	1	12000001	12500000	0.985	0.948
1:13500001-14000000	1	13500001	14000000	0.988	0.967
1:14000001-14500000	1	14000001	14500000	1.01	0.945
1:14500001-15000000	1	14500001	15000000	0.952	0.942
1:15000001-15500000	1	15000001	15500000	0.892	0.862
1:15500001-16000000	1	15500001	16000000	0.854	0.834
1:16000001-16500000	1	16000001	16500000	0.976	0.87
1:17000001-17500000	1	17000001	17500000	0.919	0.872
1:17500001-18000000	1	17500001	18000000	0.979	0.886
1:18000001-18500000	1	18000001	18500000	0.983	0.957
1:18500001-19000000	1	18500001	19000000	0.983	0.935
1:19000001-19500000	1	19000001	19500000	0.901	0.846
1:19500001-20000000	1	19500001	20000000	0.995	0.955
1:20000001-20500000	1	20000001	20500000	1.047	0.917
1:20500001-21000000	1	20500001	21000000	0.854	0.899
1:21000001-21500000	1	21000001	21500000	0.969	0.891
1:21500001-22000000	1	21500001	22000000	0.953	0.791
1:22000001-22500000	1	22000001	22500000	0.943	0.911
1:22500001-23000000	1	22500001	23000000	1.037	0.971
1:23000001-23500000	1	23000001	23500000	0.956	0.924
1:23500001-24000000	1	23500001	24000000	0.889	0.757
1:24000001-24500000	1	24000001	24500000	0.915	0.877
1:24500001-25000000	1	24500001	25000000	1.016	0.833
1:25000001-25500000	1	25000001	25500000	0.968	0.91
1:25500001-26000000	1	25500001	26000000	0.983	0.905
1:26000001-26500000	1	26000001	26500000	0.893	0.871
1:26500001-27000000	1	26500001	27000000	0.967	0.915
1:27000001-27500000	1	27000001	27500000	1.023	0.949
1:27500001-28000000	1	27500001	28000000	0.902	0.843
1:28000001-28500000	1	28000001	28500000	0.891	0.816
1:28500001-29000000	1	28500001	29000000	0.823	0.813
1:29000001-29500000	1	29000001	29500000	0.962	0.932
1:29500001-30000000	1	29500001	30000000	0.931	0.873
1:30000001-30500000	1	30000001	30500000	0.927	0.971
1:30500001-31000000	1	30500001	31000000	0.936	0.901
1:31000001-31500000	1	31000001	31500000	0.978	0.823
1:31500001-32000000	1	31500001	32000000	0.876	0.92
1:32500001-33000000	1	32500001	33000000	0.927	0.832
1:33000001-33500000	1	33000001	33500000	0.899	0.894
1:34000001-34500000	1	34000001	34500000	1.026	1.004
1:34500001-35000000	1	34500001	35000000	1.035	0.973
1:35000001-35500000	1	35000001	35500000	0.997	0.914
1:35500001-36000000	1	35500001	36000000	0.834	0.808
1:36000001-36500000	1	36000001	36500000	0.886	0.816
1:36500001-37000000	1	36500001	37000000	1.031	0.969
1:37000001-37500000	1	37000001	37500000	1.051	1.072
1:37500001-38000000	1	37500001	38000000	1.009	0.82
1:38000001-38500000	1	38000001	38500000	1.063	0.997
1:39000001-39500000	1	39000001	39500000	0.932	0.824
1:39500001-40000000	1	39500001	40000000	1.076	0.879
1:40000001-40500000	1	40000001	40500000	0.945	0.883
1:40500001-41000000	1	40500001	41000000	0.948	0.951
1:41000001-41500000	1	41000001	41500000	0.911	0.888
1:41500001-42000000	1	41500001	42000000	0.972	0.981
1:42000001-42500000	1	42000001	42500000	0.916	0.889
1:42500001-43000000	1	42500001	43000000	0.855	0.857
1:43000001-43500000	1	43000001	43500000	1.01	0.961
1:43500001-44000000	1	43500001	44000000	0.959	0.802
1:44000001-44500000	1	44000001	44500000	0.948	0.85
1:44500001-45000000	1	44500001	45000000	0.939	0.841
1:45000001-45500000	1	45000001	45500000	0.921	0.919
1:45500001-46000000	1	45500001	46000000	0.886	0.873
1:46000001-46500000	1	46000001	46500000	1.06	0.922
1:46500001-47000000	1	46500001	47000000	1.128	1.009
1:47000001-47500000	1	47000001	47500000	0.999	1.041
1:47500001-48000000	1	47500001	48000000	0.975	0.969
1:48000001-48500000	1	48000001	48500000	1.032	0.953
1:48500001-49000000	1	48500001	49000000	0.98	0.943
1:49000001-49500000	1	49000001	49500000	1.006	0.98
1:49500001-50000000	1	49500001	50000000	1.029	0.941
1:50500001-51000000	1	50500001	51000000	0.942	0.88
1:51000001-51500000	1	51000001	51500000	0.922	0.818
1:51500001-52000000	1	51500001	52000000	0.9	0.738
1:52000001-52500000	1	52000001	52500000	0.938	0.899
1:53000001-53500000	1	53000001	53500000	0.914	0.926
1:53500001-54000000	1	53500001	54000000	0.966	0.908
1:54000001-54500000	1	54000001	54500000	0.959	0.899
1:54500001-55000000	1	54500001	55000000	0.945	0.89
1:55500001-56000000	1	55500001	56000000	1.003	0.895
1:56000001-56500000	1	56000001	56500000	1.024	0.94
1:56500001-57000000	1	56500001	57000000	0.963	0.993
1:57000001-57500000	1	57000001	57500000	1.012	0.946
1:57500001-58000000	1	57500001	58000000	0.935	1.002
1:58000001-58500000	1	58000001	58500000	1.009	1.045
1:58500001-59000000	1	58500001	59000000	0.987	0.837
1:59000001-59500000	1	59000001	59500000	0.989	0.982
1:59500001-60000000	1	59500001	60000000	1.044	0.912
1:60000001-60500000	1	60000001	60500000	0.974	1.008
1:60500001-61000000	1	60500001	61000000	0.934	0.857
1:61000001-61500000	1	61000001	61500000	0.946	0.869
1:61500001-62000000	1	61500001	62000000	0.95	0.868
1:62000001-62500000	1	62000001	62500000	0.862	0.929
1:62500001-63000000	1	62500001	63000000	0.979	0.755
1:63000001-63500000	1	63000001	63500000	0.87	0.891
1:63500001-64000000	1	63500001	64000000	1.02	0.911
1:64000001-64500000	1	64000001	64500000	1.028	0.999
1:64500001-65000000	1	64500001	65000000	0.932	0.849
1:65000001-65500000	1	65000001	65500000	0.961	0.866
1:65500001-66000000	1	65500001	66000000	1.07	1.02
1:66500001-67000000	1	66500001	67000000	1.017	0.95
1:67000001-67500000	1	67000001	67500000	0.995	0.963
1:68000001-68500000	1	68000001	68500000	0.901	0.895
1:68500001-69000000	1	68500001	69000000	0.943	0.908
1:69000001-69500000	1	69000001	69500000	0.951	0.88
1:69500001-70000000	1	69500001	70000000	0.95	0.924
1:70000001-70500000	1	70000001	70500000	0.902	0.841
1:70500001-71000000	1	70500001	71000000	0.955	0.921
1:71000001-71500000	1	71000001	71500000	0.994	0.876
1:71500001-72000000	1	71500001	72000000	1.032	0.912
1:72000001-72500000	1	72000001	72500000	0.93	0.802
1:72500001-73000000	1	72500001	73000000	0.861	0.842
1:73500001-74000000	1	73500001	74000000	0.986	0.925
1:74000001-74500000	1	74000001	74500000	1.068	0.871
1:74500001-75000000	1	74500001	75000000	1.001	0.943
1:75000001-75500000	1	75000001	75500000	0.99	0.999
1:75500001-76000000	1	75500001	76000000	0.965	0.881
1:76000001-76500000	1	76000001	76500000	0.99	0.883
1:77000001-77500000	1	77000001	77500000	0.957	0.913
