feature	chromosome	start	end	SLX-17930.D706tp_D502tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D503tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D504tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D505tp.H77FWBBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	0.714	0.81	1	0.898
1:2000001-2500000	1	2000001	2500000	0.715	0.868	1.051	0.89
1:3000001-3500000	1	3000001	3500000	0.749	0.821	0.983	0.983
1:3500001-4000000	1	3500001	4000000	0.766	0.865	0.966	1.006
1:4000001-4500000	1	4000001	4500000	0.883	0.964	1.022	1.038
1:4500001-5000000	1	4500001	5000000	0.826	0.95	1.048	1.002
1:5000001-5500000	1	5000001	5500000	0.837	0.93	1.024	1.015
1:6000001-6500000	1	6000001	6500000	0.86	0.917	1.021	1.057
1:6500001-7000000	1	6500001	7000000	0.766	0.829	1.018	0.918
1:7000001-7500000	1	7000001	7500000	0.839	0.961	1.108	1.025
1:7500001-8000000	1	7500001	8000000	0.808	0.916	1.037	1.037
1:8000001-8500000	1	8000001	8500000	0.76	0.871	1.056	1.021
1:9000001-9500000	1	9000001	9500000	0.854	0.875	0.978	0.967
1:10000001-10500000	1	10000001	10500000	0.82	0.85	0.991	0.99
1:10500001-11000000	1	10500001	11000000	0.764	0.855	1.085	1.054
1:11000001-11500000	1	11000001	11500000	0.879	0.957	1.099	1.043
1:11500001-12000000	1	11500001	12000000	0.793	0.867	0.964	1.049
1:12000001-12500000	1	12000001	12500000	0.809	0.887	1.015	0.965
1:13500001-14000000	1	13500001	14000000	0.836	0.878	0.989	0.955
1:14000001-14500000	1	14000001	14500000	0.85	0.905	1.09	1.009
1:14500001-15000000	1	14500001	15000000	0.823	0.898	1.012	1.004
1:15000001-15500000	1	15000001	15500000	0.779	0.866	0.979	1.021
1:15500001-16000000	1	15500001	16000000	0.807	0.798	0.907	0.922
1:16000001-16500000	1	16000001	16500000	0.767	0.96	1.003	0.995
1:17000001-17500000	1	17000001	17500000	0.762	0.941	1.051	1.049
1:17500001-18000000	1	17500001	18000000	0.826	0.916	1.057	1.086
1:18000001-18500000	1	18000001	18500000	0.84	0.902	0.983	1.039
1:18500001-19000000	1	18500001	19000000	0.805	0.944	1.038	0.989
1:19000001-19500000	1	19000001	19500000	0.78	0.835	0.906	0.974
1:19500001-20000000	1	19500001	20000000	0.843	0.927	1.062	1.046
1:20000001-20500000	1	20000001	20500000	0.83	0.962	1.016	1.083
1:20500001-21000000	1	20500001	21000000	0.775	0.797	0.962	0.852
1:21000001-21500000	1	21000001	21500000	0.776	0.836	0.976	0.982
1:21500001-22000000	1	21500001	22000000	0.847	0.894	0.987	1.055
1:22000001-22500000	1	22000001	22500000	0.816	0.954	1.01	1.034
1:22500001-23000000	1	22500001	23000000	0.852	0.917	1.102	1.046
1:23000001-23500000	1	23000001	23500000	0.865	0.881	0.953	1.084
1:23500001-24000000	1	23500001	24000000	0.78	0.865	1.026	0.943
1:24000001-24500000	1	24000001	24500000	0.845	0.943	0.945	1.059
1:24500001-25000000	1	24500001	25000000	0.803	0.898	0.969	1.062
1:25000001-25500000	1	25000001	25500000	0.777	0.878	1.025	0.929
1:25500001-26000000	1	25500001	26000000	0.772	0.87	1.039	0.993
1:26000001-26500000	1	26000001	26500000	0.787	0.895	0.99	0.937
1:26500001-27000000	1	26500001	27000000	0.798	0.917	0.921	0.985
1:27000001-27500000	1	27000001	27500000	0.824	0.886	1.03	1.004
1:27500001-28000000	1	27500001	28000000	0.75	0.873	0.98	0.949
1:28000001-28500000	1	28000001	28500000	0.821	0.829	0.89	0.909
1:28500001-29000000	1	28500001	29000000	0.765	0.881	1.026	0.963
1:29000001-29500000	1	29000001	29500000	0.896	0.946	1.05	1.058
1:29500001-30000000	1	29500001	30000000	0.8	0.945	1.053	0.97
1:30000001-30500000	1	30000001	30500000	0.856	0.88	1.07	1.094
1:30500001-31000000	1	30500001	31000000	0.824	0.889	0.955	0.984
1:31000001-31500000	1	31000001	31500000	0.802	0.884	0.984	0.979
1:31500001-32000000	1	31500001	32000000	0.798	0.898	1.001	1.015
1:32500001-33000000	1	32500001	33000000	0.798	0.931	1.017	1.1
1:33000001-33500000	1	33000001	33500000	0.818	0.862	0.941	0.952
1:34000001-34500000	1	34000001	34500000	0.852	0.94	0.992	1.029
1:34500001-35000000	1	34500001	35000000	0.875	0.912	1.044	1.033
1:35000001-35500000	1	35000001	35500000	0.761	0.91	0.924	1.01
1:35500001-36000000	1	35500001	36000000	0.819	0.855	0.968	0.955
1:36000001-36500000	1	36000001	36500000	0.848	0.827	1.026	0.948
1:36500001-37000000	1	36500001	37000000	0.847	0.976	1.069	1.048
1:37000001-37500000	1	37000001	37500000	0.857	0.937	1.08	1.093
1:37500001-38000000	1	37500001	38000000	0.845	0.915	1.075	0.956
1:38000001-38500000	1	38000001	38500000	0.867	0.944	1.051	1.03
1:39000001-39500000	1	39000001	39500000	0.82	0.861	0.958	0.939
1:39500001-40000000	1	39500001	40000000	0.854	0.874	0.994	0.992
1:40000001-40500000	1	40000001	40500000	0.762	0.803	0.827	1.034
1:40500001-41000000	1	40500001	41000000	0.79	0.873	0.972	0.92
1:41000001-41500000	1	41000001	41500000	0.832	0.915	1.052	1.039
1:41500001-42000000	1	41500001	42000000	0.81	0.931	1.057	0.991
