feature	chromosome	start	end	SLX-16150.D708tp_D504tp.HC22VBBXY.s_3.r_1	SLX-16150.D709tp_D504tp.HC22VBBXY.s_3.r_1	SLX-16150.D709tp_D508tp.HC22VBBXY.s_3.r_1	SLX-16150.D712tp_D501tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	1.007	1.021	1.075	0.977
1:2000001-2500000	1	2000001	2500000	1.081	1.045	0.918	0.974
1:3000001-3500000	1	3000001	3500000	0.98	1.033	1.016	1.015
1:3500001-4000000	1	3500001	4000000	1.085	1.027	1.007	0.949
1:4000001-4500000	1	4000001	4500000	1.113	0.959	1.006	1.076
1:4500001-5000000	1	4500001	5000000	0.988	1.079	1.027	1.028
1:5000001-5500000	1	5000001	5500000	0.96	1.09	1.045	1.027
1:6000001-6500000	1	6000001	6500000	1.012	1.151	1.063	1.066
1:6500001-7000000	1	6500001	7000000	1.013	1.05	1.117	0.987
1:7000001-7500000	1	7000001	7500000	1.001	1.019	1.057	0.999
1:7500001-8000000	1	7500001	8000000	0.953	1.086	1.067	1.087
1:8000001-8500000	1	8000001	8500000	1.028	0.965	0.95	1.107
1:9000001-9500000	1	9000001	9500000	1.018	0.981	0.984	1.053
1:10000001-10500000	1	10000001	10500000	1.021	1.001	1	0.926
1:10500001-11000000	1	10500001	11000000	1.083	1.026	1.007	1.043
1:11000001-11500000	1	11000001	11500000	1.18	1.05	1.067	1.255
1:11500001-12000000	1	11500001	12000000	0.985	0.995	1.018	0.936
1:12000001-12500000	1	12000001	12500000	1.094	1.084	1.01	1.048
1:13500001-14000000	1	13500001	14000000	0.975	1.052	0.932	1.082
1:14000001-14500000	1	14000001	14500000	1.004	1.031	1.105	1.128
1:14500001-15000000	1	14500001	15000000	1.014	0.955	0.95	1.073
1:15000001-15500000	1	15000001	15500000	0.989	0.931	1.095	1.08
1:15500001-16000000	1	15500001	16000000	1.03	0.912	1.03	1.014
1:16000001-16500000	1	16000001	16500000	1.006	1	1.128	0.895
1:17000001-17500000	1	17000001	17500000	0.97	1.064	1.071	1.01
1:17500001-18000000	1	17500001	18000000	1.041	1.065	0.975	0.934
1:18000001-18500000	1	18000001	18500000	0.976	1.056	0.984	1.086
1:18500001-19000000	1	18500001	19000000	1.041	1.046	0.992	1.048
1:19000001-19500000	1	19000001	19500000	0.935	1.123	0.879	0.969
1:19500001-20000000	1	19500001	20000000	1.103	0.969	0.919	1.012
1:20000001-20500000	1	20000001	20500000	1.084	1.107	1.052	1.076
1:20500001-21000000	1	20500001	21000000	0.887	0.948	1.012	0.873
1:21000001-21500000	1	21000001	21500000	1.015	0.912	1.079	1.016
1:21500001-22000000	1	21500001	22000000	1.124	0.928	1.108	1.1
1:22000001-22500000	1	22000001	22500000	0.97	1.069	1.088	1.063
1:22500001-23000000	1	22500001	23000000	1.119	1.067	0.992	1.029
1:23000001-23500000	1	23000001	23500000	1.021	0.955	1.142	0.977
1:23500001-24000000	1	23500001	24000000	0.99	1.106	1.049	1.049
1:24000001-24500000	1	24000001	24500000	0.982	1.054	1.046	1.024
1:24500001-25000000	1	24500001	25000000	0.989	0.971	1.095	1.024
1:25000001-25500000	1	25000001	25500000	1.069	1.009	0.952	1.092
1:25500001-26000000	1	25500001	26000000	1.059	0.918	1.071	0.953
1:26000001-26500000	1	26000001	26500000	0.927	1.035	0.992	1.041
1:26500001-27000000	1	26500001	27000000	0.934	0.994	1.087	1.132
1:27000001-27500000	1	27000001	27500000	0.934	0.934	1.022	0.993
1:27500001-28000000	1	27500001	28000000	1.052	1.003	1.02	0.961
1:28000001-28500000	1	28000001	28500000	1.028	0.853	1.087	0.968
1:28500001-29000000	1	28500001	29000000	0.936	1.02	1.01	1.021
1:29000001-29500000	1	29000001	29500000	0.978	1.022	1.079	1.163
1:29500001-30000000	1	29500001	30000000	1.025	0.984	1.005	0.911
1:30000001-30500000	1	30000001	30500000	1.061	0.986	1.17	1.096
1:30500001-31000000	1	30500001	31000000	0.973	1.05	1.078	0.976
1:31000001-31500000	1	31000001	31500000	1.041	0.986	1.09	0.896
1:31500001-32000000	1	31500001	32000000	1.027	1.12	0.93	1.01
