feature	chromosome	start	end	SLX-17921.D711tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17921.D711tp_D505tp.H5J55BBXY.s_8.r_1	SLX-17921.D705tp_D503tp.H5J55BBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	0.832	0.999	0.986
1:2000001-2500000	1	2000001	2500000	0.749	0.956	1.017
1:3000001-3500000	1	3000001	3500000	0.788	1.046	0.958
1:3500001-4000000	1	3500001	4000000	0.858	1.031	0.933
1:4000001-4500000	1	4000001	4500000	0.887	1.063	1.022
1:4500001-5000000	1	4500001	5000000	0.864	1.056	1.017
1:5000001-5500000	1	5000001	5500000	0.85	1.052	1.026
1:6000001-6500000	1	6000001	6500000	0.861	0.978	1.069
1:6500001-7000000	1	6500001	7000000	0.758	0.938	0.969
1:7000001-7500000	1	7000001	7500000	0.855	1.025	1.056
1:7500001-8000000	1	7500001	8000000	0.872	1.025	1
1:8000001-8500000	1	8000001	8500000	0.815	0.928	1.07
1:9000001-9500000	1	9000001	9500000	0.709	0.931	0.976
1:10000001-10500000	1	10000001	10500000	0.844	0.953	0.98
1:10500001-11000000	1	10500001	11000000	0.865	1.036	1.051
1:11000001-11500000	1	11000001	11500000	0.823	1.085	1.119
1:11500001-12000000	1	11500001	12000000	0.901	1.026	0.942
1:12000001-12500000	1	12000001	12500000	0.859	1.028	0.996
1:13500001-14000000	1	13500001	14000000	0.77	1.08	1.044
1:14000001-14500000	1	14000001	14500000	0.845	1.02	1.047
1:14500001-15000000	1	14500001	15000000	0.826	1.048	1.081
1:15000001-15500000	1	15000001	15500000	0.769	0.934	0.92
1:15500001-16000000	1	15500001	16000000	0.755	1.003	1.017
1:16000001-16500000	1	16000001	16500000	0.744	0.914	1.011
1:17000001-17500000	1	17000001	17500000	0.83	1.026	1.026
1:17500001-18000000	1	17500001	18000000	0.781	0.935	1.081
1:18000001-18500000	1	18000001	18500000	0.919	0.962	1.021
