feature	chromosome	start	end	SLX-16150.D707tp_D503tp.HC22VBBXY.s_3.r_1	SLX-17921.D707tp_D507tp.H5J55BBXY.s_8.r_1	SLX-16150.D712tp_D502tp.HC22VBBXY.s_3.r_1	SLX-17921.D710tp_D506tp.H5J55BBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	1.026	0.748	1.051	0.965
1:2000001-2500000	1	2000001	2500000	0.935	0.85	1	0.999
1:3000001-3500000	1	3000001	3500000	0.985	0.775	0.98	1.035
1:3500001-4000000	1	3500001	4000000	0.903	0.718	0.909	0.997
1:4000001-4500000	1	4000001	4500000	0.921	0.843	1.026	1.048
1:4500001-5000000	1	4500001	5000000	0.841	0.829	0.97	1.022
1:5000001-5500000	1	5000001	5500000	0.956	0.794	0.884	0.973
1:6000001-6500000	1	6000001	6500000	1.049	0.908	1.136	1.059
1:6500001-7000000	1	6500001	7000000	0.93	0.797	1.056	0.948
1:7000001-7500000	1	7000001	7500000	0.968	0.742	1.126	0.984
1:7500001-8000000	1	7500001	8000000	0.999	0.907	1.135	0.992
1:8000001-8500000	1	8000001	8500000	0.925	0.741	0.966	0.996
1:9000001-9500000	1	9000001	9500000	0.912	0.906	1.046	1.02
1:10000001-10500000	1	10000001	10500000	0.848	0.743	0.962	0.91
1:10500001-11000000	1	10500001	11000000	0.798	0.78	1.055	1.039
1:11000001-11500000	1	11000001	11500000	0.993	0.918	1.223	1.101
1:11500001-12000000	1	11500001	12000000	0.917	0.78	1.097	0.979
1:12000001-12500000	1	12000001	12500000	0.858	0.843	1.112	1.016
1:13500001-14000000	1	13500001	14000000	0.938	0.802	1.043	1.072
1:14000001-14500000	1	14000001	14500000	0.933	0.809	0.984	1.084
1:14500001-15000000	1	14500001	15000000	0.957	0.767	1.055	1.008
1:15000001-15500000	1	15000001	15500000	0.927	0.796	1.064	1.093
1:15500001-16000000	1	15500001	16000000	0.897	0.786	0.845	0.888
1:16000001-16500000	1	16000001	16500000	0.94	0.837	0.945	0.966
1:17000001-17500000	1	17000001	17500000	0.956	0.819	0.928	0.986
1:17500001-18000000	1	17500001	18000000	0.913	0.942	1.048	1.041
1:18000001-18500000	1	18000001	18500000	0.853	0.732	1.087	1.006
1:18500001-19000000	1	18500001	19000000	0.839	0.802	1.085	0.95
1:19000001-19500000	1	19000001	19500000	0.846	0.739	0.873	0.928
1:19500001-20000000	1	19500001	20000000	0.893	0.879	1.183	1.137
1:20000001-20500000	1	20000001	20500000	0.892	0.808	1.011	1.14
1:20500001-21000000	1	20500001	21000000	0.867	0.863	0.918	0.93
1:21000001-21500000	1	21000001	21500000	1.022	0.789	0.936	0.989
1:21500001-22000000	1	21500001	22000000	1.024	0.847	1.105	1.112
1:22000001-22500000	1	22000001	22500000	0.973	0.806	0.967	1.055
1:22500001-23000000	1	22500001	23000000	0.911	0.855	1.038	1.108
1:23000001-23500000	1	23000001	23500000	0.901	0.803	0.994	1.06
1:23500001-24000000	1	23500001	24000000	0.959	0.932	0.934	0.973
1:24000001-24500000	1	24000001	24500000	1.002	0.849	0.955	1.049
1:24500001-25000000	1	24500001	25000000	0.927	0.845	0.914	1.017
1:25000001-25500000	1	25000001	25500000	0.928	0.746	1.064	0.963
1:25500001-26000000	1	25500001	26000000	0.909	0.826	1.037	1.045
1:26000001-26500000	1	26000001	26500000	0.967	0.83	0.945	0.957
1:26500001-27000000	1	26500001	27000000	0.815	0.752	0.931	0.894
1:27000001-27500000	1	27000001	27500000	0.957	0.773	1.093	1.004
1:27500001-28000000	1	27500001	28000000	0.891	0.781	1.034	0.909
1:28000001-28500000	1	28000001	28500000	0.85	0.812	0.999	1.003
1:28500001-29000000	1	28500001	29000000	0.875	0.791	0.933	0.946
1:29000001-29500000	1	29000001	29500000	1.006	0.935	1.123	1.08
1:29500001-30000000	1	29500001	30000000	1.285	1.599	1.008	1.057
1:30000001-30500000	1	30000001	30500000	1.167	1.421	1.154	1.094
1:30500001-31000000	1	30500001	31000000	0.921	0.928	1.058	1.008
1:31000001-31500000	1	31000001	31500000	1.029	0.969	1.037	1.006
1:31500001-32000000	1	31500001	32000000	0.988	1.069	0.941	1.01
1:32500001-33000000	1	32500001	33000000	1.085	0.932	0.99	1.047
1:33000001-33500000	1	33000001	33500000	1.06	1.021	0.895	0.989
1:34000001-34500000	1	34000001	34500000	1.096	1.075	1.019	1.045
1:34500001-35000000	1	34500001	35000000	1.021	0.958	1.018	1.071
1:35000001-35500000	1	35000001	35500000	1.082	0.961	0.877	0.919
1:35500001-36000000	1	35500001	36000000	0.981	1.055	1.03	0.95
1:36000001-36500000	1	36000001	36500000	0.901	0.917	0.973	1.051
1:36500001-37000000	1	36500001	37000000	0.973	0.942	1.213	1.123
1:37000001-37500000	1	37000001	37500000	1.053	1.02	1.006	1.056
1:37500001-38000000	1	37500001	38000000	1.02	0.976	1.115	1.008
1:38000001-38500000	1	38000001	38500000	1.055	0.98	1.069	1.024
1:39000001-39500000	1	39000001	39500000	0.971	0.871	1.131	0.972
1:39500001-40000000	1	39500001	40000000	1.062	1.051	0.886	1.05
1:40000001-40500000	1	40000001	40500000	0.902	0.731	0.935	1.001
1:40500001-41000000	1	40500001	41000000	0.958	0.773	0.957	1.011
1:41000001-41500000	1	41000001	41500000	0.947	0.822	1.063	0.961
1:41500001-42000000	1	41500001	42000000	0.946	0.844	1.102	1.109
1:42000001-42500000	1	42000001	42500000	0.977	0.783	0.992	1.031
1:42500001-43000000	1	42500001	43000000	0.81	0.815	1.125	0.943
1:43000001-43500000	1	43000001	43500000	0.905	0.814	0.928	1.051
1:43500001-44000000	1	43500001	44000000	0.87	0.824	0.981	0.965
1:44000001-44500000	1	44000001	44500000	0.976	0.808	0.971	0.946
1:44500001-45000000	1	44500001	45000000	0.869	0.901	1.009	1.013
1:45000001-45500000	1	45000001	45500000	0.936	0.726	0.914	1.056
1:45500001-46000000	1	45500001	46000000	0.817	0.733	1.015	0.982
1:46000001-46500000	1	46000001	46500000	0.883	0.903	1.093	1.003
1:46500001-47000000	1	46500001	47000000	0.967	0.861	1.201	1.065
1:47000001-47500000	1	47000001	47500000	0.964	0.838	0.957	0.931
1:47500001-48000000	1	47500001	48000000	0.94	0.889	0.983	1.117
1:48000001-48500000	1	48000001	48500000	1.037	0.964	0.97	1.088
1:48500001-49000000	1	48500001	49000000	0.876	0.894	1.099	1.033
1:49000001-49500000	1	49000001	49500000	0.897	0.793	1.073	0.974
1:49500001-50000000	1	49500001	50000000	0.909	0.955	1.057	1.001
1:50500001-51000000	1	50500001	51000000	0.855	0.84	1.046	0.998
1:51000001-51500000	1	51000001	51500000	0.981	0.735	0.97	1.007
1:51500001-52000000	1	51500001	52000000	0.892	0.774	0.952	1.001
1:52000001-52500000	1	52000001	52500000	0.914	0.76	0.993	1.06
1:53000001-53500000	1	53000001	53500000	0.87	0.831	0.946	0.982
1:53500001-54000000	1	53500001	54000000	0.945	0.778	1.047	1.043
1:54000001-54500000	1	54000001	54500000	0.967	0.778	1.203	1.085
1:54500001-55000000	1	54500001	55000000	0.951	0.781	0.953	1.001
1:55500001-56000000	1	55500001	56000000	1.025	0.858	1.011	0.976
1:56000001-56500000	1	56000001	56500000	0.922	0.819	0.965	1.086
1:56500001-57000000	1	56500001	57000000	0.993	0.73	1.019	1.001
