feature	chromosome	start	end	SLX-17922.D708tp_D502tp.HC22GBBXY.s_6.r_1	SLX-16150.D708tp_D501tp.HC22VBBXY.s_3.r_1	SLX-16150.D709tp_D503tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	1.007	1.056	0.96
1:2000001-2500000	1	2000001	2500000	0.997	1.047	1.024
1:3000001-3500000	1	3000001	3500000	1.038	1.005	1.038
1:3500001-4000000	1	3500001	4000000	0.972	0.993	0.891
1:4000001-4500000	1	4000001	4500000	1.074	1.034	1.077
1:4500001-5000000	1	4500001	5000000	0.999	0.958	1.07
1:5000001-5500000	1	5000001	5500000	1.02	1.096	0.993
1:6000001-6500000	1	6000001	6500000	1.055	0.943	1.041
1:6500001-7000000	1	6500001	7000000	1.05	1.042	1.063
1:7000001-7500000	1	7000001	7500000	1.164	1.045	1.063
1:7500001-8000000	1	7500001	8000000	1.017	0.994	1.08
1:8000001-8500000	1	8000001	8500000	1.009	1.049	1.012
1:9000001-9500000	1	9000001	9500000	1.084	1.005	0.978
1:10000001-10500000	1	10000001	10500000	0.869	1.018	1.184
1:10500001-11000000	1	10500001	11000000	1.013	1.099	1.035
1:11000001-11500000	1	11000001	11500000	1.013	1.024	1.101
1:11500001-12000000	1	11500001	12000000	0.983	1.002	0.969
1:12000001-12500000	1	12000001	12500000	1.06	0.998	1.023
1:13500001-14000000	1	13500001	14000000	1.006	1.093	0.958
1:14000001-14500000	1	14000001	14500000	1.087	1.004	1.074
1:14500001-15000000	1	14500001	15000000	1.151	0.989	1.001
1:15000001-15500000	1	15000001	15500000	1.047	0.992	1.062
1:15500001-16000000	1	15500001	16000000	1.001	0.992	1.067
1:16000001-16500000	1	16000001	16500000	1.12	1.099	1.021
1:17000001-17500000	1	17000001	17500000	0.98	0.956	1.04
1:17500001-18000000	1	17500001	18000000	1.046	1.08	1.039
1:18000001-18500000	1	18000001	18500000	1.047	1.006	0.981
1:18500001-19000000	1	18500001	19000000	1.092	1.028	1.113
1:19000001-19500000	1	19000001	19500000	1	0.993	0.963
1:19500001-20000000	1	19500001	20000000	1.106	0.997	1.169
1:20000001-20500000	1	20000001	20500000	1.156	1.002	1.059
1:20500001-21000000	1	20500001	21000000	0.976	0.91	0.963
1:21000001-21500000	1	21000001	21500000	0.922	1.01	0.981
1:21500001-22000000	1	21500001	22000000	0.998	0.986	1.009
1:22000001-22500000	1	22000001	22500000	1.019	1.054	0.99
1:22500001-23000000	1	22500001	23000000	1.042	1.025	0.978
1:23000001-23500000	1	23000001	23500000	1.02	0.92	0.936
1:23500001-24000000	1	23500001	24000000	1.047	0.981	1.023
1:24000001-24500000	1	24000001	24500000	1.06	1.051	1.128
1:24500001-25000000	1	24500001	25000000	1.066	0.975	1.101
1:25000001-25500000	1	25000001	25500000	0.885	1.022	0.905
1:25500001-26000000	1	25500001	26000000	1.07	1.026	0.99
1:26000001-26500000	1	26000001	26500000	0.976	0.973	1.07
1:26500001-27000000	1	26500001	27000000	0.949	0.959	0.988
1:27000001-27500000	1	27000001	27500000	0.993	0.979	0.937
1:27500001-28000000	1	27500001	28000000	0.952	1.021	0.856
1:28000001-28500000	1	28000001	28500000	0.924	0.983	0.894
1:28500001-29000000	1	28500001	29000000	0.901	0.956	0.969
1:29000001-29500000	1	29000001	29500000	1.003	1.094	1.136
1:29500001-30000000	1	29500001	30000000	1.056	1.066	0.943
1:30000001-30500000	1	30000001	30500000	1.057	0.984	1.039
1:30500001-31000000	1	30500001	31000000	0.975	1	0.994
1:31000001-31500000	1	31000001	31500000	0.979	1.076	1.035
1:31500001-32000000	1	31500001	32000000	0.942	1.04	1.008
1:32500001-33000000	1	32500001	33000000	0.964	1.118	1.011
1:33000001-33500000	1	33000001	33500000	0.989	0.99	1.057
1:34000001-34500000	1	34000001	34500000	0.999	1.062	1.013
1:34500001-35000000	1	34500001	35000000	1.197	1.029	1.13
1:35000001-35500000	1	35000001	35500000	0.928	0.903	0.966
1:35500001-36000000	1	35500001	36000000	1.007	1.088	0.965
1:36000001-36500000	1	36000001	36500000	0.948	0.941	0.964
1:36500001-37000000	1	36500001	37000000	1.002	0.989	1.126
1:37000001-37500000	1	37000001	37500000	1.103	1.075	1.099
1:37500001-38000000	1	37500001	38000000	1.038	1	1.003
1:38000001-38500000	1	38000001	38500000	1.056	0.941	1.029
1:39000001-39500000	1	39000001	39500000	1.058	0.924	1.022
1:39500001-40000000	1	39500001	40000000	1.076	1.101	1.005
1:40000001-40500000	1	40000001	40500000	0.881	1.014	0.951
1:40500001-41000000	1	40500001	41000000	0.967	1.103	1.036
1:41000001-41500000	1	41000001	41500000	1.045	1.108	0.965
1:41500001-42000000	1	41500001	42000000	0.996	1.004	1.02
1:42000001-42500000	1	42000001	42500000	1.019	0.997	1.01
1:42500001-43000000	1	42500001	43000000	1.041	1.018	1.005
1:43000001-43500000	1	43000001	43500000	1.033	1.014	1.031
1:43500001-44000000	1	43500001	44000000	0.946	0.995	1.009
1:44000001-44500000	1	44000001	44500000	0.897	0.986	1.064
1:44500001-45000000	1	44500001	45000000	0.924	0.933	0.966
1:45000001-45500000	1	45000001	45500000	1.053	1.014	0.989
1:45500001-46000000	1	45500001	46000000	0.846	0.872	0.995
1:46000001-46500000	1	46000001	46500000	0.936	1.041	1.055
1:46500001-47000000	1	46500001	47000000	1.01	1.038	1.15
1:47000001-47500000	1	47000001	47500000	1.09	1.09	1.051
1:47500001-48000000	1	47500001	48000000	1.079	0.972	1.098
1:48000001-48500000	1	48000001	48500000	1.021	1.091	1.163
1:48500001-49000000	1	48500001	49000000	1.074	1.039	1.095
1:49000001-49500000	1	49000001	49500000	1.075	1.076	1.089
1:49500001-50000000	1	49500001	50000000	0.954	1.076	1.129
1:50500001-51000000	1	50500001	51000000	0.951	0.963	1.113
1:51000001-51500000	1	51000001	51500000	0.887	1.001	0.951
1:51500001-52000000	1	51500001	52000000	0.903	1.039	1.071
1:52000001-52500000	1	52000001	52500000	1.032	0.958	1.04
1:53000001-53500000	1	53000001	53500000	1.003	0.949	0.983
1:53500001-54000000	1	53500001	54000000	1.024	1.038	1.04
1:54000001-54500000	1	54000001	54500000	0.985	1.031	1.181
1:54500001-55000000	1	54500001	55000000	1.158	1.059	1.05
1:55500001-56000000	1	55500001	56000000	1.023	1.078	1.071
1:56000001-56500000	1	56000001	56500000	1.066	1.075	1.024
1:56500001-57000000	1	56500001	57000000	1.075	1.105	1.023
1:57000001-57500000	1	57000001	57500000	1.036	0.976	1.069
1:57500001-58000000	1	57500001	58000000	0.972	0.935	0.995
1:58000001-58500000	1	58000001	58500000	1.115	1.177	1.098
1:58500001-59000000	1	58500001	59000000	0.971	1.106	1.025
1:59000001-59500000	1	59000001	59500000	1.06	0.932	1.006
1:59500001-60000000	1	59500001	60000000	1.129	1.059	1.064
1:60000001-60500000	1	60000001	60500000	1.161	0.954	1.01
1:60500001-61000000	1	60500001	61000000	1.122	1.02	1.052
1:61000001-61500000	1	61000001	61500000	1.069	0.973	1.037
1:61500001-62000000	1	61500001	62000000	0.94	0.923	1.012
1:62000001-62500000	1	62000001	62500000	1.019	1.024	1.017
1:62500001-63000000	1	62500001	63000000	0.995	0.987	1.12
1:63000001-63500000	1	63000001	63500000	0.89	0.941	1.066
1:63500001-64000000	1	63500001	64000000	1.047	0.978	1.078
1:64000001-64500000	1	64000001	64500000	0.991	1.027	1.088
1:64500001-65000000	1	64500001	65000000	0.898	1.021	1.01
1:65000001-65500000	1	65000001	65500000	0.967	1.078	1.03
1:65500001-66000000	1	65500001	66000000	0.956	0.998	1.12
1:66500001-67000000	1	66500001	67000000	0.967	0.981	0.987
1:67000001-67500000	1	67000001	67500000	1.048	1.054	1.036
1:68000001-68500000	1	68000001	68500000	0.97	0.976	1.116
1:68500001-69000000	1	68500001	69000000	1.118	1.05	0.945
1:69000001-69500000	1	69000001	69500000	1.004	1.058	0.968
1:69500001-70000000	1	69500001	70000000	1.032	1.069	1.019
1:70000001-70500000	1	70000001	70500000	0.994	1.021	1.037
1:70500001-71000000	1	70500001	71000000	0.948	0.989	1.063
1:71000001-71500000	1	71000001	71500000	0.937	1.079	1.008
1:71500001-72000000	1	71500001	72000000	1.044	1.08	1.124
1:72000001-72500000	1	72000001	72500000	0.987	1.04	1.018
1:72500001-73000000	1	72500001	73000000	0.946	1.019	1.014
1:73500001-74000000	1	73500001	74000000	0.998	0.989	0.958
1:74000001-74500000	1	74000001	74500000	1.124	1.065	0.993
1:74500001-75000000	1	74500001	75000000	1.057	1.09	1.03
1:75000001-75500000	1	75000001	75500000	1.045	1.052	0.996
1:75500001-76000000	1	75500001	76000000	0.993	0.934	1.003
1:76000001-76500000	1	76000001	76500000	0.979	1.012	1.059
1:77000001-77500000	1	77000001	77500000	0.967	0.946	1.095
1:77500001-78000000	1	77500001	78000000	0.929	1.024	0.935
1:78000001-78500000	1	78000001	78500000	1.036	1.036	1.046
1:78500001-79000000	1	78500001	79000000	1.01	0.969	1.09
1:79000001-79500000	1	79000001	79500000	1.001	0.938	1.033
1:79500001-80000000	1	79500001	80000000	1.003	0.985	1.008
1:80000001-80500000	1	80000001	80500000	0.938	0.937	0.991
1:80500001-81000000	1	80500001	81000000	1.043	1.037	1.037
1:81000001-81500000	1	81000001	81500000	0.981	1.008	1.037
1:81500001-82000000	1	81500001	82000000	1.02	0.987	1.093
1:82000001-82500000	1	82000001	82500000	0.984	1.128	1.003
1:82500001-83000000	1	82500001	83000000	1.106	1	1.088
1:83500001-84000000	1	83500001	84000000	1.067	1.032	0.934
1:84000001-84500000	1	84000001	84500000	1.026	1.084	1.017
1:84500001-85000000	1	84500001	85000000	0.96	0.946	0.91
1:85000001-85500000	1	85000001	85500000	0.982	1.07	0.978
1:85500001-86000000	1	85500001	86000000	0.992	0.999	1.005
1:86000001-86500000	1	86000001	86500000	1.045	1.01	0.997
1:86500001-87000000	1	86500001	87000000	0.992	1.135	1.09
1:87000001-87500000	1	87000001	87500000	0.926	0.999	1.086
1:87500001-88000000	1	87500001	88000000	0.946	1.134	1.112
1:88000001-88500000	1	88000001	88500000	1.024	1.107	1.078
1:88500001-89000000	1	88500001	89000000	0.922	1.023	0.995
1:89000001-89500000	1	89000001	89500000	0.919	1.004	1.016
1:89500001-90000000	1	89500001	90000000	0.922	1.043	0.981
1:90000001-90500000	1	90000001	90500000	1.092	0.977	1.065
1:90500001-91000000	1	90500001	91000000	1.091	1.035	1.035
1:91000001-91500000	1	91000001	91500000	1.06	0.925	1.023
