feature	chromosome	start	end	SLX-17922.D710tp_D504tp.HC22GBBXY.s_6.r_1	SLX-16150.D708tp_D503tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	0.941	1.022
1:2000001-2500000	1	2000001	2500000	0.87	0.994
1:3000001-3500000	1	3000001	3500000	0.852	1.023
1:3500001-4000000	1	3500001	4000000	0.884	1.15
1:4000001-4500000	1	4000001	4500000	0.964	0.988
1:4500001-5000000	1	4500001	5000000	0.979	0.982
1:5000001-5500000	1	5000001	5500000	1.011	1.05
1:6000001-6500000	1	6000001	6500000	1.007	0.99
1:6500001-7000000	1	6500001	7000000	0.893	0.969
1:7000001-7500000	1	7000001	7500000	0.995	1.039
1:7500001-8000000	1	7500001	8000000	0.885	1.071
1:8000001-8500000	1	8000001	8500000	0.948	1.045
1:9000001-9500000	1	9000001	9500000	0.894	0.979
1:10000001-10500000	1	10000001	10500000	0.895	1.004
1:10500001-11000000	1	10500001	11000000	1.043	1.057
1:11000001-11500000	1	11000001	11500000	0.959	1.132
1:11500001-12000000	1	11500001	12000000	0.942	1.036
1:12000001-12500000	1	12000001	12500000	0.882	1.05
1:13500001-14000000	1	13500001	14000000	1.032	1.045
1:14000001-14500000	1	14000001	14500000	0.982	1.019
1:14500001-15000000	1	14500001	15000000	1.033	1.043
1:15000001-15500000	1	15000001	15500000	0.927	1.114
1:15500001-16000000	1	15500001	16000000	0.831	0.987
1:16000001-16500000	1	16000001	16500000	0.995	1.009
1:17000001-17500000	1	17000001	17500000	1.078	1.023
1:17500001-18000000	1	17500001	18000000	1.013	1.011
1:18000001-18500000	1	18000001	18500000	0.906	1.011
1:18500001-19000000	1	18500001	19000000	0.897	1.071
1:19000001-19500000	1	19000001	19500000	0.838	0.858
1:19500001-20000000	1	19500001	20000000	0.918	0.992
1:20000001-20500000	1	20000001	20500000	1.036	1.1
1:20500001-21000000	1	20500001	21000000	0.916	0.946
1:21000001-21500000	1	21000001	21500000	0.92	1.014
1:21500001-22000000	1	21500001	22000000	0.898	1.01
1:22000001-22500000	1	22000001	22500000	0.989	1.096
1:22500001-23000000	1	22500001	23000000	0.927	1.011
1:23000001-23500000	1	23000001	23500000	0.988	1.037
1:23500001-24000000	1	23500001	24000000	0.927	1.015
1:24000001-24500000	1	24000001	24500000	0.982	1.05
1:24500001-25000000	1	24500001	25000000	0.846	1.128
1:25000001-25500000	1	25000001	25500000	0.996	1.008
1:25500001-26000000	1	25500001	26000000	1.008	0.893
1:26000001-26500000	1	26000001	26500000	0.881	1.09
1:26500001-27000000	1	26500001	27000000	0.904	1.066
1:27000001-27500000	1	27000001	27500000	0.992	1.016
1:27500001-28000000	1	27500001	28000000	0.836	1.001
1:28000001-28500000	1	28000001	28500000	0.91	0.876
1:28500001-29000000	1	28500001	29000000	0.927	0.913
1:29000001-29500000	1	29000001	29500000	1.013	1.177
1:29500001-30000000	1	29500001	30000000	1.014	0.987
1:30000001-30500000	1	30000001	30500000	0.995	1.045
1:30500001-31000000	1	30500001	31000000	0.979	0.972
1:31000001-31500000	1	31000001	31500000	0.939	1.057
1:31500001-32000000	1	31500001	32000000	0.959	1.059
1:32500001-33000000	1	32500001	33000000	1.077	1.109
1:33000001-33500000	1	33000001	33500000	1.016	1.026
1:34000001-34500000	1	34000001	34500000	0.925	1.002
1:34500001-35000000	1	34500001	35000000	0.948	0.998
1:35000001-35500000	1	35000001	35500000	0.986	0.937
1:35500001-36000000	1	35500001	36000000	0.912	0.952
1:36000001-36500000	1	36000001	36500000	0.902	0.905
1:36500001-37000000	1	36500001	37000000	0.942	1.006
1:37000001-37500000	1	37000001	37500000	1.028	1.116
1:37500001-38000000	1	37500001	38000000	0.931	0.926
1:38000001-38500000	1	38000001	38500000	0.923	0.98
1:39000001-39500000	1	39000001	39500000	0.961	0.988
1:39500001-40000000	1	39500001	40000000	0.962	1.039
1:40000001-40500000	1	40000001	40500000	0.846	0.937
1:40500001-41000000	1	40500001	41000000	1.01	0.949
1:41000001-41500000	1	41000001	41500000	0.977	1.098
1:41500001-42000000	1	41500001	42000000	0.955	1.045
1:42000001-42500000	1	42000001	42500000	1.035	1.118
1:42500001-43000000	1	42500001	43000000	0.937	1.077
1:43000001-43500000	1	43000001	43500000	0.899	1.007
1:43500001-44000000	1	43500001	44000000	0.988	0.944
1:44000001-44500000	1	44000001	44500000	0.892	1.043
1:44500001-45000000	1	44500001	45000000	0.935	1.004
1:45000001-45500000	1	45000001	45500000	0.888	0.88
1:45500001-46000000	1	45500001	46000000	0.963	1.021
1:46000001-46500000	1	46000001	46500000	0.88	0.9
1:46500001-47000000	1	46500001	47000000	0.995	1.053
1:47000001-47500000	1	47000001	47500000	0.958	1.005
1:47500001-48000000	1	47500001	48000000	0.961	0.976
1:48000001-48500000	1	48000001	48500000	1.015	0.993
1:48500001-49000000	1	48500001	49000000	1.014	1.067
1:49000001-49500000	1	49000001	49500000	0.89	0.934
1:49500001-50000000	1	49500001	50000000	0.969	1.03
1:50500001-51000000	1	50500001	51000000	0.863	0.993
1:51000001-51500000	1	51000001	51500000	1.008	0.884
1:51500001-52000000	1	51500001	52000000	0.784	0.985
1:52000001-52500000	1	52000001	52500000	0.915	1.06
1:53000001-53500000	1	53000001	53500000	0.995	1.045
1:53500001-54000000	1	53500001	54000000	1.041	1.04
1:54000001-54500000	1	54000001	54500000	1.011	0.996
1:54500001-55000000	1	54500001	55000000	1.056	1.034
1:55500001-56000000	1	55500001	56000000	0.94	0.945
1:56000001-56500000	1	56000001	56500000	1.038	0.982
1:56500001-57000000	1	56500001	57000000	0.932	1.083
1:57000001-57500000	1	57000001	57500000	0.926	0.997
1:57500001-58000000	1	57500001	58000000	1.029	1.049
1:58000001-58500000	1	58000001	58500000	1.006	1.105
1:58500001-59000000	1	58500001	59000000	0.86	1.002
1:59000001-59500000	1	59000001	59500000	0.985	1.056
1:59500001-60000000	1	59500001	60000000	1.102	1.072
