feature	chromosome	start	end	SLX-17921.D703tp_D508tp.H5J55BBXY.s_8.r_1	SLX-17921.D704tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17921.D704tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D705tp_D501tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	0.97	1.018	0.97	0.891
1:2000001-2500000	1	2000001	2500000	1.006	1.022	1.03	0.982
1:3000001-3500000	1	3000001	3500000	0.991	0.996	1.023	1
1:3500001-4000000	1	3500001	4000000	1.011	0.958	0.955	1.002
1:4000001-4500000	1	4000001	4500000	1.05	1.139	1.072	1.145
1:4500001-5000000	1	4500001	5000000	0.981	1.026	1.017	1.083
1:5000001-5500000	1	5000001	5500000	1.035	0.961	1.092	1.004
1:6000001-6500000	1	6000001	6500000	1.059	1.014	1.118	0.964
1:6500001-7000000	1	6500001	7000000	0.979	0.852	0.951	0.981
1:7000001-7500000	1	7000001	7500000	1.057	1.008	0.99	1.058
1:7500001-8000000	1	7500001	8000000	0.925	0.971	0.928	1.201
1:8000001-8500000	1	8000001	8500000	1.04	1.004	0.899	1.033
1:9000001-9500000	1	9000001	9500000	1.027	1.075	1.048	0.989
1:10000001-10500000	1	10000001	10500000	1.014	0.941	0.901	1.05
1:10500001-11000000	1	10500001	11000000	1.076	0.96	0.958	0.947
1:11000001-11500000	1	11000001	11500000	1.096	1.059	1.104	1.066
1:11500001-12000000	1	11500001	12000000	0.975	0.887	1.039	1.004
1:12000001-12500000	1	12000001	12500000	1.058	0.958	1.013	0.942
1:13500001-14000000	1	13500001	14000000	1.084	1.054	1.052	0.996
1:14000001-14500000	1	14000001	14500000	1.047	0.959	1.043	1.179
1:14500001-15000000	1	14500001	15000000	1.01	0.959	1.016	1.029
1:15000001-15500000	1	15000001	15500000	1.069	1.032	1.043	1
1:15500001-16000000	1	15500001	16000000	0.906	0.907	0.904	1.076
1:16000001-16500000	1	16000001	16500000	1.017	0.869	1.082	1.086
1:17000001-17500000	1	17000001	17500000	0.983	1.006	0.968	0.933
1:17500001-18000000	1	17500001	18000000	1.124	0.937	0.941	1.006
1:18000001-18500000	1	18000001	18500000	1.086	0.99	0.997	0.989
1:18500001-19000000	1	18500001	19000000	1.135	1.09	1.061	1.067
1:19000001-19500000	1	19000001	19500000	0.892	0.924	0.905	0.961
1:19500001-20000000	1	19500001	20000000	1.07	1.155	1.093	1.003
1:20000001-20500000	1	20000001	20500000	1.048	1.049	1.07	1.035
1:20500001-21000000	1	20500001	21000000	0.944	0.933	0.992	0.916
1:21000001-21500000	1	21000001	21500000	1.068	1.035	0.901	0.898
1:21500001-22000000	1	21500001	22000000	0.959	1.069	1.055	0.982
1:22000001-22500000	1	22000001	22500000	1.066	1.114	1.071	1.135
1:22500001-23000000	1	22500001	23000000	1.07	0.993	1.093	1.062
1:23000001-23500000	1	23000001	23500000	1.073	0.994	1.083	0.982
1:23500001-24000000	1	23500001	24000000	0.984	1.01	0.952	0.981
1:24000001-24500000	1	24000001	24500000	1.058	0.997	1.146	1.026
1:24500001-25000000	1	24500001	25000000	0.95	0.977	0.999	1.019
