feature	chromosome	start	end	SLX-17922.D704tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17921.D701tp_D501tp.H5J55BBXY.s_8.r_1	SLX-16150.D704tp_D507tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	0.725	0.901	1.018
1:2000001-2500000	1	2000001	2500000	0.676	1.017	0.948
1:3000001-3500000	1	3000001	3500000	0.729	0.997	1.01
1:3500001-4000000	1	3500001	4000000	0.676	1.091	0.979
1:4000001-4500000	1	4000001	4500000	0.797	1.016	1.13
1:4500001-5000000	1	4500001	5000000	0.724	0.965	1.09
1:5000001-5500000	1	5000001	5500000	0.723	0.933	1.054
1:6000001-6500000	1	6000001	6500000	0.796	0.996	1.11
1:6500001-7000000	1	6500001	7000000	0.74	0.977	0.977
1:7000001-7500000	1	7000001	7500000	0.718	1.046	1.151
1:7500001-8000000	1	7500001	8000000	0.738	0.959	0.94
1:8000001-8500000	1	8000001	8500000	0.672	1.035	0.979
1:9000001-9500000	1	9000001	9500000	0.776	0.972	1.058
1:10000001-10500000	1	10000001	10500000	0.796	1.026	0.944
1:10500001-11000000	1	10500001	11000000	0.794	0.987	0.961
1:11000001-11500000	1	11000001	11500000	0.888	1.023	1.055
1:11500001-12000000	1	11500001	12000000	0.743	0.949	0.922
1:12000001-12500000	1	12000001	12500000	0.765	0.987	0.959
1:13500001-14000000	1	13500001	14000000	0.727	0.996	1.026
1:14000001-14500000	1	14000001	14500000	0.743	1.091	1.021
1:14500001-15000000	1	14500001	15000000	0.75	1.007	1.05
1:15000001-15500000	1	15000001	15500000	0.735	0.967	0.912
1:15500001-16000000	1	15500001	16000000	0.772	0.889	0.99
1:16000001-16500000	1	16000001	16500000	0.816	0.94	1.028
1:17000001-17500000	1	17000001	17500000	0.733	1.023	1.091
1:17500001-18000000	1	17500001	18000000	0.766	0.974	1.104
1:18000001-18500000	1	18000001	18500000	0.738	1.022	1.061
1:18500001-19000000	1	18500001	19000000	0.722	0.878	1.11
1:19000001-19500000	1	19000001	19500000	0.729	0.937	0.943
1:19500001-20000000	1	19500001	20000000	0.827	1.029	0.949
1:20000001-20500000	1	20000001	20500000	0.825	1.112	1.027
1:20500001-21000000	1	20500001	21000000	0.761	0.951	0.992
1:21000001-21500000	1	21000001	21500000	0.729	0.929	1.032
1:21500001-22000000	1	21500001	22000000	0.806	1.047	0.997
1:22000001-22500000	1	22000001	22500000	0.821	1.01	1.045
1:22500001-23000000	1	22500001	23000000	0.81	1.005	1.076
1:23000001-23500000	1	23000001	23500000	0.811	0.967	1.047
1:23500001-24000000	1	23500001	24000000	0.722	0.95	0.968
1:24000001-24500000	1	24000001	24500000	0.736	1.019	1.013
1:24500001-25000000	1	24500001	25000000	0.668	0.983	0.949
1:25000001-25500000	1	25000001	25500000	0.669	1.029	0.932
1:25500001-26000000	1	25500001	26000000	0.733	0.882	0.959
1:26000001-26500000	1	26000001	26500000	0.732	1.032	1.071
1:26500001-27000000	1	26500001	27000000	0.709	0.97	0.96
1:27000001-27500000	1	27000001	27500000	0.78	1.096	1.006
1:27500001-28000000	1	27500001	28000000	0.703	1.064	0.947
1:28000001-28500000	1	28000001	28500000	0.723	1.028	0.955
1:28500001-29000000	1	28500001	29000000	0.818	1.009	0.93
1:29000001-29500000	1	29000001	29500000	0.807	0.998	1.06
1:29500001-30000000	1	29500001	30000000	0.755	0.999	1.084
1:30000001-30500000	1	30000001	30500000	0.828	1.024	1.09
1:30500001-31000000	1	30500001	31000000	0.681	1.059	0.974
1:31000001-31500000	1	31000001	31500000	0.723	1.01	1.056
1:31500001-32000000	1	31500001	32000000	0.777	0.943	1.032
1:32500001-33000000	1	32500001	33000000	0.767	0.993	1.053
1:33000001-33500000	1	33000001	33500000	0.757	0.909	0.984
1:34000001-34500000	1	34000001	34500000	0.817	1.033	1.111
1:34500001-35000000	1	34500001	35000000	0.793	1.073	0.981
1:35000001-35500000	1	35000001	35500000	0.694	0.952	1.075
1:35500001-36000000	1	35500001	36000000	0.741	0.902	1.116
1:36000001-36500000	1	36000001	36500000	0.74	0.998	0.916
1:36500001-37000000	1	36500001	37000000	0.794	1.033	1.022
1:37000001-37500000	1	37000001	37500000	0.725	1.078	1.094
1:37500001-38000000	1	37500001	38000000	0.773	1.07	1.012
1:38000001-38500000	1	38000001	38500000	0.78	1.043	0.978
1:39000001-39500000	1	39000001	39500000	0.721	0.932	1.006
1:39500001-40000000	1	39500001	40000000	0.762	0.935	0.965
1:40000001-40500000	1	40000001	40500000	0.652	0.911	0.927
1:40500001-41000000	1	40500001	41000000	0.699	1.221	0.996
1:41000001-41500000	1	41000001	41500000	0.716	1.115	1.04
1:41500001-42000000	1	41500001	42000000	0.78	0.965	0.998
1:42000001-42500000	1	42000001	42500000	0.719	0.975	1.002
1:42500001-43000000	1	42500001	43000000	0.754	0.99	0.971
1:43000001-43500000	1	43000001	43500000	0.764	1.135	1
1:43500001-44000000	1	43500001	44000000	0.7	0.94	0.949
1:44000001-44500000	1	44000001	44500000	0.773	0.916	1.014
1:44500001-45000000	1	44500001	45000000	0.753	1.009	1.053
1:45000001-45500000	1	45000001	45500000	0.722	1.022	0.99
1:45500001-46000000	1	45500001	46000000	0.66	1.001	0.917
1:46000001-46500000	1	46000001	46500000	0.82	1.014	1.032
1:46500001-47000000	1	46500001	47000000	0.84	1.016	1.022
1:47000001-47500000	1	47000001	47500000	0.818	0.92	1.071
1:47500001-48000000	1	47500001	48000000	0.773	1.084	0.932
1:48000001-48500000	1	48000001	48500000	0.792	1.143	1.093
1:48500001-49000000	1	48500001	49000000	0.809	1.03	1.065
1:49000001-49500000	1	49000001	49500000	0.783	0.963	0.982
1:49500001-50000000	1	49500001	50000000	0.756	1.014	1.067
1:50500001-51000000	1	50500001	51000000	0.695	1.018	0.895
1:51000001-51500000	1	51000001	51500000	0.752	1.037	0.969
1:51500001-52000000	1	51500001	52000000	0.831	0.955	0.936
1:52000001-52500000	1	52000001	52500000	0.876	1.047	0.914
1:53000001-53500000	1	53000001	53500000	0.711	1.035	1.105
1:53500001-54000000	1	53500001	54000000	0.703	0.987	1.102
1:54000001-54500000	1	54000001	54500000	0.763	1.019	1.08
1:54500001-55000000	1	54500001	55000000	0.775	1.109	1.03
1:55500001-56000000	1	55500001	56000000	0.732	1.043	1.032
1:56000001-56500000	1	56000001	56500000	0.724	0.955	1.036
1:56500001-57000000	1	56500001	57000000	0.713	1.143	0.958
1:57000001-57500000	1	57000001	57500000	0.762	1.05	0.937
1:57500001-58000000	1	57500001	58000000	0.787	1.083	1.062
1:58000001-58500000	1	58000001	58500000	0.888	1.065	1.154
1:58500001-59000000	1	58500001	59000000	0.718	1.078	0.981
1:59000001-59500000	1	59000001	59500000	0.738	1.051	0.84
1:59500001-60000000	1	59500001	60000000	0.773	1.09	1.046
1:60000001-60500000	1	60000001	60500000	0.789	1.1	1.081
1:60500001-61000000	1	60500001	61000000	0.736	1.017	1.065
1:61000001-61500000	1	61000001	61500000	0.629	0.972	0.91
1:61500001-62000000	1	61500001	62000000	0.691	0.921	0.966
1:62000001-62500000	1	62000001	62500000	0.741	0.991	1.086
1:62500001-63000000	1	62500001	63000000	0.792	1.004	1.007
1:63000001-63500000	1	63000001	63500000	0.705	1.003	1.02
1:63500001-64000000	1	63500001	64000000	0.799	0.966	0.95
1:64000001-64500000	1	64000001	64500000	0.741	1.035	1.152
1:64500001-65000000	1	64500001	65000000	0.737	1.032	0.975
1:65000001-65500000	1	65000001	65500000	0.695	0.996	0.975
1:65500001-66000000	1	65500001	66000000	0.763	1.063	1.083
1:66500001-67000000	1	66500001	67000000	0.742	0.991	1.024
1:67000001-67500000	1	67000001	67500000	0.719	1.072	0.917
1:68000001-68500000	1	68000001	68500000	0.754	1.009	0.938
1:68500001-69000000	1	68500001	69000000	0.696	0.882	0.958
1:69000001-69500000	1	69000001	69500000	0.729	1.01	0.97
1:69500001-70000000	1	69500001	70000000	0.77	1.137	1.01
1:70000001-70500000	1	70000001	70500000	0.761	0.973	0.884
1:70500001-71000000	1	70500001	71000000	0.742	0.994	1.008
1:71000001-71500000	1	71000001	71500000	0.735	1.023	0.921
1:71500001-72000000	1	71500001	72000000	0.784	1.051	1.079
1:72000001-72500000	1	72000001	72500000	0.73	1.157	0.973
1:72500001-73000000	1	72500001	73000000	0.754	0.933	1.046
1:73500001-74000000	1	73500001	74000000	0.656	0.974	0.982
1:74000001-74500000	1	74000001	74500000	0.813	1.051	1.006
1:74500001-75000000	1	74500001	75000000	0.69	0.93	1.034
1:75000001-75500000	1	75000001	75500000	0.716	0.983	1.028
1:75500001-76000000	1	75500001	76000000	0.729	0.968	1.016
1:76000001-76500000	1	76000001	76500000	0.706	1.019	1.072
1:77000001-77500000	1	77000001	77500000	0.711	0.978	0.975
1:77500001-78000000	1	77500001	78000000	0.76	0.982	0.897
1:78000001-78500000	1	78000001	78500000	0.815	0.996	1.012
1:78500001-79000000	1	78500001	79000000	0.788	1.026	0.95
1:79000001-79500000	1	79000001	79500000	0.684	1.021	0.942
1:79500001-80000000	1	79500001	80000000	0.711	1.024	0.907
1:80000001-80500000	1	80000001	80500000	0.774	0.868	1.016
1:80500001-81000000	1	80500001	81000000	0.694	0.97	1.018
1:81000001-81500000	1	81000001	81500000	0.725	0.978	0.865
1:81500001-82000000	1	81500001	82000000	0.766	0.922	0.993
1:82000001-82500000	1	82000001	82500000	0.771	1.029	1.022
1:82500001-83000000	1	82500001	83000000	0.714	1.024	0.99
1:83500001-84000000	1	83500001	84000000	0.752	1.018	1.035
1:84000001-84500000	1	84000001	84500000	0.696	0.954	0.937
1:84500001-85000000	1	84500001	85000000	0.692	0.972	0.997
1:85000001-85500000	1	85000001	85500000	0.706	0.966	0.865
1:85500001-86000000	1	85500001	86000000	0.703	1.07	1.079
1:86000001-86500000	1	86000001	86500000	0.785	0.904	0.918
1:86500001-87000000	1	86500001	87000000	0.736	0.996	1.035
1:87000001-87500000	1	87000001	87500000	0.763	0.937	1.048
1:87500001-88000000	1	87500001	88000000	0.742	1.078	1.067
1:88000001-88500000	1	88000001	88500000	0.771	1.018	1.022
1:88500001-89000000	1	88500001	89000000	0.704	0.918	0.991
1:89000001-89500000	1	89000001	89500000	0.689	1.024	1.032
1:89500001-90000000	1	89500001	90000000	0.751	0.987	0.969
1:90000001-90500000	1	90000001	90500000	0.718	1.081	0.926
1:90500001-91000000	1	90500001	91000000	0.852	1.107	1.089
1:91000001-91500000	1	91000001	91500000	0.775	1.021	1.035
1:91500001-92000000	1	91500001	92000000	0.739	1.002	0.971
1:92000001-92500000	1	92000001	92500000	0.765	1.012	1.014
1:92500001-93000000	1	92500001	93000000	0.714	0.94	0.975
1:93000001-93500000	1	93000001	93500000	0.685	1.011	1.045
1:94000001-94500000	1	94000001	94500000	0.801	0.987	1.041
1:94500001-95000000	1	94500001	95000000	0.796	1.038	1.023
1:95000001-95500000	1	95000001	95500000	0.764	1.018	1.015
1:95500001-96000000	1	95500001	96000000	0.79	1.045	1.036
1:96000001-96500000	1	96000001	96500000	0.748	1.003	0.946
1:96500001-97000000	1	96500001	97000000	0.665	1.088	1.058
1:97000001-97500000	1	97000001	97500000	0.686	1.014	0.943
1:97500001-98000000	1	97500001	98000000	0.771	0.936	1.043
1:98000001-98500000	1	98000001	98500000	0.759	1.004	1.008
1:98500001-99000000	1	98500001	99000000	0.782	0.918	0.999
1:99000001-99500000	1	99000001	99500000	0.782	1.044	1.002
1:99500001-100000000	1	99500001	100000000	0.677	1.103	1.031
1:100000001-100500000	1	100000001	100500000	0.675	0.93	0.875
1:100500001-101000000	1	100500001	101000000	0.67	1.063	1.006
1:101000001-101500000	1	101000001	101500000	0.697	0.996	1.078
1:101500001-102000000	1	101500001	102000000	0.808	1.032	1.061
1:102500001-103000000	1	102500001	103000000	0.747	1.056	0.992
1:103000001-103500000	1	103000001	103500000	0.652	0.998	1.083
1:104000001-104500000	1	104000001	104500000	0.719	0.937	1.012
1:104500001-105000000	1	104500001	105000000	0.718	0.98	1.033
1:105000001-105500000	1	105000001	105500000	0.636	0.969	0.947
1:105500001-106000000	1	105500001	106000000	0.69	0.965	0.969
1:106000001-106500000	1	106000001	106500000	0.747	0.983	0.912
1:107000001-107500000	1	107000001	107500000	0.811	0.942	1.059
1:107500001-108000000	1	107500001	108000000	0.641	0.998	1.104
1:108500001-109000000	1	108500001	109000000	0.773	1.005	0.927
1:109000001-109500000	1	109000001	109500000	0.655	0.933	0.94
1:109500001-110000000	1	109500001	110000000	0.721	1.038	1.006
1:110000001-110500000	1	110000001	110500000	0.686	0.999	0.975
1:110500001-111000000	1	110500001	111000000	0.768	1.125	1.03
1:111000001-111500000	1	111000001	111500000	0.73	1.035	0.998
1:111500001-112000000	1	111500001	112000000	0.717	1.041	0.92
1:112000001-112500000	1	112000001	112500000	0.815	1.023	1.06
1:112500001-113000000	1	112500001	113000000	0.768	1.006	1.083
1:113000001-113500000	1	113000001	113500000	0.661	0.949	1.028
1:113500001-114000000	1	113500001	114000000	0.71	0.95	0.885
1:114000001-114500000	1	114000001	114500000	0.809	1.019	1.068
1:114500001-115000000	1	114500001	115000000	0.738	0.94	0.938
1:115000001-115500000	1	115000001	115500000	1.068	0.962	1.056
1:115500001-116000000	1	115500001	116000000	1.004	1.086	1.093
1:116000001-116500000	1	116000001	116500000	1.037	1.089	1.082
1:116500001-117000000	1	116500001	117000000	1.135	1.076	1.028
1:117000001-117500000	1	117000001	117500000	1.009	1.01	0.971
1:117500001-118000000	1	117500001	118000000	1.006	1.004	0.979
1:118000001-118500000	1	118000001	118500000	0.968	0.962	1.036
1:118500001-119000000	1	118500001	119000000	1.125	1.008	1.052
1:119000001-119500000	1	119000001	119500000	1.075	1.001	1.059
1:119500001-120000000	1	119500001	120000000	0.962	1.01	1.012
1:147500001-148000000	1	147500001	148000000	1.414	0.988	1.075
1:150000001-150500000	1	150000001	150500000	1.427	1.001	0.913
1:150500001-151000000	1	150500001	151000000	1.457	0.974	0.897
1:151000001-151500000	1	151000001	151500000	1.516	0.877	0.924
1:151500001-152000000	1	151500001	152000000	1.449	0.971	0.967
1:152000001-152500000	1	152000001	152500000	1.712	1.089	0.99
1:152500001-153000000	1	152500001	153000000	1.465	1.047	1.03
1:153000001-153500000	1	153000001	153500000	1.426	1.036	1.034
1:153500001-154000000	1	153500001	154000000	1.548	1.037	0.95
1:154000001-154500000	1	154000001	154500000	1.656	1.026	1.021
1:154500001-155000000	1	154500001	155000000	1.551	1.004	0.943
1:155000001-155500000	1	155000001	155500000	1.542	0.852	1.009
1:156000001-156500000	1	156000001	156500000	1.604	0.926	0.984
1:156500001-157000000	1	156500001	157000000	1.591	1.1	0.985
1:157000001-157500000	1	157000001	157500000	1.669	0.98	1.01
1:157500001-158000000	1	157500001	158000000	1.517	0.939	1.019
1:159500001-160000000	1	159500001	160000000	1.619	1.019	1.03
1:160000001-160500000	1	160000001	160500000	1.522	1.027	0.938
1:160500001-161000000	1	160500001	161000000	1.568	0.948	0.951
1:161000001-161500000	1	161000001	161500000	1.584	1	1.005
1:161500001-162000000	1	161500001	162000000	1.447	0.945	1.025
1:162000001-162500000	1	162000001	162500000	1.652	1.012	1.081
1:162500001-163000000	1	162500001	163000000	1.482	1.05	0.961
1:163000001-163500000	1	163000001	163500000	1.544	1.083	1.055
1:163500001-164000000	1	163500001	164000000	1.522	0.926	1.012
1:164000001-164500000	1	164000001	164500000	1.572	0.928	1.089
1:164500001-165000000	1	164500001	165000000	1.44	1.005	1.05
1:165000001-165500000	1	165000001	165500000	1.552	1.033	1.038
1:165500001-166000000	1	165500001	166000000	1.513	0.908	0.895
1:166000001-166500000	1	166000001	166500000	1.619	0.991	1.032
1:166500001-167000000	1	166500001	167000000	1.525	1	1.007
1:167000001-167500000	1	167000001	167500000	1.411	0.944	0.936
1:167500001-168000000	1	167500001	168000000	1.559	1.023	0.924
1:168000001-168500000	1	168000001	168500000	1.616	0.945	0.971
1:168500001-169000000	1	168500001	169000000	1.555	1.09	1.113
1:169500001-170000000	1	169500001	170000000	1.476	1.107	0.95
1:170500001-171000000	1	170500001	171000000	1.541	0.906	1.061
1:171000001-171500000	1	171000001	171500000	1.437	1.029	0.944
1:171500001-172000000	1	171500001	172000000	1.406	0.927	0.991
1:172000001-172500000	1	172000001	172500000	1.541	1.05	1.045
1:173000001-173500000	1	173000001	173500000	1.547	0.909	1.044
1:173500001-174000000	1	173500001	174000000	1.531	0.997	1.02
1:174000001-174500000	1	174000001	174500000	1.461	1.033	0.984
1:174500001-175000000	1	174500001	175000000	1.571	1.043	1.013
1:175000001-175500000	1	175000001	175500000	1.473	1.039	1.02
1:175500001-176000000	1	175500001	176000000	1.47	1.027	0.957
1:176000001-176500000	1	176000001	176500000	1.57	0.934	0.926
1:176500001-177000000	1	176500001	177000000	1.497	1.074	1.022
1:177000001-177500000	1	177000001	177500000	1.699	1.013	0.959
1:177500001-178000000	1	177500001	178000000	1.565	1.056	1.025
1:178000001-178500000	1	178000001	178500000	1.45	1.028	1.021
1:178500001-179000000	1	178500001	179000000	1.516	1.062	1.029
1:179000001-179500000	1	179000001	179500000	1.465	0.94	0.999
1:179500001-180000000	1	179500001	180000000	1.546	0.955	0.944
1:180000001-180500000	1	180000001	180500000	1.514	0.945	0.954
1:180500001-181000000	1	180500001	181000000	1.588	1.096	0.965
1:181500001-182000000	1	181500001	182000000	1.652	1.006	0.967
1:182000001-182500000	1	182000001	182500000	1.498	1.047	0.936
1:182500001-183000000	1	182500001	183000000	1.462	0.909	0.989
1:183000001-183500000	1	183000001	183500000	1.591	0.969	0.951
1:183500001-184000000	1	183500001	184000000	1.546	1.043	0.969
1:184000001-184500000	1	184000001	184500000	1.51	0.931	1.057
1:184500001-185000000	1	184500001	185000000	1.395	1.058	1.04
1:185000001-185500000	1	185000001	185500000	1.403	0.969	1.027
1:185500001-186000000	1	185500001	186000000	1.562	1.129	1.072
1:186000001-186500000	1	186000001	186500000	1.618	1.047	1.002
1:186500001-187000000	1	186500001	187000000	1.527	1.166	1.064
1:187000001-187500000	1	187000001	187500000	1.493	1.02	1.011
1:187500001-188000000	1	187500001	188000000	1.578	0.89	0.872
1:188000001-188500000	1	188000001	188500000	1.448	0.989	0.979
1:188500001-189000000	1	188500001	189000000	1.449	1.054	0.981
1:189000001-189500000	1	189000001	189500000	1.599	1.058	1.05
1:189500001-190000000	1	189500001	190000000	1.487	0.989	0.986
1:190000001-190500000	1	190000001	190500000	1.589	1.037	1.084
1:190500001-191000000	1	190500001	191000000	1.467	0.944	1.005
1:191000001-191500000	1	191000001	191500000	1.457	0.995	0.899
1:192000001-192500000	1	192000001	192500000	1.46	0.963	1.072
1:192500001-193000000	1	192500001	193000000	1.573	0.985	0.936
1:193000001-193500000	1	193000001	193500000	1.452	0.979	1
1:193500001-194000000	1	193500001	194000000	1.612	0.826	1.034
1:194000001-194500000	1	194000001	194500000	1.549	0.974	0.939
1:194500001-195000000	1	194500001	195000000	1.505	0.907	1.013
1:195500001-196000000	1	195500001	196000000	1.599	0.938	0.955
1:196000001-196500000	1	196000001	196500000	1.55	1.065	1.105
1:197000001-197500000	1	197000001	197500000	1.441	0.971	1.086
