feature	chromosome	start	end	SLX-17930.D704tp_D502tp.H77FWBBXY.s_8.r_1	SLX-17930.D704tp_D503tp.H77FWBBXY.s_8.r_1	SLX-17930.D704tp_D504tp.H77FWBBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	0.868	1.045	0.994
1:2000001-2500000	1	2000001	2500000	0.994	1.032	1.057
1:3000001-3500000	1	3000001	3500000	0.976	1.019	1.019
1:3500001-4000000	1	3500001	4000000	1.06	1.055	0.946
1:4000001-4500000	1	4000001	4500000	1.063	1.118	1.022
1:4500001-5000000	1	4500001	5000000	1.023	1.021	1.072
1:5000001-5500000	1	5000001	5500000	1.034	1.005	1.051
1:6000001-6500000	1	6000001	6500000	1.119	1.045	1.124
1:6500001-7000000	1	6500001	7000000	1.011	1.007	0.953
1:7000001-7500000	1	7000001	7500000	1.07	1.07	1.09
1:7500001-8000000	1	7500001	8000000	1.015	1.044	0.995
1:8000001-8500000	1	8000001	8500000	1.04	0.979	1.064
1:9000001-9500000	1	9000001	9500000	0.974	0.986	1.041
1:10000001-10500000	1	10000001	10500000	1.052	0.992	1.045
1:10500001-11000000	1	10500001	11000000	1.035	1.029	0.994
1:11000001-11500000	1	11000001	11500000	1.047	0.998	1.133
1:11500001-12000000	1	11500001	12000000	0.998	0.959	0.894
1:12000001-12500000	1	12000001	12500000	0.973	1.061	1.006
1:13500001-14000000	1	13500001	14000000	1.031	1.086	0.959
1:14000001-14500000	1	14000001	14500000	1.056	1.083	1.021
1:14500001-15000000	1	14500001	15000000	1.014	1.054	1.046
1:15000001-15500000	1	15000001	15500000	1.016	0.972	1.011
1:15500001-16000000	1	15500001	16000000	0.962	0.903	0.926
1:16000001-16500000	1	16000001	16500000	0.981	1.058	1.026
1:17000001-17500000	1	17000001	17500000	1.04	0.963	0.993
1:17500001-18000000	1	17500001	18000000	1.014	1.039	1.043
1:18000001-18500000	1	18000001	18500000	1.152	1.114	1.019
1:18500001-19000000	1	18500001	19000000	0.953	1.079	1.031
1:19000001-19500000	1	19000001	19500000	0.925	0.936	0.934
1:19500001-20000000	1	19500001	20000000	1.142	1.064	1.16
1:20000001-20500000	1	20000001	20500000	1.125	1.14	1.131
1:20500001-21000000	1	20500001	21000000	1.018	0.954	0.948
1:21000001-21500000	1	21000001	21500000	1.043	0.95	0.921
1:21500001-22000000	1	21500001	22000000	1.077	1.122	0.94
1:22000001-22500000	1	22000001	22500000	1.115	0.999	1.026
1:22500001-23000000	1	22500001	23000000	1.056	1.083	0.943
1:23000001-23500000	1	23000001	23500000	1.063	1.082	1.114
1:23500001-24000000	1	23500001	24000000	1.02	0.985	1.043
1:24000001-24500000	1	24000001	24500000	1.026	1.004	1.034
1:24500001-25000000	1	24500001	25000000	1.035	0.999	1.036
1:25000001-25500000	1	25000001	25500000	1.065	0.988	0.985
1:25500001-26000000	1	25500001	26000000	0.999	0.99	0.978
1:26000001-26500000	1	26000001	26500000	1.002	0.973	0.92
1:26500001-27000000	1	26500001	27000000	0.96	1.004	0.98
1:27000001-27500000	1	27000001	27500000	0.926	1.053	0.939
1:27500001-28000000	1	27500001	28000000	0.872	0.957	0.952
1:28000001-28500000	1	28000001	28500000	1.051	0.949	0.908
1:28500001-29000000	1	28500001	29000000	0.961	0.912	1.003
1:29000001-29500000	1	29000001	29500000	1.097	1.096	1.078
