feature	chromosome	start	end	SLX-17922.D701tp_D507tp.HC22GBBXY.s_6.r_1	SLX-17922.D705tp_D505tp.HC22GBBXY.s_6.r_1	SLX-16150.D704tp_D505tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	1.016	1.081	1
1:2000001-2500000	1	2000001	2500000	1.057	0.964	1.197
1:3000001-3500000	1	3000001	3500000	1.016	0.956	0.949
1:3500001-4000000	1	3500001	4000000	0.994	1.015	1.151
1:4000001-4500000	1	4000001	4500000	1.001	0.943	1.052
1:4500001-5000000	1	4500001	5000000	1.01	0.896	1.019
1:5000001-5500000	1	5000001	5500000	1.006	0.984	0.91
1:6000001-6500000	1	6000001	6500000	1.063	1.08	1.026
1:6500001-7000000	1	6500001	7000000	0.955	0.984	1.059
1:7000001-7500000	1	7000001	7500000	1.001	1.031	0.832
1:7500001-8000000	1	7500001	8000000	1.047	1.056	1.085
1:8000001-8500000	1	8000001	8500000	1.015	1.071	1.048
1:9000001-9500000	1	9000001	9500000	0.989	1.017	0.926
1:10000001-10500000	1	10000001	10500000	1.016	1.026	1.103
1:10500001-11000000	1	10500001	11000000	0.957	1.075	0.833
1:11000001-11500000	1	11000001	11500000	1.075	1.079	0.979
1:11500001-12000000	1	11500001	12000000	0.976	0.997	1.038
1:12000001-12500000	1	12000001	12500000	0.953	1.014	0.976
1:13500001-14000000	1	13500001	14000000	1.019	1.088	1.02
1:14000001-14500000	1	14000001	14500000	1.029	1.021	1.112
1:14500001-15000000	1	14500001	15000000	1.05	1.083	1.16
1:15000001-15500000	1	15000001	15500000	1.061	0.978	1.035
1:15500001-16000000	1	15500001	16000000	1.02	0.933	0.743
1:16000001-16500000	1	16000001	16500000	0.981	0.985	0.978
1:17000001-17500000	1	17000001	17500000	1.049	1.003	0.973
1:17500001-18000000	1	17500001	18000000	1.048	0.988	0.99
1:18000001-18500000	1	18000001	18500000	1.019	1.052	0.992
1:18500001-19000000	1	18500001	19000000	1.072	1.064	1.192
1:19000001-19500000	1	19000001	19500000	0.91	0.891	1.003
1:19500001-20000000	1	19500001	20000000	0.979	1.162	1.095
1:20000001-20500000	1	20000001	20500000	1.025	1.024	0.894
1:20500001-21000000	1	20500001	21000000	0.982	0.95	0.952
1:21000001-21500000	1	21000001	21500000	1.055	0.969	1.013
1:21500001-22000000	1	21500001	22000000	1.1	1.06	1.051
1:22000001-22500000	1	22000001	22500000	1.094	1.078	1.122
1:22500001-23000000	1	22500001	23000000	1.085	1.078	1.104
1:23000001-23500000	1	23000001	23500000	0.974	0.996	0.949
1:23500001-24000000	1	23500001	24000000	0.939	0.967	0.987
1:24000001-24500000	1	24000001	24500000	1.099	1.03	1.015
1:24500001-25000000	1	24500001	25000000	0.981	1.014	1.019
1:25000001-25500000	1	25000001	25500000	1.052	0.972	0.922
1:25500001-26000000	1	25500001	26000000	1.056	1.024	0.908
1:26000001-26500000	1	26000001	26500000	1.005	1.001	0.978
1:26500001-27000000	1	26500001	27000000	1.053	1.003	0.939
1:27000001-27500000	1	27000001	27500000	0.97	0.933	0.91
1:27500001-28000000	1	27500001	28000000	0.93	0.961	1.096
1:28000001-28500000	1	28000001	28500000	0.942	0.846	0.854
1:28500001-29000000	1	28500001	29000000	0.975	0.908	1.168
1:29000001-29500000	1	29000001	29500000	1.029	1.106	1.121
1:29500001-30000000	1	29500001	30000000	1.028	0.977	0.941
1:30000001-30500000	1	30000001	30500000	1.061	1.062	0.975
1:30500001-31000000	1	30500001	31000000	0.998	0.974	1.033
1:31000001-31500000	1	31000001	31500000	1.047	0.945	0.92
1:31500001-32000000	1	31500001	32000000	0.99	1.088	1.052
1:32500001-33000000	1	32500001	33000000	1.007	1.058	1.134
1:33000001-33500000	1	33000001	33500000	1.01	0.97	0.996
1:34000001-34500000	1	34000001	34500000	1.063	1.143	1.015
1:34500001-35000000	1	34500001	35000000	1.075	1.033	0.979
1:35000001-35500000	1	35000001	35500000	0.933	0.924	0.832
1:35500001-36000000	1	35500001	36000000	0.933	0.985	0.927
1:36000001-36500000	1	36000001	36500000	1.06	0.93	0.997
1:36500001-37000000	1	36500001	37000000	1.041	1.122	1.124
1:37000001-37500000	1	37000001	37500000	1.013	1.071	1.078
1:37500001-38000000	1	37500001	38000000	0.967	0.953	1.08
1:38000001-38500000	1	38000001	38500000	1.086	0.975	1.193
1:39000001-39500000	1	39000001	39500000	0.934	1.025	1.036
1:39500001-40000000	1	39500001	40000000	1.079	1.058	0.971
1:40000001-40500000	1	40000001	40500000	0.974	0.988	0.866
1:40500001-41000000	1	40500001	41000000	1.025	0.994	0.906
1:41000001-41500000	1	41000001	41500000	1.162	1.083	0.926
1:41500001-42000000	1	41500001	42000000	1.066	1.071	1.158
1:42000001-42500000	1	42000001	42500000	0.971	0.99	1.143
1:42500001-43000000	1	42500001	43000000	0.912	0.943	1.052
1:43000001-43500000	1	43000001	43500000	1.025	1.014	1.051
1:43500001-44000000	1	43500001	44000000	1.036	0.976	1.044
1:44000001-44500000	1	44000001	44500000	0.899	1.033	0.979
1:44500001-45000000	1	44500001	45000000	1.065	1.013	1.083
1:45000001-45500000	1	45000001	45500000	1.044	0.973	1.233
1:45500001-46000000	1	45500001	46000000	0.931	1.012	0.887
1:46000001-46500000	1	46000001	46500000	1.048	1.079	1.04
1:46500001-47000000	1	46500001	47000000	1.104	1.122	0.936
1:47000001-47500000	1	47000001	47500000	1.024	0.965	0.989
1:47500001-48000000	1	47500001	48000000	1.028	1.04	1.067
1:48000001-48500000	1	48000001	48500000	1.145	1.132	1.118
1:48500001-49000000	1	48500001	49000000	1.036	1.07	0.994
1:49000001-49500000	1	49000001	49500000	1.07	1.069	0.96
1:49500001-50000000	1	49500001	50000000	1.072	1.021	0.961
1:50500001-51000000	1	50500001	51000000	1.038	1.031	1.009
1:51000001-51500000	1	51000001	51500000	0.956	0.988	1.026
1:51500001-52000000	1	51500001	52000000	0.926	0.902	0.874
1:52000001-52500000	1	52000001	52500000	1.037	0.83	0.963
